"","SRR975555","SRR975556","SRR975558","SRR975559","SRR975560","SRR975562","SRR975564","SRR975565","SRR975567","SRR975568","SRR975569","SRR975572","SRR975574","SRR975575","SRR975576","SRR975577","SRR975580","SRR975582","SRR975585","SRR975586"
"Unique mapping rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Multiple mapping rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Overall alignment rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
