"SRR5687512.SUM44_Y537S_mut","SRR5687513.SUM44_Y537S_mut","SRR5687514.SUM44_Y537S_mut"
0,0.005214,0
0,0,0
0,0,0.00358120009306654
0,0,0
0,0,0.0014294151547492
0.001583,0.004824,0.001013
0,0,0
0.043072,0.047922,0.043537
0,0,0
0,0,0
0,0,0
0.048467,0.112749,0.050014
0,0,0.00253824814618644
0.029152932480315,0.0341355171259843,0.0323460807086614
0,0,0.00446337982195846
0,0,0.001741
0,0.0158533522914219,0.0085286044653349
0,0.003304,0
0,0.064618,0
0.29750045463383,0.177876102397926,0.237879439079715
0.01667,0,0.047123
0,0,0
0.049122,0.051563,0.036811
0.00481344134078212,0.00348877094972067,0.00596190223463687
0,0,0.00706
0,0,0.001883
0,0.00559436298076923,0
0.044769,0.015256,0.030958
0,0,0
0.008604,0,0
0,0,0
0,0.006052,0
0.021409,0,0
0,0.008665,0
0.008543,0,0.010075
0,0,0
0,0,0
0,0,0
0,0,0.011862
0,0,0.00123894370386692
0,0,0
0.0018695,0,0
0.008961,0,0
0,0.005251,0.011557
0,0.00147812870662461,0.00323696445846477
0.19338,0.269622,0.273642
0.040318,0.019805,0.058437
0,0,0
0,0,0
0.008019,0.005526,0.012762
0.0123505,0,0.0095895
0.03528,0.016364,0.028699
0.00530972836418209,0.00547056978489245,0.00257640495247624
0.737455,0.532848,0.391906
0,0.013596,0
0.0055,0,0
0.012455,0.016093,0.020454
0,0,0
0,0,0
0,0.013972,0.015945
0,0,0.004853
0.029192,0.017879,0.02142
0,0.001416,0.001417
0.00967904139819588,0.0051380737757732,0.00388069652061856
0,0,0
0,0,0.004134
0.002018,0.004171,0.004567
0.276493,0.21025,0.134409
0,0,0.005379
0.016593,0.01825,0.026214
0.146505,0.170808,0.143394
0.0113657239873878,0,0.00439679844773223
0,0,0.00365029147342133
0,0,0
0,0,0
0,0,0.00352357885099565
0.00493,0,0
0.009246,0,0
0.004818,0,0
0.001539,0.0095,0.008711
0,0.000952,0
0,0,0
0,0,0
0.0100489300359332,0,0
0.00261721893035783,0,0
0,0,0.004883
0.0100132185960591,0.0686119544334975,0.0513854085591133
0.005894,0,0
0.015475,0.008413,0.004672
0,0,0
0.0105920681373918,0,0.00590912454621614
0.006038,0.013776,0.013643
0,0,0
0.270539922742786,0.209998934533044,0.210075424449271
0,0.002777,0.001528
0,0.005319,0
0.1376,0.090705,0.162022
0,0.003374,0
0.01214,0,0
0.070515,0.044727,0.080737
0.0352647925873129,0.0406572786885246,0.0483946072701354
0.02787,0.026447,0.035783
0.0428108452270621,0.0303300222428174,0.0261320852641335
0.045074,0,0.031055
0,0.000357311129163282,0
0.00178372508591065,0.00134235051546392,0.00293902100038183
0,0.010479,0
0,0,0
0,0.008774,0.005965
0.009174,0.011718,0.004472
0.010315,0.020195,0
0.00719078700906344,0,0
0.002981,0,0
0.010414,0.019925,0.02876
0,0,0
0,0.00104823455233291,0
0.256088,0.226547,0.192977
0.00115366666666667,0,0
0,0,0.005028
0.058752,0.051555,0.072451
0,0,0.019906
0.010203,0.004383,0.003266
0.007353,0.09489,0.020803
0,0.008521,0.003271
0,0,0
0.013972,0,0
0.009113,0,0
0.0396287751232461,0.040074745544179,0.0176950500568828
0,0,0
0.00311,0,0
0.001822,0.001883,0
0.00826178015304263,0.00187350370460343,0
0.137513,0.179274,0.257252
0,0.005471,0
0,0,0
0.0193399578820698,0.00620625800240674,0.00370492442839952
0,0,0.008791
0,0,0.006622
0.029417,0.006396,0.014404
0,0.00321,0
0.012977,0.002581,0.014685
0,0,0
0,0,0
0,0,0.0255713023255814
0.00665398560209424,0.00920204744764398,0
0.0909544018053184,0.0499641641863869,0.0934582381068553
0,0.004115,0.015768
0,0.008697,0
0.00935725662042875,0.0214923105296343,0.0221498139974779
0.016732,0,0
0.070428,0.081831,0.03291
0.007688,0.010596,0.031025
0.070107,0.048995,0.042769
0,0,0.006969
0.002942,0.002672,0.002404
0,0.004703,0
0.016581034121929,0,0
0,0,0
0,0,0.001903
0,0.00525,0
0,0,0.004691
0.001072,0,0
0,0,0.00189905299941759
0,0,0.003018
0.0292252747102931,0.00364381254260395,0.0121364553510566
0,0.00423,0.001732
0,0,0
0.012587,0.013444,0.018243
0,0.005052,0.003662
0.007286,0,0.009662
0.027448,0.173794,0.057614
0,0.015048,0
0,0,0.012947
0,0,0.013546
0,0,0
0.008585,0,0
0,0,0.00676643786451324
0.007578,0,0.025728
0.00390610205527994,0,0
0.020454,0,0.014369
0,0,0.0218948281349459
0,0,0
0,0,0.035199
0,0,0.007919
0,0,0
0,0,0
0.003384,0,0
0,0,0
0.021104843079922,0.0165433333333333,0.0296135341130604
0,0.004326,0
0.00152904559030218,0,0
0.014714,0.019011,0.024892
0.0229916619452314,0,0.0125992634560907
0,0.004383,0
0,0.000669,0
0.0092570084279956,0,0.0113232158299744
0.058835,0.085584,0.068588
0,0,0.0030425756916996
0.037034,0.012329,0.042702
0,0.007511,0
1.651544,1.327363,1.184664
0,0.001491,0
0,0,0.00572395087521174
0,0,0
0.002046,0,0
0.062944,0.057643,0.042267
0,0,0
0,0,0
0.028411,0.024027,0.01356
0.001962,0,0.004134
0,0.038209,0
0.142832,0.158377,0.081603
0.004913,0,0
0,0.023974,0.006562
0,0,0.014561
0,0.02842,0.016473
0.000519285714285714,0.000375857142857143,0.000137142857142857
0,8.11057914167051e-05,0
0.002431,0.00165,0
0.136035459602014,0.121594562215296,0.149406783984656
0.00386415119963785,0,0.00693361249434133
0,0,0
0.00380361214689266,0,0
0,0,0.008791
0,0,0
0,0.0160317011635028,0
0,0,0.01954
0,0,0
0,0.02955,0.03473
0.0119615729261623,0.0305544380127621,0.00843261440291705
0.004781,0,0
0,0,0
0.0221475,0.0231265,0.032189
0.0039502,0.0024264,0.0045404
0,0.00490992704058368,0
0.003721,0,0
0.036184,0.022509,0
0,0,0
0,0,0.013371
0.00594030655021834,0,0
0.024281,0,0
0,0.005473,0
0,0,0
0,0,0.006598
0,0,0
0.002471,0,0
0.013173,0.036558,0
0,0,0
0,0.0119672013651877,0.0131348890784983
0.004709,0,0
0.007574,0,0
0,0.00749546555323591,0
0.009013,0,0
0,0.0020626412437665,0
0.007668,0,0.012108
0,0.00111,0
0,0,0
0.001873,0,0.006337
0,0,0
0.0222138294470353,0.0170198787475017,0
0,0,0.00185
0.047817,0.016387,0.015496
0.0197598991596639,0.00960356302521008,0.0122073949579832
0,0.00826977514792899,0.00408983431952663
0.0320662566371681,0,0
0,0,0
0,0.00328441252043915,0.00329872576500818
0.014395,0.014804,0.030349
0,0,0.021166
0,0.00723865945945946,0
0,0.007717,0
0,0,0.005772
0.01569,0,0.051252
0,0,0
0,0.008877,0
0.001588,0,0
0,0.011974,0
0,0.003802,0
0,0,0
0.023861,0.003788,0.003679
0.107446,0.027658,0
0.0296750519911504,0.0270242547013274,0.0645583548119469
0,0,0.003814
0.007963,0,0.026123
0,0,0.001352
0.037133,0.025588,0.042021
0.029536,0.021749,0.0467265
0,0,0.017695
0,0,0
0.0131300999286224,0.0110112491077802,0.0109458260171306
0,0,0.0068940404406217
0.033237,0,0
0.118967,0.123282,0.130183
0,0,0
0.144662,0.100772,0.124322
0.209788,0.046912,0.090107
0,0.006826,0
0,0,0.009027
0.004248,0.003094,0.002908
0,0.011549,0.006322
0.036626,0.053501,0.058982
0.005476,0,0.005258
0,0.035833,0.045803
0.020401,0.014314,0
0.025674,0.018585,0.019343
0,0.042497,0.024691
0,0.007923,0.012253
