"SRR5687509.SUM44_normal","SRR5687510.SUM44_normal","SRR5687511.SUM44_normal"
0,0,0.00473575777904653
0,0,0
0,0,0
0,0,0
0,0.029008,0
0.0200005,0.0988175,0.0634305
0.0046178,0.0039212,0.0032336
0,0,0
0,0,0
0.033822,0.009354,0
0.015143,0,0.031583
0,0,0
0.0131586943231441,0.0165856650655022,0.00724357991266376
0,0.032786,0
0,0,0
0,0,0.000305692169216922
0.012378,0.013505,0.007504
0.004822,0,0.00904
0,0,0
0,0,0
0.011083,0.009405,0
0.00333507679180887,0,0.0131887542662116
0,0,0
0,0,0
0.00345164196242171,0,0
0,0,0
0.00535095101202699,0.0051419442651804,0.00889649985332942
0,0,0
0,0.00218,0
0,0.012311,0
0,0,0
0,0.007223,0
0,0,0
0,0,0
0,0.029049,0.012915
0,0,0.0088304537815126
0,0,0
0.017935383480826,0,0.0163107433628319
0,0.024829,0
0,0,0
0.019302,0.022789,0
0,0,0
0,0,0
0,0,0.001249
0.005481,0,0
0.007013,0.013479,0.012755
0.00638307852412488,0,0
0,0,0
0,0,0
0,0,0
0.002822,0.008116,0
0,0,0.004956
0.036938,0.016233,0.018392
0.07807,0.0526,0.052442
0.0401178987831858,0.0304928423672566,0.0362611556969027
0,0,0
0.007029,0.026038,0.00339
0,0,0
0,0,0
0.023488,0.0302545,0.0172085
0,0,0
0.004884,0,0
0.0113920294432548,0,0.00327324411134904
0,0,0
0,0.020893,0
0.09318,0.083305,0.104292
0,0.003746,0
0.085281,0.186088,0.063365
0.06523,0.090443,0.021927
0.026564,0,0
0,0,0
0,0,0
0.020572,0,0.019562
0.076335,0.030735,0.046451
0,0,0
0.018594,0,0
0.007338,0.009949,0.01866
0.02016,0.030998,0
0,0,0
0.009721,0,0
0.0151,0,0
0.027475,0.015017,0.020818
0.0163228093959732,0,0
0,0,0
0,0.088218,0
0,0,0
0,0,0
0,0.014613,0
0,0,0
0,0,0
0,0,0
0.135453714315878,0.066477578125,0.142681826224662
0,0,0.004481
0,0.012689,0
0,0,0
0,0,0
0.027806,0.02912,0.056852
0.007415,0,0.022614
0,0,0
0.041397,0,0.020233
0.010059,0,0
0,0.008023,0.01638
0,0,0
0,0,0
0,0.0027145,0.001388
0,0.009153,0
0,0,0.009759
0.090453,0.062894,0.05244
0.017419,0.011712,0.022003
0,0,0
0,0,0.00692055319148936
0,0,0
0.0267766153846154,0,0.0242307692307692
0,0,0
0,0.0209868323216995,0
0,0,0
0,0.0121390263157895,0
0.00631870706671931,0,0
0.00473110317919075,0.0163079904624277,0.0160359069364162
0.0339171557600545,0.0322723466257669,0.0621618711656442
0,0,0
0,0,0.00497114294276296
0,0.010818,0
0.039746,0.049897,0.042498
0.123756,0.08747,0.085595
0.0110651806028834,0.0214352739187418,0.0122609415465269
0.04901,0.095171,0.027945
0.253843,0.209501,0.148649
0,0,0.00664852224448898
0,0.0132250094304036,0.00617017163334591
0.0392759011519881,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0218346242635244,0.0234724809855383,0.0316173449384039
0,0,0
0,0,0
0,0,0.017281
0,0,0.004001
0,0.004619,0
0,0.004838,0
0,0,0
0.00947247792462631,0.0125224115542217,0.0135982873549951
0.015189023255814,0.00523374325581395,0.000118166279069767
0,0,0
0,0,0
0,0.009522,0
0,0,0.008429
0.023843,0,0
0.0538067113489158,0.0490522106448888,0.0876941489721205
0,0.0129641759622938,0
0,0,0
0,0,0.0226456172932331
0,0,0
0.055058,0.129262,0.059793
0.003274,0.025009,0.002706
0.023476,0.045932,0.090678
0,0,0
0,0,0
0,0,0
0,0.00546259587995931,0
0,0,0
0,0.00209608884371637,0
0.0187712154640219,0.0076564376075296,0.00642803359983807
0,0,0.009361
0.024183,0.01164,0.023782
0.052792,0.040999,0.059948
0.00205722625761335,0,0.00110710534626664
0.012736,0,0
0,0,0
0,0.017059,0.020051
0,0.00551821518296013,0
0,0,0
0,0,0
0,0.003531,0.010122
0.00637335988819008,0,0
0,0,0
0,0,0
0.017015,0,0.0418
0,0,0
0,0.007776,0
0,0,0.00129943654330556
0,0,0
0,0,0
0,0,0.003788
0,0,0.023184
0.011742,0.012495,0
0,0,0.004412
0,0.009861,0
0.051565322201317,0.00490428033866416,0.031677057855127
0,0.035636,0.026818
0,0.0131010650224215,0
0.00307366456016178,0.0140321612740142,0.00139729954499494
0.119289,0.011167,0.067879
0,0.00275751901660013,0.000105866358478672
0,0.00197613696313832,0.001869869349566
0.091042,0.08834,0.057679
0,0.0253431303441084,0
0,0.00948238677536232,0.00533129483695652
0.018168,0,0
0.165968,0.130026,0.119786
0,0,0
0.035443,0.035961,0.031304
0,0.009189,0
0.010682,0.0232065,0
0.01306,0,0.055006
0,0.001633,0.001545
0.286911,0.257911,0.382767
0.002906,0,0
0,0,0
0,0,0.00860612216404887
0,0,0
0,0,0
0,0,0
0,0.009746,0
0,0,0.019676
0.027157,0,0
0,0.00357190800733496,0.00396978636919315
0.007852,0,0
0,0.014012,0
0,0,0
0,0,0.009804
0.196803,0,0.234328
0.0195759992845218,0.0313548759837825,0.00395645122823754
0.025453,0,0
0.011192,0.021442,0.018008
0,0,0
0,0,0
0,0,0.005858
0,0,0
0,0,0.022252
0,0,0.0229147577777778
0,0.002324,0
0,0.040231,0.047745
0,0.00970640974529347,0
0,0.000644412746585736,0.00157656327769347
0,0,0
0.137945,0.101503,0.090849
0.0410257483552632,0.0313141957236842,0.02526940625
0,0,0
0,0,0.018538
0,0,0
0,0.009563,0.010484
0,0,0
0.023710942408377,0.0302996596858639,0.0452048167539267
0,0.006216,0
0,0.026042,0
0,0,0.013186
0,0,0
0.19770310615199,0.217004871833534,0.230437958383595
0,0,0
0,0,0
0.00295,0.005187,0
0,0,0
0.144817,0.190854,0.115127
0.000122923805125837,0,0
0,0,0
0.024843,0.013675,0.015679
0,0.00181993700787402,0.00239438888888889
0,0,0
0,0,0
0.0397811037037037,0,0
0.002165,0.006349,0
0,0.004548,0
0,0.00562365126724415,0
0,0,0
0,0,0
0,0.007135,0
0.002247,0,0.004739
0.046739,0.023498,0.022236
0,0,0
0,0.002362,0
0.145996,0.160619,0.22727
0,0,0
0,0.020721,0
0,0,0.014745
0,0,0.0042195
0,0,0
0,0,0
0,0,0.00163666896823831
0,0,0
0,0,0
0,0.00149817260749668,0.00169380093963844
0,0.00666774705211107,0.00630969608216052
0.001344,0,0
0.562205,0.427282,0.542826
0.287813,0.368754,0.341065
0.058973,0.071003,0.064473
0,0,0.014397
0,0,0
0.011289,0.031603,0.021823
0,0,0
0,0,0.00121592237316329
0,0.007511,0
0,0,0
0,0,0
0.005901,0.020933,0.013565
0,0,0
0,0,0.00386087150837989
0.0441196609808102,0.0523050533049041,0.0166392401385927
0,0,0
0,0,0.00789296788008565
0,0,0.0160723845860359
0.00367744435483871,0,0.00541783427419355
0,0.005443,0.007658
0,0,0
0.0511495,0.0529745,0
0,0,0
0,0,0
0.046731,0.021202,0.092837
0,0.025734,0
0,0.00603776872177292,0
0,0,0
0,0,0
0,0.000348520815937015,0.00585613145651915
0,0.00715210986318154,0
0,0.0111013325429757,0
0,0,0
0,0,0
0,0,0
0,0,0.002348
0.0176,0,0
0,0,0
0,0,0
0.020627,0,0.016136
0,0,0
0.151624,0.084685,0.098553
0.016681,0,0
0,0,0
0.015258,0.011221,0.005104
0.026118,0.014984,0.009501
0,0,0.022384
0.030383,0.04556,0.023057
0,0,0
0.00200024239846906,0,0.00848518668934723
0.067814,0,0
0,0.000895,0.000712
0,0,0.0117531752479924
0,0.005686,0
0.0757058583292623,0.0571569149975574,0.0523153531998046
0.0068867564499484,0,0
0,0.00854970736434109,0
0.0146400575620767,0.00532590443942814,0.00578034612490594
0,0.000606,0
0.0144342260034904,0,0.0127842603257708
0.006736,0,0
0,0,0.00773
0,0,0.0133874057142857
0,0,0
0.00895,0.012091,0
0.0129016746921522,0.0147823881639405,0.0142409437603382
0.03301,0.018128,0.017154
0,0,0.019607
0,0,0
0.032279,0,0
0.0132252250580046,0.0120124872389791,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.002919
0.005361,0,0
0.001746,0,0
0.00869277797513322,0.00442465275310835,0.0297058077264654
0.0155988255416192,0,0.0112013198403649
0,0,0
0,0.00149722626604599,0
0,0,0
0,0.00354285099226371,0
0,0,0.007998
0.052324,0.020641,0.04791
0,0,0.00381633155865614
0.01645,0,0
0,0,0
0.005219,0.003447,0
0,0,0.002637
0.022014,0,0.027946
0,0,0.081116
0,0,0
0,0,0
0,0,0
0,0,0
0.003554,0.001965,0
0,0,0
0.003728,0,0.005917
0.000738,0,0
0.006758,0,0
0,0.00339,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.004922,0,0
0.009545,0,0
0,0.005426,0.003483
0.0147617247455944,0.029719253164557,0.0404268277488211
0.015875,0.035598,0.016121
0,0,0
0,0,0
0.011929,0.081937,0.014386
0,0.00569591062906724,0.0107949110629067
0,0,0
0,0.006393,0
0,0,0
0.00660326046188574,0.0024437648897378,0
0,0,0.014965
0.024931,0,0.00877
0,0,0
0,0,0.00855570544412607
0,0,0
0.0212229581731329,0.0499862344168706,0.0232018117208435
0.027198,0.057192,0.058915
0.043879,0.044724,0.116086
0,0,0
0.0619519384125299,0.0366244735864083,0.0894352237855057
0,0.00379087298067786,0
0,0.01612,0.0286
0,0,0
0,0.00397673983500295,0
0.12807281217547,0.160131185675918,0.166004999104745
0.002029021019678,0,0
0.0303582442888302,0.0237132476179543,0.0417571153713695
0.003612,0.013838,0.015285
0.12296,0.091812,0.194496
0,0,0
0,0.008261,0
0,0.025732,0.015142
0,0.018327,0
0,0,0.034242
0,0,0.021608
0,0,0
0.014884,0.011069,0.032014
0,0.000115515230635335,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.022538
0,0,0
0,0.00789178306092125,0
0.00555509260261266,0,0.000952284455437891
0,0,0
0,0.006585,0
0,0.00281704724409449,0
0,0,0
0.0165988965517241,0.0150331034482759,0.0156043333333333
0,0,0
0.00562115435903887,0.0138636875078626,0.00129345930305699
0,0,0
0,0,0
0,0,0
0,0,0.014961
0.000791572831951043,0.000891488445124406,0.00320677437796924
0.055422,0.05241,0.086878
0,0,0
0.041465,0.035847,0.028002
0,0,0
0,0,0
0.01238,0.023823,0
0.0159863407099036,0.0309302017966696,0.0077903282208589
0,0,0
0,0,0.00291720875835385
0,0,0
0.0350985,0.032773,0.0341705
0,0,0.010303
0,0,0
0,0,0
0.014978,0,0
0,0,0
0,0,0.0118655324489064
0,0,0
0,0.000806648401826484,0
0,0.006901,0
0,0,0
0.00414320808723308,0,0
0,0,0
0,0,0
0,0,0.020477
0,0,0.003641
0,0,0
0,0,0
0.04606,0.096518,0.107071
0.122262,0.191567,0.123823
0,0.007173,0
0.0122718332532436,0,0.00499178519942335
0.081211,0.026765,0.084551
0,0,0.005768
0,0.022532,0.014736
0,0.00397932803632236,0
0.011198,0.036915,0.014173
0.00359466167330677,0.00579382884462151,0.00600762326693227
0,0.015532,0
0,0,0
0,0,0
0.007587,0.021373,0.006952
0,0,0
0,0,0
0,0.000843,0
0.00786946613459879,0.0113438201035375,0.0071563977566868
0.018396,0.005108,0.011854
0,0,0
0,0.005926,0
0,0,0
0.0112025714285714,0,0
0,0,0
0,0,0.009908
0,0,0
0.075598,0.048478,0.047766
0,0,0
0,0.00698238737303326,0
0,0,0
0,0.00299587044949581,0
0,0,0
0,0,0
0,0,0
0.009206,0.016027,0.007181
0,0.020946,0
0,0,0.029891
0,0,0.022209
0.137693,0.206488,0.091671
0.17353605450237,0.144051432464455,0.175960509478673
0.035839,0,0.00794
0.0156238939809733,0.00468888245517746,0.0121843051591658
0,0,0
0,0.01707,0
0,0,0
0,0,0
0.004204,0,0
0,0,0
0,0,0.0159237517962116
0,0,0
0,0,0
0.002518,0,0.005088
0.030678774143986,0.0246689135206321,0.0318022958735733
0,0.0102555737129485,0
0.0217083028037383,0.0179729158878505,0.0236641121495327
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.006964
0,0,0.008336
0.032634,0.062925,0.025815
0,0,0
0.015848,0,0.009848
0,0.000684413320883909,0
0.011614,0.014583,0.013703
0.121208,0.12193,0.123909
0.001472,0,0
0,0,0
0.023348,0.005609,0
0.0180302034125125,0.0697515470056875,0.0302313181666109
0,0.013535,0
0,0,0
0,0,0
0,0,0
0.042572,0,0
0,0,0.00454816671236633
0,0,0.010276
0,0,0.00186710680922904
0,0.01932,0
0.072643347101932,0.0498613766822119,0.062333671419054
0,0,0.00678963241915677
0.004487,0,0
0.022436,0.021071,0.009841
0,0,0
0.005048,0,0
0,0.021411,0
0.0435255,0.0321125,0.035153
0,0,0
0.082537,0.101272,0.06282
0,0,0.010037
0,0,0
0,0.015582,0
0,0,0
0,0,0.004886
0,0,0
0.0187833333333333,0.0187476666666667,0.0203653333333333
0.006941,0,0
0.0243601760171306,0.0241824817987152,0.0294140642398287
0,0,0.0116901028893587
0.122758,0.071068,0.087396
0,0,0
0,0,0
0,0.00847675667506297,0
0,0.0106600624776865,0
0,0,0
0,0.024064,0.027479
0.03642,0.062289,0
0.0176414276109368,0.0284512774540565,0.0435226355894218
0,0.0184334651939378,0.0114959851014642
0,0,0
0,0,0.003485
0.00759269800452582,0.00748508496194199,0.026505000411438
0.04502,0.051343,0.070094
0,0.00327348670886076,0
0,0.00786270125427594,0
0.006389,0,0
0.14769,0.261443,0.258804
0.00334248451530145,0.0064248884002199,0.00607960894264248
0,0,0.00120505250342414
0,0,0
0.139933,0.120726,0.190305
0.00386503818350324,0.0136044417052827,0.0105217794253939
0.010417,0,0
0,0,0.023799
0,0,0
0.019948,0.065727,0.036689
0,0,0.001876
0.004064,0,0
0,0,0.006152
0,0.012997,0
0.026483,0.012943,0.054519
0,0,0
0.019377,0.028719,0.029624
0,0,0.00394570385785177
0,0,0.005992
0.012824,0.013686,0.008649
0.385575411901441,0.409954643189214,0.351342018828452
0,0.00368386717108029,0
0,0,0
0.0137322704482147,0.0150733124841732,0.0188122317886385
0.011923125204218,0.00130174602703104,0
0,0,0.007278
0.00912308927231808,0.00415244861215304,0
0.00461786987341772,0,0.0167976858227848
0.01858,0.013096,0.016131
0,0,0
0,0,0
0.034884,0.029844,0.007513
0,0.0119207803316846,0
0,0,0.003474
0,0.000571,0
0,0,0
0.0103637376893939,0.0614197346590909,0.0281164448863636
0,0,0.00135165360223237
0,0.0060590891807812,0
0,0,0
0.013961,0.017297,0.020936
0,0,0.00196896245118654
0,0,0
0.00673823716291097,0.00151553749538234,0.00356003694126339
0,0,0.00223
0,0.005459,0
0,0,0
0,0,0
0,0,0.019581
0.00463021667544784,0,0
0,0,0
0.00448902841918295,0.00612326158566123,0
0,0.002202,0.002667
0,0,0
0,0,0
0,0,0.0113
0,0,0.004757
0,0,0.003519
0,0.003468,0
0,0,0.00385
0,0,0
0,0.01011,0
0.00378272189962671,0,0
0,0,0
0,0,0
0,0,0.00449811945762712
0.0386406379379783,0.054851750302054,0.0233279500604108
0.00616265085324232,0,0
0.00718614632379573,0.0175169467584209,0.0455195943498732
0,0.015623486631016,0
0,0,0
0,0,0
0.00676077613046701,0.0129940394736842,0.00724620533728688
0.0194,0,0.032117
0,0,0
0.001827,0,0.003177
0,0,0.004133
0.00727,0,0
0.000198,0,0.004151
0.006135,0,0.004099
0.014166,0.004538,0
0.001987,0,0
0,0.0109626716697936,0.00518692432770482
0,0,0.0174550072463768
0,0,0
0,0.009966,0
0,0,0
0.0238134625882353,0.0164981157647059,0
0.703218,0.800796,0.737617
0,0.00153823095823096,0.0016065436995437
0,0,0.006395
0,0.014103,0.006673
0.017945,0.011575,0.017473
0.0178963605592347,0.00859968972283542,0.00424551557517783
0,0,0
0,0,0
0.01751,0.061414,0.044558
0,0,0
0.0137593333333333,0,0
0.045677,0.068737,0.091166
0,0,0
0.080062,0.124192,0.110714
0.045305,0,0
0.018296,0,0
0,0,0
0,0.011866,0
0,0,0
0,0,0
0,0,0.004057
0,0,0
0.0233795129971813,0.0249070764171625,0.0343871609771375
0,0,0
0.006839,0.005996,0.00421
0,0,0.014641
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.443456,0.53673,0.574971
0.008091,0.010055,0.012559
0,0.003723,0
0,0.005588,0
0,0,0.015848
0,0,0.005718
0,0,0
0,0,0
0,0,0.001343
0,0,0.006425
0,0,0
0,0,0.00514711324852622
0,0,0
0,0,0.007817
0,0,0
0,0.00387266327883341,0
0.0102245877396862,0,0.00786056072051133
0.00820253326996198,0.00555430798479088,0.00656993029150824
0,0,0
0,0.067349,0.015951
0,0,0
0.048686,0.030541,0.033271
0,0,0
0.448846031303164,0.465871503912896,0.49997593331065
0.085689,0.15078,0.100494
0,0,0
0,0,0
0,0,0.00622
0,0.00237,0
0.000682154849225754,0,0
0,0.002171,0.001458
0,0,0
0,0,0
0.0122030352504638,0.00173707739199576,0
0,0.00450938049303323,0.0061194100750268
0,0.00361181660828354,0
0,0,0
0,0.010801,0
0,0.004549,0.005787
0.048712,0.020312,0.043642
0,0.007615,0
0,0.00344704295463669,0.00665888920112405
0,0,0
0,0,0
0,0,0.0006336
0,0,0
0,0,0
0.008441,0,0.006084
0,0.007739,0
0,0.00554698860759494,0
0,0,0.00341560529531568
0.013392,0,0
0.081616,0.03735,0.037307
0,0,0.00341
0,0,0
0.009881,0,0.027865
0.457211,0.558194,0.421501
0,0,0
0.00506080621518616,0.00513880269715626,0
0.059371,0.119974,0
0,0.00823,0
0.0653323794712286,0.13239265940902,0.0236178538102644
0,0,0.005496
0,0,0
0.002815,0,0
0,0.00397911530094271,0
0,0.007769,0
0,0,0
0,0,0
0,0,0.006173
0,0,0
0,0,0
0,0,0
0.029248,0,0
0,0,0
0.034989,0.035324,0.016756
0,0,0.006012
0,0.019848,0
0,0,0.020918
0.076075,0.05831,0.025417
0,0,0
0,0,0.026145
0,0,0
0,0.003437,0.005119
0,0,0.005075
0.0114182159624413,0,0
0,0.00303,0.002867
0,0.00671148736600306,0
0,0.005589,0
0,0,0
0,0,0.003548
0,0,0.006617
0.052233,0.008015,0.030339
0.004333,0.012595,0.027847
0,0,0
0.061008,0.059934,0.043111
0.004604,0,0.033494
0,0,0
0,0,0
0.025978,0.030857,0.033622
0,0.0144121414086051,0.00245497999451905
0.00309,0.002317,0.012557
0,0,0
0,0.006031,0.002824
0,0,0
0,0,0
0.005939,0.00172,0.002619
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.039143,0.027886,0.008565
0,0,0
0,0,0
0.015569121522694,0.00506817481698389,0
0,0.0303199695038689,0.0371442812926718
0,0,0
0.005174,0.008576,0
0,0,0
0,0.00403,0
0.075766,0.045508,0.021258
0,0,0
0,0,0.055633
0,0.0107409080882353,0
0,0,0
0,0.002366,0
0.016325,0.022252,0.012618
0,0,0.005462
0,0,0
0,0,0
0,0,0
0,0,0.035015
0.00242601299811869,0,0.00147438378655721
0,0.0276268857368006,0
0,0.008668,0.015811
0,0,0.00186258047105005
0,0,0
0.029056,0.028094,0.008215
0.010208,0.019822,0.009822
0.022136,0.024193,0.016106
0.005309,0.004586,0.028966
0,0.0153583690987124,0.00797398915744296
0.021995,0.024344,0
0,0,0
0,0.02341,0
0,0,0
0,0,0
0.026359,0.050936,0.098881
0.0180283463917526,0,0.00594655773195876
0,0,0
0,0,0
0.007343,0,0
0,0,0.021506
0.029182,0.011359,0.013805
0,0,0
0.001986,0,0
0.054703,0.0657,0
0,0,0
0,0.04279,0
0.006292,0,0
0,0,0.001386
0.038776762755102,0,0
0.075041,0.137464,0.149969
0,0,0
0,0.00716,0
0,0.00539,0
0.008343,0,0
0.0827605467928496,0.107090276901507,0.0581422222222222
0.011915,0.0047315,0.0119615
0,0,0
0,0,0.0032039976825029
0,0,0
0.017931,0,0
0.007812,0,0.014208
0.0104271305922205,0.0102383426001635,0.00190831573414321
0.0459151515151515,0,0
0.177325,0.18863,0.169025
0.017049,0,0.013494
0,0,0
0,0,0
0.0100329229922992,0,0.00456179372937294
0.0366003326638671,0.023713615848092,0.021827470878218
0,0,0
0,0,0
0,0.015612,0
0,0,0
0,0,0
0,0,0.00365885520107841
0,0,0
0,0,0.000166276720034617
0.00342444586286197,0,0.00589298812596799
0,0.003789,0
0.039216,0.089691,0.126662
0,0,0.003616
0,0,0
0,0.029214,0
0,0.018768,0
0.005712,0.001869,0.000949
0,0,0
0.042236,0.02847,0.037147
0.021158,0.007054,0
0,0,0
0,0.00472,0.004466
0,0,0
0,0,0
0.00649778623188406,0,0
0,0.014471,0
0,0,0
0,0,0.011651
0,0.026598,0
0,0,0
0,0.018041,0
0,0,0
0,0,0.013165
0,0,0
0,0,0
0,0.0038547797691039,0
0,0,0
0.033384,0,0
0.007451,0.028715,0.027105
0,0,0.008696
0.03694,0.012211,0.006746
0,0.012281,0
0,0.00308,0
0.009661,0.012133,0.007535
0.023983,0.025287,0
0,0,0
0.0177629431221775,0.0114497886000244,0.00879874746735018
0,0,0
0,0,0.013502
0,0.00287650979723973,0
0,0.00374160168341026,0
0,0,0
0,0,0
0.00123351731133351,0,0
0,0.005901,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.054987,0.046119
0.054777,0,0
0,0,0.020214
0.0318302732067511,0.0120712109704641,0.00971323206751055
0,0.004573,0
0,0,0.017659
0.023889,0,0.037411
0.003202,0.006154,0.005823
0,0,0
0,0,0.008555
0,0,0.021855
0,0,0
0,0.00291,0.012982
0.00410773560767591,0,0.0039300942904525
0.008985,0.004407,0.00834
0,0,0.003807
0,0.004014,0.003798
0,0.00382466528474798,0
0,0.008133,0
0,0.07442,0.016775
0.0063790196380439,0.00274427859068156,0.0035199767038891
0.017505,0.003823,0.044542
0.0120755390742734,0,0.0141957505920344
0,0,0
0,0,0.153568
0,0,0
0,0.00187928194682676,0
0.000515333333333333,0,0
0.00100259131298637,0,0.000183052927865776
0.001887,0,0
0,0.014967,0
0,0,0
0.0302494494195688,0.0114135900497512,0.0192558965174129
0,0.003627,0
0.017,0.049011,0.030919
0,0,0
0,0.005126,0
0,0,0
0,0,0.001199
0.003065,0,0.013994
0,0,0
0,0.009937,0
0.000753098119378577,0,0
0,0,0
0,0,0
0,0,0
0.008945,0,0.022906
0,0,0
0,0,0
0.0358243659574468,0.027713370212766,0.0162623829787234
0.010138,0.127651,0.022749
0,0,0
0.035913,0.023669,0
0.018241,0,0
0.06397,0.069943,0.084823
0,0,0
0.016663,0.011964,0
0.081043,0.054555,0.037845
0,0,0
0.012308,0,0
0.046062,0.00939,0.040408
0.110698,0.123161,0.194243
0.18323,0.11145,0.11955
0,0,0
