"gene.name","SRR5687512.SUM44_Y537S_mut","SRR5687513.SUM44_Y537S_mut","SRR5687514.SUM44_Y537S_mut","SRR5687509.SUM44_normal","SRR5687510.SUM44_normal","SRR5687511.SUM44_normal","SUM44_Y537S_mut.average","SUM44_normal.average","SUM44_Y537S_mut.SUM44_normal.average","baseMean","log2FC","lfcSE","stat","pval","padj"
"DLGAP1-AS5",21.0094550413908,33.3950583900633,17.4461105676217,0,0,8.28998422717402,23.9502079996919,2.76332807572467,13.3567680377083,13.3567680377083,3.08992465236432,1.19004789053498,2.59647084536678,0.00941868984799474,0.0271608730500313
"C6orf52",255.615036336921,191.807514855748,218.076382095271,89.2978864602841,102.146777552254,130.567251577991,221.832977762647,107.337305196843,164.585141479745,164.585141479745,1.04521093549009,0.259388199099733,4.02952385311952,5.588994467872e-05,0.000264819836652901
"CENPE",19391.7270032037,22343.0066300493,22615.0054374621,76501.6153018065,80972.7390828739,75903.0955840053,21449.9130235717,77792.4833228952,49621.1981732335,49621.1981732335,-1.85867974108572,0.0788837104133894,-23.5622758025114,9.39628561223324e-123,8.15597591141845e-120
"SYT2",24.5110308816226,8.56283548463161,22.2922523919611,4.63885124469008,6.59011468079058,5.18124014198376,18.4553729194051,5.47006868915481,11.96272080428,11.96272080428,1.75197798020243,0.877661407530209,1.99618892339427,0.0459133626681448,0.106287626964052
"GSDMD",38.5173342425498,39.3890432293054,34.8922211352434,25.5136818457954,9.88517202118588,8.28998422717402,37.5995328690329,14.5629460313851,26.081239450209,26.081239450209,1.37650282567978,0.631376578073058,2.18016137038347,0.0292455019436953,0.0727069025408726
"FAM184B",246.861096736342,212.358320018864,201.599499892518,127.568409228977,88.9665481906729,88.0810824137239,220.272972215908,101.538679944458,160.905826080183,160.905826080183,1.11979629545347,0.25944124496065,4.31618455894827,1.58749265072642e-05,8.32714130573849e-05
"RBM42",27.1372127617965,41.9578938746949,26.1691658514326,64.9439174256611,77.9830237226886,71.5011139593759,31.7547574959746,71.4760183692419,51.6153879326083,51.6153879326083,-1.16818360260444,0.413830723555124,-2.82285373248473,0.00475982816092696,0.0147932050669014
"TUNAR",3.5015758402318,17.1256709692632,14.5384254730181,45.2287996357283,47.2291552123325,17.6162164827448,11.7218907608377,36.6913904436019,24.2066406022198,24.2066406022198,-1.64590551703634,0.741003274348146,-2.22118521471343,0.0263384192013086,0.066643074014638
"TXNDC9",9.62933356063745,27.4010735508212,31.9845360406398,11.5971281117252,6.59011468079058,6.21748817038051,23.0049810506995,8.13491032096543,15.5699456858325,15.5699456858325,1.50277068408242,0.807695244398932,1.86056646303612,0.0628054245353747,0.137959385289612
"LOC101927021",49.0220617632452,49.6644458108634,77.5382691894298,40.5899483910382,13.1802293615812,34.1961849370928,58.7415922545128,29.3221208965707,44.0318565755418,44.0318565755418,1.00197374494482,0.528558527721944,1.89567227164657,0.058003394079714,0.129142038266157
"GALNT18",19.2586671212749,15.4131038723369,11.6307403784145,1.15971281117252,3.29505734039529,5.18124014198376,15.4341704573421,3.21200343118386,9.32308694426298,9.32308694426298,2.25265833435607,1.00524754611234,2.24089911292789,0.0250326107312019,0.063719372770332
"BFAR",21.8848490014488,23.1196558085054,31.0153076757719,10.4374153005527,8.78681957438744,14.5074723975545,25.339937495242,11.2439024241649,18.2919199597034,18.2919199597034,1.16799814351202,0.663558421736774,1.76020393269208,0.078373235436567,0.164944848809346
"SLC18A3",23.6356369215647,9.41911903309478,5.81537018920724,4.63885124469008,3.29505734039529,3.10874408519026,12.9567087146222,3.68088422342521,8.31879646902372,8.31879646902372,1.8216018038139,1.06427923907674,1.71158257807804,0.0869736212004635,0.179399702075597
"CYP3A5",1767.420405357,1984.86526533761,2401.74788814259,5433.25452034326,2531.70238987038,4711.81978512003,2051.3445196124,4225.59223177789,3138.46837569514,3138.46837569514,-1.04261989991833,0.324859225658693,-3.20945141023558,0.00132988522104776,0.0047309031633994
"THSD4-AS2",84.9132141256212,62.5086990378108,123.09200233822,39.4302355798657,24.1637538295655,64.2473777605986,90.1713051672173,42.6137890566766,66.3925471119469,66.3925471119469,1.07742480437192,0.466332317516373,2.310422769132,0.0208647597256733,0.0544563058819548
"FAM45B",44.6450919629555,54.8021471016423,85.2920961083728,205.269167577536,400.898643081427,411.39046727351,61.5797783909902,339.186092644158,200.382935517574,200.382935517574,-2.46562775815086,0.337665349213611,-7.3019863124631,2.8355012143863e-13,4.19866093711076e-12
"CLCN3",53.399031563535,35.9639090354528,39.7383629595828,24.3539690346229,12.0818769147827,27.9786967667123,43.0337678528568,21.471514238706,32.2526410457814,32.2526410457814,1.00220423204609,0.545960232893478,1.83567258504272,0.0664060948913624,0.144291956453954
"TMEM181",11.3801214807534,18.8382380661896,22.2922523919611,2.31942562234504,3.29505734039529,4.14499211358701,17.503537312968,3.25315835877578,10.3783478358719,10.3783478358719,2.41996789176976,0.946877169488361,2.55573581215119,0.0105963535721334,0.0302073263058661
"PYCARD",43.7696980028975,39.3890432293054,53.307560067733,20.8748306011054,7.68846712758901,16.579968454348,45.4887670999786,15.0477553943475,30.2682612471631,30.2682612471631,1.59708886553024,0.571843666433672,2.79287672361672,0.00522415969327273,0.0161072366185682
"OIP5-AS1",35.015758402318,23.9759393569685,32.9537644055077,17.3956921675878,6.59011468079058,15.5437204259513,30.6484873882647,13.1765090914432,21.912498239854,21.912498239854,1.21809954121961,0.648811088473315,1.8774332973961,0.0604587314163934,0.133791642134032
"KRT31",14.8816973209852,13.7005367754106,11.6307403784145,0,2.19670489359686,2.0724960567935,13.4043248249367,1.42306698346345,7.4136959042001,7.4136959042001,3.21597516514632,1.23713098493856,2.59954297830964,0.00933479884939886,0.0269402649504184
"CROCCP3",93.6671537262007,35.1076254869896,68.815213905619,24.3539690346229,24.1637538295655,48.7036573346473,65.8633310396031,32.4071267329452,49.1352288862742,49.1352288862742,1.01940184380425,0.528754743459448,1.92792945389894,0.0538639015643355,0.12163419198646
"ALDH1A1",35.015758402318,15.4131038723369,20.3537956622253,3.47913843351756,9.88517202118588,7.25373619877726,23.5942193122934,6.8726822178269,15.2334507650602,15.2334507650602,1.77538115423655,0.80281343140579,2.21144924185899,0.0270047431197997,0.0680644991133448
"TTLL5",377.294796784976,267.160467120506,305.30693493338,1258.28840012218,1573.93905626215,1443.49350355668,316.587399612954,1425.24031998034,870.913859796646,870.913859796646,-2.17066368071161,0.158158288772743,-13.7246280138414,7.22992420869879e-43,6.46014992530204e-41
"IRS2",28.8880006819124,14.5568203238737,33.9229927703756,4.63885124469008,0,16.579968454348,25.7892712587206,7.07293989967937,16.4311055792,16.4311055792,1.85668005782641,1.02448959655457,1.81229762026921,0.0699402220721403,0.150303037954607
"TTLL9",3742.30917924774,3360.05664416945,3390.36082030782,640.161471767231,565.651510101192,507.761533914408,3497.57554790833,571.191505260944,2034.38352658464,2034.38352658464,2.61557426063705,0.111558158622207,23.4458357231831,1.45775075948044e-121,1.06287523375238e-118
"BAIAP2L2",12.2555154408113,17.1256709692632,29.0768509460362,6.95827686703512,6.59011468079058,0,19.4860124520369,4.5161305159419,12.0010714839894,12.0010714839894,2.11915762405901,1.04604504835273,2.02587606279116,0.0427774867936682,0.100250453750962
"UBXN1",126.932124208403,144.711919690274,86.2613244732407,28.992820279313,40.6390405315419,46.6311612778538,119.301789457306,38.7543406962363,79.0280650767711,79.0280650767711,1.62042757847436,0.377882939393081,4.28817342502134,1.80148418672419e-05,9.3474106904664e-05
"BHLHA9",22.7602429615067,6.85026838770529,6.78459855407511,0,0,5.18124014198376,12.1317033010957,1.72708004732792,6.92939167421181,6.92939167421181,2.78649849193221,1.49404371739477,1.86507159026856,0.0621713701162369,0.136867117690672
"KIAA1644",61.2775772040565,59.9398483924213,49.4306466082615,27.8331074681405,20.8686964891702,34.1961849370928,56.8826907349131,27.6326629648012,42.2576768498571,42.2576768498571,1.04084928001368,0.448941429637991,2.31845227751198,0.0204247537058329,0.0534610009405401
"TTLL4",62.1529711641145,29.1136406477475,66.8767571758832,12.7568409228977,24.1637538295655,37.3049290222831,52.7144563292484,24.7418412582488,38.7281487937486,38.7281487937486,1.08519191203004,0.576183914175988,1.88341237117317,0.0596445051017613,0.132230605569801
"FGFR4",28.0126067218544,9.41911903309478,29.0768509460362,12.7568409228977,0,7.25373619877726,22.1695255669951,6.67019237389166,14.4198589704434,14.4198589704434,1.73583780034323,1.04202208827046,1.66583589722591,0.095746104141552,0.19348211057457
"UBE2J1",24.5110308816226,26.544790002358,55.2460167974687,13.9165537340702,13.1802293615812,20.724960567935,35.4339458938164,15.9405812211955,25.687263557506,25.687263557506,1.14677400497431,0.623484539347434,1.83929822249414,0.0658713343583252,0.143384605049385
"MIR548S",42.8943040428396,41.1016103262318,36.8306778649792,23.1942562234504,18.6719915955733,15.5437204259513,40.2755307446835,19.1366560816583,29.7060934131709,29.7060934131709,1.07709637513095,0.516526623405863,2.0852678764723,0.0370449916261244,0.0892133845106349
"LOC100506801",14.0063033609272,11.9879696784843,16.4768822027538,0,8.78681957438744,0,14.1570517473884,2.92893985812915,8.54299580275879,8.54299580275879,2.27281447878823,1.3763703756322,1.65131022799316,0.0986752448720335,0.198351606035226
