"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","baseMean","log2FC","lfcSE","stat","pval","padj"
"GLN1",73281.3736981986,73408.8500036172,89251.4619533169,24082.7381188838,19646.9445386073,25786.2587661151,78647.2285517109,23171.9804745354,50909.6045131232,50909.6045131232,1.76304290979723,0.120438768305487,14.6384999996459,1.59549416698047e-48,2.2142268049355e-46
"DAL3",2170.61866241291,2970.94167918228,3587.81732007658,873.994723694944,673.72042751986,804.446039365936,2909.79255389059,784.05373019358,1846.92314204208,1846.92314204208,1.8926017135413,0.171505502639968,11.0352244354184,2.58405544791714e-28,1.6342395287988e-26
"LYS12",18992.913296113,20317.762324825,24377.6154611337,9759.10371406085,9613.22343904195,9711.02235856692,21229.4303606906,9694.44983722324,15461.9400989569,15461.9400989569,1.13091241292081,0.100252749184711,11.2806124731518,1.63602942451693e-29,1.11298119379637e-27
"PCL5",14767.7948721895,14716.7575373222,14245.0197985907,5243.96834216967,5082.93875357919,5816.83885816122,14576.5240693675,5381.24865130336,9978.88636033541,9978.88636033541,1.43765448536373,0.0767361709521715,18.7350302670145,2.56495855518475e-78,8.09011246110318e-76
"RMT2",820.880150933697,469.832634325596,819.638858949276,1680.44890934195,1717.1091280273,1157.30754630531,703.450548069523,1518.28852789152,1110.86953798052,1110.86953798052,-1.11030579064219,0.212020015594165,-5.23679704263143,1.63387190345404e-07,1.87705912881914e-06
"HCA4",933.549975571655,605.784205109172,1063.44347324322,1911.29641998341,2344.62102142371,1495.50721777628,867.592551308014,1917.14155306113,1392.36705218457,1392.36705218457,-1.14396506493969,0.204281265846532,-5.59995093137471,2.14412488040891e-08,2.94615495943711e-07
"YIL165C",819.730458845554,1040.62930283605,1018.85663716611,469.759563139382,359.502395480419,493.615127435963,959.738799615907,440.959028685255,700.348914150581,700.348914150581,1.12349956997456,0.153342753989478,7.32672096166774,2.35852183113877e-13,6.67991142296812e-12
"NIT1",1168.08716155271,1536.45267863498,1463.77634185039,616.937452019961,644.146965680854,743.843786096571,1389.43872734603,668.309401265795,1028.87406430591,1028.87406430591,1.05662802388982,0.133371742175247,7.92242799454053,2.32916975616259e-15,7.62363629151521e-14
"PAU12",78.1790619936854,39.9857561128166,55.970709118064,38.3065738182328,16.635072284441,30.3011266346829,58.045175741522,28.4142575791189,43.2297166603205,43.2297166603205,1.03096069954399,0.422353031912098,2.44099277534855,0.0146469477840322,0.0427984227181437
"NQM1",1396.87588709306,1425.49220542191,1695.24842701662,4375.01395713501,3229.97653522896,2421.15776368095,1505.87217317719,3342.04941868164,2423.96079592942,2423.96079592942,-1.14983431475052,0.181334993230678,-6.34094001529981,2.28367449994498e-10,4.55356820549375e-09
"NSA2",1203.72761628513,1097.60900529682,1632.63712529132,3440.53516951655,2696.73005144438,1951.97902869231,1311.32458229109,2696.41474988441,2003.86966608775,2003.86966608775,-1.0396405725157,0.196961224326527,-5.27840226456025,1.30315140848168e-07,1.5326385802465e-06
"RPF1",605.887730451062,496.823019701747,831.022731990238,1429.44004405932,1463.88636103081,990.162621965606,644.577827381015,1294.49634235191,969.537084866463,969.537084866463,-1.00539949781526,0.198571868377311,-5.06315172451759,4.12381392677813e-07,4.25187887636158e-06
"YJL047C-A",74.7299857292581,66.9761414889679,88.2250160674568,29.233964229704,27.7251204740683,48.8727848946498,76.6437144285609,35.2772898661407,55.9605021473508,55.9605021473508,1.12139854062428,0.334987098114227,3.34758725615723,0.000815183208578229,0.0036970956106695
"UTP11",632.330648478338,526.812336786359,795.922456780605,1628.0293872749,1436.16124055674,913.921077529952,651.688480681767,1326.03723512053,988.862857901148,988.862857901148,-1.0244694114372,0.208189860714416,-4.92084200412869,8.61726754312566e-07,8.35128763711577e-06
"YKL097C",20.6944575865638,22.9918097648696,33.2029630361396,7.05647412441131,5.54502409481366,19.5491139578599,25.6297434625243,10.716870725695,18.1733070941096,18.1733070941096,1.26370090807723,0.610956305686888,2.06839817563789,0.0386025966302554,0.0939871642166114
"YOL079W",21.8441496747062,38.9861122099962,70.2005504192667,90.7260958852883,112.748823261211,93.8357469977277,43.6769374346564,99.103555381409,71.3902464080327,71.3902464080327,-1.17229462712931,0.381830915009427,-3.07019306464583,0.00213920438800234,0.00850168341829796
"REX4",256.381335655762,173.938039090752,240.958646033699,459.678885818794,573.909993813214,380.230266480376,223.759340260071,471.273048704128,347.5161944821,347.5161944821,-1.07630342797158,0.201808688395862,-5.33328587845701,9.64512813885987e-08,1.17623100449119e-06
"YOR302W",1076.11179450132,989.647463792212,967.629208481784,231.855578373515,215.331769015264,197.446050974385,1011.1294889251,214.877799454388,613.003644189746,613.003644189746,2.23415136467657,0.120488351922895,18.5424676246406,9.38166011811948e-77,2.83040606781005e-74
"YMR084W",218.441496747062,283.898868400998,224.831492559003,101.814840937935,99.8104337066459,159.325278756558,242.390619235688,120.316851133713,181.3537351847,181.3537351847,1.01152870339525,0.231506082615785,4.36933963879477,1.24622814883034e-05,9.4716069274192e-05
"tS(AGA)D3",0,0,0,4.03227092823504,5.54502409481366,0,0,3.19243167434957,1.59621583717478,1.59621583717478,-4.07717296841298,2.407848030828,-1.69328500645073,0.0904012306761026,0.185644906676968
"ARO3",24064.2050969092,22738.899857456,24306.4662546277,6397.19782764489,6086.58811474046,8003.40725434786,23703.1904029977,6829.06439891107,15266.1274009544,15266.1274009544,1.79535062728767,0.108839830262579,16.4953457108151,3.9628521272999e-61,7.43195430036054e-59
"ARG1",21177.3282635836,18489.4136265664,24705.8504671481,2029.24034463428,2193.98120018127,2805.2978529529,21457.5307857661,2342.83979925615,11900.1852925111,11900.1852925111,3.19515920112687,0.139259062123465,22.9439948281003,1.69161416196157e-116,1.95635177830855e-113
"YHL041W",10.3472287932819,2.99893170846125,9.48656086746847,3.02420319617628,1.84834136493789,0,7.61090712307054,1.62418152037139,4.61754432172096,4.61754432172096,2.22945847958814,1.19392734596721,1.86733178289172,0.0618552696391754,0.137348389128396
"GRX4",2965.05589531933,3247.84304026353,2938.93655674173,1112.90677619287,1060.94794347435,933.470191487812,3050.61183077487,1035.77497038501,2043.19340057994,2043.19340057994,1.55850614699457,0.0975175938069606,15.9817945270439,1.71147061501595e-57,2.96897364939892e-55
"ASN1",77389.2235291315,75082.2538969386,80833.0878395254,25606.9365297566,25130.973368378,30229.7723687367,77768.1884218652,26989.2274222904,52378.7079220778,52378.7079220778,1.52680567040762,0.0900851899944788,16.9484647865115,1.97545063217167e-64,4.15383392019371e-62
"EFM3",81.6281382581127,50.9818390438412,105.3008256289,248.992729818514,309.597178627096,220.904987723817,79.3036009769513,259.831632056476,169.567616516713,169.567616516713,-1.71117595347972,0.265309405775683,-6.44973723595202,1.12044242782587e-10,2.32776946307896e-09
"snR3",26.4429180272759,17.9935902507675,30.3569947758991,71.5728089761719,66.5402891377639,109.475038164016,24.9311676846475,82.5293787593172,53.7302732219823,53.7302732219823,-1.72601990726258,0.364175940507307,-4.73952206962983,2.14222902679544e-06,1.89845813753941e-05
"STR2",4190.62766127917,4778.29785548159,4623.74976680413,2115.93416959134,1818.76790309888,2169.95164932245,4530.8917611883,2034.88457400422,3282.88816759626,3282.88816759626,1.15526772927889,0.0983769338865075,11.7432784661867,7.64637452369291e-32,5.83057063955001e-30
"SPO24",12816.7673986118,12665.4882487347,11307.9805540224,4231.86833918267,3872.27515954487,4274.41376688607,12263.412067123,4126.18575520454,8194.79891116376,8194.79891116376,1.57148756484739,0.0833514083032362,18.8537614041295,2.73673419105737e-79,9.04295169130815e-77
"GGC1",10496.6887647404,10040.4233599283,10125.9550699358,3614.93088716271,3473.95759540076,4360.42986830066,10221.0223982015,3816.43945028804,7018.73092424477,7018.73092424477,1.42126602086558,0.0986453280431083,14.4078391654238,4.61937891742111e-47,6.04790005811039e-45
"tQ(UUG)D1",4.59876835256973,2.99893170846125,1.89731217349369,0,0,0,3.16500407817489,0,1.58250203908745,1.58250203908745,4.14373708642393,2.04525735557282,2.02602233656966,0.042762495739548,0.102109070177813
"CGR1",584.043580776355,548.804502648408,700.108192019173,1600.81155850931,1483.29394536265,908.056343342594,610.985425147979,1330.72061573819,970.853020443083,970.853020443083,-1.12259880074677,0.194771646711724,-5.76366642526925,8.2306013412732e-09,1.25245926989243e-07
