"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05203","hsa05203","Viral carcinogenesis","31/333","201/7470",9.2185440409659e-10,2.59962941955239e-07,2.57148860090102e-07,"1029/121504/23352/3017/3066/3845/4193/5366/554313/5922/5933/8294/8339/8343/8344/8346/8347/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/85477/8850/9734",31
"hsa05322","hsa05322","Systemic lupus erythematosus","24/333","133/7470",3.28302579409911e-09,4.62906636967975e-07,4.57895702861192e-07,"121504/1991/3017/3020/3021/554313/8294/8339/8343/8344/8346/8347/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/9555",24
"hsa05034","hsa05034","Alcoholism","27/333","180/7470",2.1773202609264e-08,2.04668104527082e-06,2.02452585665086e-06,"121504/3017/3020/3021/3066/3845/4128/554313/8294/8339/8343/8344/8346/8347/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/9555/9734",27
