"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",932.459446767218,58.3151623994508,58.3151623994508
"Dim.2",169.687179168675,10.6120812488227,68.9272436482735
"Dim.3",81.8810416244042,5.12076558001278,74.0480092282863
"Dim.4",57.6428430950763,3.60493077517675,77.6529400034631
"Dim.5",47.9492323812333,2.99870121208464,80.6516412155477
"Dim.6",38.851948157145,2.42976536317355,83.0814065787212
"Dim.7",38.0355577507462,2.3787090525795,85.4601156313008
"Dim.8",35.7613097201525,2.23647965729534,87.6965952885961
"Dim.9",27.434360743533,1.71571987139043,89.4123151599865
"Dim.10",26.2860961168944,1.64390845008721,91.0562236100737
"Dim.11",22.2145820266238,1.38927967646178,92.4455032865355
"Dim.12",19.4956360802179,1.21923927956335,93.6647425660989
"Dim.13",17.6361801970001,1.10295060644153,94.7676931725404
"Dim.14",17.1832086652909,1.07462218044346,95.8423153529838
"Dim.15",16.1745361665109,1.01154072335903,96.8538560763429
"Dim.16",14.603703746343,0.913302298082739,97.7671583744256
"Dim.17",13.7856453960021,0.862141675797503,98.6293000502231
"Dim.18",11.7336250599095,0.733810197617856,99.363110247841
"Dim.19",10.1838671370227,0.636889752159021,100
