"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060965","GO:0060965","negative regulation of gene silencing by miRNA","6/591","12/17653",1.06805042749732e-06,0.00455737117413106,0.00448693605909663,"373863/2099/84872/7040/144233/80149",6
"GO:0060149","GO:0060149","negative regulation of posttranscriptional gene silencing","6/591","15/17653",5.30785758509369e-06,0.00754954277186493,0.00743286302530138,"373863/2099/84872/7040/144233/80149",6
"GO:0060967","GO:0060967","negative regulation of gene silencing by RNA","6/591","15/17653",5.30785758509369e-06,0.00754954277186493,0.00743286302530138,"373863/2099/84872/7040/144233/80149",6
