"t_id","g_id"
270,"MSTRG.87"
271,"MSTRG.87"
272,"MSTRG.87"
273,"MSTRG.88"
274,"MSTRG.89"
275,"MSTRG.89"
276,"MSTRG.89"
277,"MSTRG.90"
278,"MSTRG.90"
279,"MSTRG.84"
280,"MSTRG.91"
281,"MSTRG.84"
282,"MSTRG.84"
283,"MSTRG.42"
284,"MSTRG.43"
285,"MSTRG.42"
286,"MSTRG.44"
287,"MSTRG.74"
288,"MSTRG.74"
289,"MSTRG.74"
290,"MSTRG.75"
291,"MSTRG.156"
292,"MSTRG.157"
293,"MSTRG.157"
294,"MSTRG.157"
295,"MSTRG.157"
296,"MSTRG.157"
297,"MSTRG.157"
298,"MSTRG.157"
299,"MSTRG.157"
300,"MSTRG.157"
301,"MSTRG.158"
302,"MSTRG.159"
303,"MSTRG.159"
304,"MSTRG.159"
305,"MSTRG.159"
306,"MSTRG.159"
307,"MSTRG.159"
308,"MSTRG.159"
309,"MSTRG.159"
310,"MSTRG.159"
311,"MSTRG.159"
312,"MSTRG.159"
313,"MSTRG.159"
314,"MSTRG.159"
315,"MSTRG.159"
316,"MSTRG.159"
317,"MSTRG.159"
318,"MSTRG.159"
319,"MSTRG.159"
320,"MSTRG.159"
321,"MSTRG.159"
322,"MSTRG.159"
323,"MSTRG.159"
324,"MSTRG.159"
325,"MSTRG.159"
326,"MSTRG.159"
327,"MSTRG.159"
328,"MSTRG.159"
329,"MSTRG.159"
330,"MSTRG.159"
331,"MSTRG.159"
332,"MSTRG.159"
333,"MSTRG.159"
334,"MSTRG.159"
335,"MSTRG.159"
336,"MSTRG.159"
337,"MSTRG.159"
338,"MSTRG.159"
339,"MSTRG.159"
340,"MSTRG.159"
341,"MSTRG.159"
342,"MSTRG.159"
343,"MSTRG.160"
344,"MSTRG.160"
345,"MSTRG.159"
346,"MSTRG.161"
347,"MSTRG.159"
348,"MSTRG.159"
349,"MSTRG.159"
350,"MSTRG.159"
351,"MSTRG.159"
352,"MSTRG.161"
353,"MSTRG.159"
354,"MSTRG.159"
355,"MSTRG.162"
356,"MSTRG.162"
357,"MSTRG.162"
358,"MSTRG.162"
359,"MSTRG.162"
360,"MSTRG.162"
361,"MSTRG.162"
362,"MSTRG.162"
363,"MSTRG.162"
364,"MSTRG.162"
365,"MSTRG.162"
366,"MSTRG.162"
367,"MSTRG.162"
368,"MSTRG.162"
369,"MSTRG.162"
370,"MSTRG.162"
371,"MSTRG.162"
372,"MSTRG.162"
373,"MSTRG.162"
374,"MSTRG.162"
375,"MSTRG.159"
376,"MSTRG.159"
377,"MSTRG.159"
378,"MSTRG.159"
379,"MSTRG.159"
380,"MSTRG.159"
381,"MSTRG.159"
382,"MSTRG.159"
383,"MSTRG.159"
384,"MSTRG.159"
385,"MSTRG.159"
386,"MSTRG.159"
387,"MSTRG.159"
388,"MSTRG.159"
389,"MSTRG.159"
390,"MSTRG.159"
391,"MSTRG.159"
392,"MSTRG.159"
393,"MSTRG.159"
394,"MSTRG.159"
395,"MSTRG.159"
396,"MSTRG.159"
397,"MSTRG.159"
398,"MSTRG.159"
399,"MSTRG.159"
400,"MSTRG.159"
401,"MSTRG.159"
402,"MSTRG.159"
403,"MSTRG.159"
404,"MSTRG.159"
405,"MSTRG.159"
406,"MSTRG.159"
407,"MSTRG.159"
408,"MSTRG.162"
409,"MSTRG.162"
410,"MSTRG.163"
411,"MSTRG.163"
412,"MSTRG.164"
413,"MSTRG.165"
414,"MSTRG.165"
415,"MSTRG.166"
416,"MSTRG.166"
417,"MSTRG.166"
418,"MSTRG.166"
419,"MSTRG.167"
420,"MSTRG.167"
421,"MSTRG.166"
422,"MSTRG.166"
423,"MSTRG.166"
424,"MSTRG.166"
425,"MSTRG.168"
426,"MSTRG.168"
427,"MSTRG.168"
428,"MSTRG.169"
429,"CALML6"
430,"TMEM52"
431,"MSTRG.94"
432,"MSTRG.95"
433,"MSTRG.96"
434,"MSTRG.96"
435,"MSTRG.97"
436,"MSTRG.98"
437,"MSTRG.98"
438,"MSTRG.98"
439,"MSTRG.99"
440,"MSTRG.98"
441,"MSTRG.100"
442,"MSTRG.100"
443,"MSTRG.101"
444,"MSTRG.102"
445,"MSTRG.102"
446,"MSTRG.102"
447,"MSTRG.103"
448,"MSTRG.103"
449,"MSTRG.103"
450,"MSTRG.103"
451,"MSTRG.103"
452,"MSTRG.103"
453,"MSTRG.103"
454,"MSTRG.103"
455,"MSTRG.103"
456,"MSTRG.103"
457,"MSTRG.103"
458,"MSTRG.104"
459,"MSTRG.105"
460,"MSTRG.106"
461,"MSTRG.106"
462,"MSTRG.106"
463,"MSTRG.107"
464,"MSTRG.107"
465,"MSTRG.106"
466,"MSTRG.106"
467,"MSTRG.108"
468,"MSTRG.109"
469,"MSTRG.106"
470,"MSTRG.106"
471,"MSTRG.110"
472,"MSTRG.111"
473,"MSTRG.111"
474,"MSTRG.112"
475,"MSTRG.113"
476,"MSTRG.93"
477,"MSTRG.93"
478,"MSTRG.92"
479,"MSTRG.119"
480,"MSTRG.120"
481,"MSTRG.120"
482,"MSTRG.120"
483,"MSTRG.120"
484,"MSTRG.119"
485,"MSTRG.119"
486,"MSTRG.119"
487,"MSTRG.119"
488,"MSTRG.119"
489,"MSTRG.119"
490,"MSTRG.119"
491,"MSTRG.120"
492,"MSTRG.120"
493,"MSTRG.120"
494,"MSTRG.120"
495,"MSTRG.120"
496,"MSTRG.119"
497,"MSTRG.120"
498,"MSTRG.119"
499,"MSTRG.119"
500,"MSTRG.119"
501,"MSTRG.119"
502,"MSTRG.119"
503,"MSTRG.119"
504,"MSTRG.119"
505,"MSTRG.114"
506,"MSTRG.115"
507,"MSTRG.114"
508,"MSTRG.114"
509,"MSTRG.116"
510,"MSTRG.116"
511,"MSTRG.116"
512,"MSTRG.116"
513,"MSTRG.116"
514,"MSTRG.116"
515,"MSTRG.114"
516,"MSTRG.114"
517,"MSTRG.114"
518,"MSTRG.114"
519,"MSTRG.114"
520,"MSTRG.117"
521,"MSTRG.118"
522,"MSTRG.118"
523,"LOC100996583"
524,"FAM213B"
525,"FAM213B"
526,"FAM213B"
527,"FAM213B"
528,"FAM213B"
529,"FAM213B"
530,"FAM213B"
531,"FAM213B"
532,"MMEL1"
533,"TTC34"
534,"MSTRG.128"
535,"MSTRG.129"
536,"MSTRG.129"
537,"MSTRG.130"
538,"MSTRG.130"
539,"MSTRG.131"
540,"MSTRG.132"
541,"MSTRG.133"
542,"MSTRG.134"
543,"MSTRG.134"
544,"MSTRG.134"
545,"MSTRG.130"
546,"MSTRG.135"
547,"MSTRG.135"
548,"MSTRG.130"
549,"MSTRG.136"
550,"MSTRG.137"
551,"MSTRG.138"
552,"MSTRG.139"
553,"MSTRG.139"
554,"MSTRG.140"
555,"MSTRG.141"
556,"MSTRG.142"
557,"MSTRG.143"
558,"MSTRG.144"
559,"MSTRG.144"
560,"MSTRG.144"
561,"MSTRG.144"
562,"MSTRG.144"
563,"MSTRG.144"
564,"MSTRG.145"
565,"MSTRG.146"
566,"MSTRG.144"
567,"MSTRG.144"
568,"MSTRG.144"
569,"MSTRG.144"
570,"MSTRG.144"
571,"MSTRG.144"
572,"MSTRG.147"
573,"MSTRG.144"
