"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","log2FC","logCPM","pval"
"RHB1",23.2788404153556,23.2109058518474,25.2846850177541,27.8379313619675,25.487678500525,27.0434239415608,23.924810428319,26.7896779346844,25.3572441815017,0.162570689730096,4.66964606266689,0.27923195258629
"NPP1",87.6112540577917,88.74758119824,88.6211575211085,81.5726388086812,89.593051698815,85.5516570087787,88.3266642590467,85.5724491720917,86.9495567155692,-0.0455987930805151,6.44357428092178,0.613630517421547
"PMP1",215.619628142231,211.320543220424,205.72917234018,252.747240527277,257.478398121731,265.583593534026,210.889781234278,258.603077394344,234.746429314312,0.294311006107959,7.87554544095623,0.00360270012568993
"YCR024C-B",338.628858623372,296.500603784889,282.539720412206,376.937061104041,370.03881561448,373.714363230521,305.889727606822,373.563413316347,339.726570461585,0.288491631556036,8.40860226830751,0.00847664845568531
"SLM5",39.5891776261145,46.9062898144544,39.4241470342613,40.6760264908621,37.8046905988648,42.1104744232875,41.9732048249434,40.1970638376715,41.0851343313074,-0.0626854991071631,5.36357237964941,0.649895187883591
"YCR023C",117.757604877677,115.041529573103,111.826509889376,85.1461292053839,95.2027799812272,96.0685440971635,114.875214780052,92.1391510945915,103.507182937322,-0.317885381262844,6.69464525569693,0.000832741712510853
"HTL1",28.2779840186532,42.2817260299307,44.1234388221005,57.484666504982,38.0892420334799,37.0022721232149,38.2277162902281,44.1920602205589,41.2098882553935,0.2080049934472,5.36864683748995,0.301238812883798
"MAK31",22.369905214756,28.8484693225048,24.9104051408466,41.0730809793847,33.7803203093082,23.351781943189,25.3762598927025,32.7350610772939,29.0556604849982,0.366738361167532,4.86581896085947,0.0764508563234505
"PET18",19.2391284126908,17.9697335627205,17.3416342967162,11.3822286709788,11.5446582043845,12.1910038085766,18.1834987573759,11.7059635613133,14.9447311593446,-0.63453379847556,3.907796197874,0.000264710456482525
"MAK32",35.09499802315,30.9185121593868,34.7248552464222,32.4702337280635,35.690879941724,37.8607935181851,33.5794551429863,35.3406357293242,34.4600454361552,0.0740134511655148,5.11057299137974,0.628125354576008
"YLR364C-A",0,0,0.124759958969181,0,0,0.0429260697485091,0.0415866529897271,0.0143086899161697,0.0279476714529484,-1.352893841567,-3.09979485949497,0.637332066390851
"KIN4",63.675960442003,53.424722577402,63.1701258913955,73.190377384317,72.8451672614685,72.1157971774954,60.0902696369335,72.7171139410936,66.4036917890136,0.27535233619004,6.0552264099923,0.0164962467681161
"BPL1",57.464903237906,62.7178936110639,64.3761388280976,52.6758954773204,67.2760891840013,70.227050108561,61.5196452256892,63.3930115899609,62.456328407825,0.0431429137476238,5.96705049960363,0.743287941919286
"CRD1",50.3449108332094,56.5077651004178,48.6979706509705,37.8525279058131,34.5933244082085,36.5300853559813,51.8502155281992,36.3253125566677,44.0877640424334,-0.513516313668183,5.46461404100302,5.67899928848358e-05
"SCM3",18.8351572124244,15.855647261224,17.1337010317676,15.926296706292,14.4714729604257,15.1529026212237,17.274835168472,15.1835574293138,16.2291962988929,-0.185560431879496,4.02714519261911,0.2837917088255
"RPO21",262.581280173208,229.73071142929,208.80658466142,244.541447764478,259.226356934366,246.1810100077,233.706192087973,249.982938235515,241.844565161744,0.0973917443438116,7.91841540673927,0.38927242405702
"COP1",358.574936636529,333.937548707224,334.023996813488,329.599342639079,356.136445523284,366.502783512771,342.178827385747,350.746190558378,346.462508972063,0.0357588812916028,8.43691236566673,0.735611218796481
"LDB17",59.9897232395715,59.2384599065175,54.6448620285015,45.5289146839151,43.1705176516069,57.0058206260201,57.9576817248635,48.5684176538474,53.2630496893554,-0.254854043229249,5.73704641108563,0.0555068090962077
"CCT4",261.975323372809,267.872351785457,266.570445664151,306.084893485468,313.453730331018,315.034425884309,265.472706940805,311.524349900265,288.498528420535,0.230760691610772,8.17290317517019,0.0212977539615254
"YDL144C",86.853808057292,89.6284504905302,78.5571874975946,76.0579931347574,80.6906568158566,77.223999477568,85.0131486818056,77.9908831427273,81.5020159122664,-0.123979627436266,6.3501939119489,0.189345162251219
"RDI1",78.1179308515295,91.6104063981832,86.6249981776016,98.0283414996699,90.0402039532102,97.7426608173553,85.4511118091048,95.2704020900785,90.3607569495916,0.156314539379594,6.49917105326253,0.105959364249551
"RGT2",58.2728456384389,54.5698526573793,56.848954636957,54.440582092976,55.8127313895068,47.8625677695877,56.5638843109251,52.7052937506902,54.6345890308076,-0.101685288107323,5.77393849385315,0.392729381187732
