"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","log2FC","logCPM","pval"
"GLN1",3218.64053812314,3234.33182396663,3912.55548657951,1053.95908120032,864.182706926093,1132.43264603542,3455.17594955642,1016.85814472061,2236.01704713852,-1.76465742972707,11.1267448994813,3.51086005052687e-37
"DAL3",95.337203262888,130.897176834327,157.280721607148,38.2495823943357,29.6339994049166,35.328155403023,127.838367234788,34.4039124007584,81.1211398177731,-1.8943537693604,6.34325099336009,1.15883231308563e-32
"LYS12",834.20052855027,895.183418289939,1068.65222187702,427.098278154053,422.843431838055,426.470502951438,932.678722905742,425.470737647849,679.074730276796,-1.13236465801078,9.40756975090253,6.81511196536609e-21
"LDS1",0,0,0.332693223917817,0,0,0,0.110897741305939,0,0.0554488706529695,-4.48371731605883,-2.77860098366085,0.0166567808464185
"PCL5",648.626258427858,648.407886054833,624.465181293743,229.497494366014,223.576127197587,255.453041073378,640.499775258811,236.175554212326,438.337664735569,-1.43932559014968,8.77602970153391,3.91263298372269e-39
"RMT2",36.0544296237828,20.7004283688202,35.9308681831243,73.5433147074481,75.5280807878395,50.8244665822348,30.8952420585758,66.6319540258408,48.7635980422083,1.10907633573618,5.61125041662431,8.81791807552804e-08
"HCA4",41.0030768270472,26.6903395563938,46.6186380014841,83.6461455820766,103.129569945505,65.676886715219,38.1040181283083,84.150867414267,61.1274427712877,1.14300281411407,5.93682940023001,7.60090590895353e-09
"YIL165C",36.0039332237495,45.8492466637061,44.664065310967,20.558599072388,15.8129297236112,21.6776652229971,42.1724150661409,19.3497313396654,30.7610732029032,-1.12486816321109,4.94617983176819,2.38988929060566e-10
"NIT1",51.3043424338423,67.6948051125036,64.168205563149,26.9997052195311,28.3331928466761,32.6667390786155,61.0557843698316,29.3332123816075,45.1944983757196,-1.05804785477672,5.50038883269994,4.57348807866059e-13
"PAU12",3.43375520226503,1.76173858458045,2.4536125263939,1.67645228487284,0.731703689010286,1.33070816220378,2.54970210441313,1.2462880453623,1.89799507488772,-1.02955404547783,0.968508277612961,0.00591151933146322
"NQM1",61.3531260404708,62.8059805402929,74.3153488926424,191.468497798635,142.072466282831,106.327874767057,66.1581518244687,146.622946282841,106.390549053655,1.14771251570669,6.73487852531637,1.63844270213352e-11
"NSA2",52.8697308348749,48.3597241467332,71.5706297953204,150.571885480816,118.617298029556,85.7233612877728,57.6000282589762,118.304181599382,87.952104929179,1.03782692353813,6.46066854738593,8.59348588181652e-09
"RPF1",26.611602817554,21.889601913412,36.429908019001,62.5581405249919,64.3899246329052,43.4841086552398,28.3103709166557,56.8107246043789,42.5605477605173,1.00408917913546,5.41578514319803,3.79212355615247e-07
"YJL047C-A",3.28226600216511,2.95091212917225,3.86755872804462,1.27939779635033,1.21950614835048,2.14630348742546,3.36691228646066,1.54840247737542,2.45765738191804,-1.12038880579925,1.3407131274587,0.000272598277674822
"UTP11",27.7730200183201,23.2109058518474,34.8912018583811,71.2492221070958,63.1704184845547,40.135875214856,28.6250425761829,58.1851719355022,43.4051072558425,1.02280607378118,5.44385810340785,6.11621190279382e-07
"YKL097C",0.908935200599568,1.01299968613376,1.45553285464045,0.308820157739734,0.243901229670095,0.858521394970183,1.12582258045792,0.470414260793338,0.798118420625631,-1.26063952517833,-0.179267976383477,0.00531439631707139
