"gene.name","SRR975555.primary_colorectal_cancer","SRR975556.primary_colorectal_cancer","SRR975558.primary_colorectal_cancer","SRR975559.primary_colorectal_cancer","SRR975560.primary_colorectal_cancer","SRR975562.primary_colorectal_cancer","SRR975564.primary_colorectal_cancer","SRR975565.primary_colorectal_cancer","SRR975567.primary_colorectal_cancer","SRR975568.primary_colorectal_cancer","SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon","primary_colorectal_cancer.average","normal_colon.average","primary_colorectal_cancer.normal_colon.average","fc","log2FC","pval","qval"
"CFD",3.172397,44.879971,30.226517,9.694288,57.561684,2.154794,5.778021,5.871012,42.510414,7.952282,140.901306,69.623344,54.121761,76.862228,103.076019,116.319519,57.243999,103.681473,120.214157,69.362419,20.980138,91.1406225,56.06038025,7.08117736245246,2.82398925208167,6.90848650813924e-05,0.00381651459043503
"CNN2",64.1980534740913,18.9752066890951,70.8577600239752,80.2531878766435,39.0996574632637,82.7722787474865,80.623022420727,76.6214433495746,44.2857902764888,74.1747937227378,18.8245678886311,24.9924286798144,26.0874292834493,22.8525510800464,18.3515409733179,20.7536215436968,50.4326240781129,24.7064188816705,21.7238274392885,23.6037865850735,63.1861194044084,25.2328796433101,44.2094995238592,0.433723455435961,-1.20515262972155,0.000253856915762851,0.00732592730641468
"UHRF1",4.79379411859567,1.5267777913657,7.01282888039644,6.93118440550983,2.54480027868302,3.60473966571477,9.44723296741139,9.35428522862422,3.78599087922056,6.73797469981522,1.25542640550983,1.01512174533848,1.71297778195868,1.4411837134218,0.766290758105157,1.11255949756425,2.38093281857887,1.39545701646229,1.06905105761801,2.05211809020662,5.57396089153368,1.4201118884764,3.49703639000504,0.426547730843581,-1.22922090621976,6.46955554917117e-05,0.00375046410642236
"SLC25A23",19.3469267057206,25.9529463877888,22.6175360390539,14.2852058289329,29.0279611089109,14.7351484939494,23.9960959059406,21.1583517359736,19.0708822948295,13.4688396380638,38.8223763668867,35.6487315830583,47.2773434482948,45.9048105126513,35.4109245605061,44.5141922139714,50.8821243531353,44.0533523542354,48.5388156556656,27.8991077805281,20.3659894139164,41.8951778828933,31.1305836484048,2.01223482044292,1.00879867220153,3.90229817504029e-06,0.00114002755665094
"CERS1",0.0525425372838106,0.204384542245534,1.87809078777998,4.32388125517437,3.5938402371704,9.24052691196484,0.112588812872129,0.260974442585767,1.93003663410831,0.151075979727814,0.0406179513751063,0.0606244754749079,0.0291039807201588,0.0712663020981004,0.076177149560533,0.0281536635951233,0.145793656223419,0.0597180951233343,0.0226035233909838,0.199200759569039,2.1747942140913,0.0733259557130706,1.12406008490218,0.446907515680033,-1.16195178803061,0.00936701766898063,0.0608826640058007
"RBM42",0.044098263822377,0.848734156290814,0.566266155420113,0.415253528080104,1.06663792729647,1.01669554810623,0.039980208532869,0.134525570309099,1.16313164431868,0.0795591232041793,2.42483239878102,2.62256852895081,1.34098807009142,1.85451418502394,2.76200663517632,2.84453882629517,1.71986208750544,1.84347730648672,3.80444922812364,1.75270875315629,0.537488212538093,2.29699460195908,1.41724140724859,2.17719893870286,1.12247323791986,1.05443505673541e-05,0.0017819541078778
"PLD3",0.777971310211946,9.9524224181668,4.36025894208643,0.0352697555739059,14.4015395512249,0.228129743187448,0.0927026930911093,0.0687617238645747,5.1385422418387,0.261339327993394,3.24491643974677,7.1515383043215,8.75515793861822,7.57275667586017,7.08991299410955,6.19099430988164,3.80101503506744,11.99486435673,16.0437415348197,8.51797661288191,3.53169377072392,8.03628742020369,5.7839905954638,2.95571726269147,1.56350827110049,0.0117763751741732,0.071160703432616
"PSG11",68.2997681552467,7.13171427584182,26.6138760058731,14.991837990603,40.1910601756069,32.0904007909162,12.5436124420517,16.8913065837901,21.1016504385278,50.0929468692247,52.9106653987862,74.9014477826938,104.37134918285,110.185321124706,62.1798768016836,127.025987478269,72.7189832776038,115.188809055795,70.0085399117071,102.956943335944,28.9948173727682,89.2447923350039,59.1198048538861,3.25571173004317,1.70297296494554,0.000118203171524667,0.00489232734142723
"MPV17",1.6146151648265,2.52292437640829,2.21959327625056,2.38610009677783,1.04601071879225,1.70989850270392,3.80897261108607,1.4449774477242,1.32761673276251,2.18468440851735,0.247787797093285,0.414883990198287,0.389671637561965,0.246375358607481,0.341181399166291,0.231744058472285,0.699348032447048,0.397665245831456,0.386711478481298,1.52376025597116,2.02653933358495,0.487912925383055,1.257226129484,0.483473014723669,-1.04849272764814,4.52012169405158e-06,0.00129394647294537
"GALNT14",0.918496440984849,1.84957133886364,1.28088878030303,0.200680417424242,1.1614929130303,0.887703144545455,0.0591358885606061,0.515486165,1.66007754575758,0.126647116060606,5.37132679492424,5.0058891094697,2.45959743765152,5.22356433674242,5.394098165,2.31850104189394,2.01269483287879,2.78697368704545,4.52332371833333,2.1944944175,0.86601797505303,3.72904635414394,2.29753216459848,2.64568567630835,1.40364167077463,1.40776462402847e-05,0.00184411228724612
"PLGLB1",1.27655835719968,4.72659945239989,3.48389655369928,1.01895561071334,1.67113151392204,0.730015726597719,1.03284933571997,0.866150544152745,2.3430572731371,2.15903113709891,5.0049928684699,4.26863949217714,16.5679093086714,4.14012871519491,3.27252664624768,8.01286732405198,5.45947398435428,5.53842991461151,3.56754484062583,0.674424543887563,1.93082455046407,5.65069376382922,3.79075915714665,2.23035713899542,1.15727474216506,0.00357841652839075,0.0328706995514867
"PMS1",63.4275717482014,72.1793030799361,339.116153366906,443.920896266986,175.767697517986,437.60752702478,318.237889884093,138.682875670663,226.871216336531,67.3363930263789,57.6780193077538,63.0640331167066,51.1270445531575,49.8074283229416,41.7081413980815,70.1360841558753,69.765388773781,69.4251093709033,63.4008586250999,119.489811832134,228.314752392246,65.5601919456435,146.937472168945,0.371373046484269,-1.42905898374588,0.00215327485635608,0.0241813380712541
