"gene.name","SRR5687512.SUM44_Y537S_mut","SRR5687513.SUM44_Y537S_mut","SRR5687514.SUM44_Y537S_mut","SRR5687509.SUM44_normal","SRR5687510.SUM44_normal","SRR5687511.SUM44_normal","SUM44_Y537S_mut.average","SUM44_normal.average","SUM44_Y537S_mut.SUM44_normal.average","fc","log2FC","pval","qval"
"SLMO1",0.258896601168348,0.210853076473712,0.259524221455125,1.89064051832183,1.696357456718,1.45049291502921,0.243091299699062,1.67916363002301,0.961127464861037,2.137593508703,1.09598753185415,0.00385103518536667,0.0958784637926441
"RNU6-1",33.600399364486,41.214115,30.2368334953271,23.6017,13.8745982336449,16.962669,35.017115953271,18.146322411215,26.581719182243,0.409015273249569,-1.28977337829735,0.0435468079027592,0.217681009100275
"TTLL9",6.62447801804511,6.28314767518797,6.13341109172932,1.14652297684211,1.02565347428571,0.924731052330827,6.34701226165414,1.03230250115288,3.68965738140351,0.2710771790602,-1.88322443151807,0.00031227634733666,0.0541200431238541
"SGK2",2.12641534151731,0.313447768229806,2.08429454112448,3.82603091480481,3.81401848219985,4.10361809133317,1.50805255029053,3.91455582944594,2.71130418986824,4.27123598938997,2.09465361029967,0.00260215702341204,0.0875057513985747
"TMEM33",6.72500767018084,14.03338746187,7.01201151042709,5.51876409311274,6.71950621238938,5.90958632574067,9.25680221415929,6.0492855437476,7.65304387895344,0.429169235953149,-1.22038143148758,0.0162445089490888,0.13300731745582
"MRPL1",1.23790473913661,1.31287412311843,1.29422199886396,3.60649082874183,4.01796926640159,3.49433713561488,1.28166695370633,3.7062657435861,2.49396634864622,2.00226465512394,1.00163267916885,0.0015242519580565,0.0766138805611705
"CENPE",9.79548943254377,11.9262267473395,11.6759205629935,39.1158049718503,42.0107776549948,39.4984751558531,11.1325455809589,40.2083525942327,25.6704490875958,3.17582337524377,1.6671306786189,0.00150548472213941,0.0765345588273976
"NUP210L",12.0922547149152,34.5306079320856,11.8119054186842,11.5380989087044,12.1122776672197,11.0909620850744,19.478256021895,11.5804462203328,15.5293511211139,0.303059617122374,-1.72232646994663,0.00750257194911053,0.116810366545193
"TARS",28.1157514178744,28.6855571471417,29.8022238174316,95.3810788401771,101.333413287238,88.721131663446,28.8678441274826,95.1452079302872,62.0065260288849,3.17537398701945,1.66692651863874,0.000650324631006116,0.0634442512063668
"HCN3",25.1827400356027,31.3279070447637,28.9362044846971,13.4752915373725,13.7553906806163,13.6233362537997,28.4822838550212,13.6180061572628,21.050145006142,0.449017410838866,-1.15515670772964,0.00284692286762134,0.0902404933161466
"MEGF10",6.36259343792358,7.21500921023792,6.91275627608748,1.11019284912281,1.46667173544821,1.38331997039173,6.83011964141633,1.32006151832092,4.07509057986862,0.285893381126416,-1.80645087515141,0.00124965559867518,0.0738963871579515
"SCGN",0.981888776919951,1.15889569199512,1.30133805648111,0,0,0,1.14737417513206,0,0.57368708756603,0.468694537587502,-1.09328011389877,0.00260881632488119,0.0875057513985747
"SCIN",1.20798892433419,1.12459449033436,1.05666650709367,3.3079137949888,3.49596237575707,3.56008970779059,1.12974997392074,3.45465529284549,2.29220263338311,2.10736743598688,1.0754418812459,0.000650070261846603,0.0634442512063668
"FOXP2",3.47716820830385,1.25300822002045,3.38724828371471,3.10220599221514,3.08986218715106,3.18793917378313,2.70580823734633,3.12666911771644,2.91623867753139,2.01888358539271,1.0135577231415,0.0141436208969445,0.123307341264017
"PADI6",11.7281868276331,13.595515214496,11.3482215035108,5.97903790532276,6.26478106047565,5.32131360679502,12.2239745152133,5.85504419086448,9.03950935303888,0.44434754856915,-1.17023956593079,0.000500889428850404,0.0584663779296521
"CARS",5.0792911470481,6.94835924580904,6.45962057051749,20.8767664464286,20.6604045351676,20.6495390315233,6.16242365445821,20.7289033377065,13.4456634960824,2.71582948822845,1.4413929036587,0.00414408317352022,0.0971119167275257
"RPS6KB2",1.83231277427555,1.92985289374682,1.76527590137265,0.331786069140824,0.22532157498729,0.2656898113879,1.84248052313167,0.274265818505338,1.05837317081851,0.428446086974119,-1.22281441901763,0.000316549809970867,0.0541200431238541
"SLC26A10",16.1035138270185,18.5924595957669,17.5196643457016,43.3611501944082,41.6825282607787,40.3300387609093,17.4052125894957,41.7912390720321,29.5982258307639,2.13664659323054,1.09534830230876,0.000824947580673641,0.0677757760088894
"SPATA13",7.32958831113648,7.62116790246068,7.74788323744292,2.98388836136479,2.86115925006342,3.01333343385337,7.56621315034669,2.95279368176053,5.25950341605361,0.462027323731405,-1.11394992150111,0.00020734494259389,0.0491520613809672
"DUOXA1",0.809846338286017,2.35267730777395,0.752594988458477,1.50495043194481,0.700485499071372,0.666374765322367,1.30503954483948,0.95727023211285,1.13115488847617,0.486778331220481,-1.03866314650815,0.031789735177246,0.186515613532643
