"gene.name","SRR975555.primary_colorectal_cancer","SRR975556.primary_colorectal_cancer","SRR975558.primary_colorectal_cancer","SRR975559.primary_colorectal_cancer","SRR975560.primary_colorectal_cancer","SRR975562.primary_colorectal_cancer","SRR975564.primary_colorectal_cancer","SRR975565.primary_colorectal_cancer","SRR975567.primary_colorectal_cancer","SRR975568.primary_colorectal_cancer","SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon","primary_colorectal_cancer.average","normal_colon.average","primary_colorectal_cancer.normal_colon.average","baseMean","log2FC","lfcSE","stat","pval","padj"
"PHOX2B",0,0,3.91111070735579,4.83187018001095,7.68355245658263,0,0,0,0,0,3.39199855642468,11.6258049383413,0,6.20375647975388,11.1938828089334,0,4.18150959074586,8.12334938876415,7.35367799162095,21.2034248547664,1.64265333439494,7.32774046093505,4.485196897665,4.485196897665,-2.15223492829916,1.04625144848536,-2.0570914682268,0.0396774282439241,0.119882765478395
"CCDC108",376.850842734894,34.0220863581681,25.8133306685482,6.76461825201534,20.8553566678671,30.089332073179,262.102261116292,118.534027552831,46.1574990514442,162.521793047818,16.1119931430172,8.71935370375594,23.8685977038891,3.5450037027165,41.7226541060243,10.8064844574781,35.5428315213398,18.2775361247193,20.2226144769576,5.57984864599116,108.371114752306,18.4396917585889,63.4054032554473,63.4054032554473,2.55665838439928,0.588749165630752,4.34252570304744,1.40854000560571e-05,0.000252452087915705
"GSDMD",0,3.2924599701453,3.91111070735579,0,0,0,0,4.19589478063118,0,0,1.69599927821234,2.90645123458531,0,14.180014810866,6.10575425941819,6.48389067448688,8.36301918149172,10.1541867359552,0,0,1.13994654581323,4.98893161750156,3.0644390816574,3.0644390816574,-2.12180928891264,1.16603073866683,-1.81968555249118,0.0688069047215414,0.179962874682634
"ZMAT2",53.0075910660071,5.4874332835755,2.34666642441347,28.0248470440635,10.9765035094038,28.8857587902518,8.51595794240661,103.848395820622,15.3858330171481,26.003486887651,3.39199855642468,3.87526831278042,7.26435582292277,0,18.3172627782546,5.40324222873907,12.5445287722376,6.09251204157311,10.1113072384788,0,28.2482473785543,6.7000475751411,17.4741474768477,17.4741474768477,2.07739325653179,0.650029715231844,3.1958435250777,0.00139422701233031,0.00911343750585687
"NPIPB3",3.31297444162544,3.2924599701453,44.586662063856,1.93274807200438,15.3671049131653,6.01786641463579,28.3865264746887,3.14692108547339,0.905049001008709,3.25043586095637,41.5519823162023,35.8462318932189,21.7930674687683,57.6063101691432,19.3348884881576,20.5323204692085,22.9983027491022,69.0484698044952,18.3841949790524,5.57984864599116,11.0198748297559,31.267561698334,21.143718264045,21.143718264045,-1.49513146461139,0.595827625523124,-2.50933558728281,0.0120958509439057,0.0487311493222618
"FOLH1",67.9159760533216,485.089102268074,79.7866584300581,199.073051416451,895.682686367347,99.8965824829541,209.11407836354,169.933738615563,182.819898203759,40.0887089517952,98.3679581363157,18.407524485707,30.0951884092515,33.6775351758068,50.8812854951516,47.5485316129038,94.0839657917818,19.2929547983148,44.1220679497257,29.0152129591541,242.940048115286,46.5492224814113,144.744635298349,144.744635298349,2.38251736865018,0.47563853397692,5.00909240622162,5.46873129539598e-07,1.97956507600565e-05
"MAGEA8",2.48473083121908,0,0,0,0,0,0,0,2.71514700302613,3.25043586095637,8.4799963910617,8.71935370375594,5.18882558780198,0,2.03525141980606,5.40324222873907,0,3.04625602078655,2.75762924685786,5.57984864599116,0.845031369520158,4.12104032448003,2.4830358470001,2.4830358470001,-2.26082400990985,0.993205094141006,-2.27629119428265,0.022828586809792,0.0795118351341636
"PTPRQ",0.828243610406361,0,9.3866656976539,8.69736632401972,2.19530070188075,0,14.1932632373443,27.2733160741027,5.43029400605226,14.0852220641443,0.84799963910617,1.93763415639021,0,0,1.01762570990303,1.08064844574781,0,3.04625602078655,0,2.23193945839647,8.20896717156043,1.01621034303302,4.61258875729673,4.61258875729673,3.03196045135649,0.908498907294182,3.33732977223571,0.000845875196418925,0.00617414173980709
"SNAP29",6.62594888325088,0,0,0,2.19530070188075,1.20357328292716,1.89243509831258,0,0,0,0,9.68817078195104,4.15106047024158,5.31750555407476,5.08812854951516,4.32259378299125,2.09075479537293,4.06167469438207,0.919209748952619,6.6958183751894,1.19172579663714,4.23349167526708,2.71260873595211,2.71260873595211,-1.79096931664687,0.893833740590229,-2.00369401524744,0.0451028477637511,0.131580172992789
"SPG20",3.31297444162544,7.6824065970057,10.1688878391251,11.5964884320263,12.0741538603441,6.01786641463579,4.73108774578145,0,10.8605880121045,6.50087172191274,15.2639935039111,19.3763415639021,9.33988605804356,17.7250185135825,19.3348884881576,19.4516720234606,12.5445287722376,19.2929547983148,23.8994534727681,24.5513340423611,7.29453250645611,18.0780071236739,12.686269815065,12.686269815065,-1.30472830943981,0.336493307606406,-3.87742721755982,0.000105566893490475,0.00120232864482522
"TAP2",67.0877324429152,2.1949733134302,2.34666642441347,2.89912210800657,2.19530070188075,0,0,0,0,0,0,2.90645123458531,0,94.8288490476665,0,0,0,2.03083734719104,61.5870531798254,0,7.67237949906462,16.1353190809268,11.9038492899957,3.89374494227091,-2.68420389485327,1.52801078819366,-1.75666553900867,0.0789748346829967,0.199459734771148
"MAMDC2-AS1",21.5343338705654,1.0974866567151,3.91111070735579,8.69736632401972,1.09765035094038,1.20357328292716,0,5.24486847578898,6.33534300706097,5.41739310159395,0,3.87526831278042,1.0377651175604,1.77250185135825,0,0,3.13613219305939,1.01541867359552,0,2.23193945839647,5.45391257769674,1.30690256067504,3.38040756918589,3.38040756918589,2.08411536293482,0.850350821745035,2.4508888680297,0.0142503942664916,0.0556083957681819
"ALPL",0.828243610406361,0,0,0,6.58590210564225,0,0,0,1.81009800201742,0,6.78399711284936,2.90645123458531,2.07553023512079,4.43125462839563,8.14100567922426,6.48389067448688,3.13613219305939,1.01541867359552,3.67683899581047,0,0.922424371806603,3.86505194271276,2.39373815725968,2.39373815725968,-2.09700566271925,0.950049599949122,-2.20725913976654,0.0272959601783417,0.090884131409421
"KIAA1549",28.9885263642226,3.2924599701453,11.7333321220674,13.5292365040307,15.3671049131653,14.4428793951259,13.2470456881881,36.7140793305228,16.2908820181568,10.8347862031879,8.4799963910617,7.75053662556083,8.30212094048317,9.74876018247039,7.12337996932122,0,13.589906169924,8.12334938876415,8.27288774057357,5.57984864599116,16.4440332508813,7.69707860541502,12.0705559281481,12.0705559281481,1.09277013998607,0.402897211850705,2.71228022394706,0.00668220764256652,0.0309361943081185
"ANKRD34B",19.0496030393463,9.8773799104359,2.34666642441347,6.76461825201534,6.58590210564225,4.81429313170863,40.6873546137205,14.6856317322091,5.43029400605226,122.433084096023,1.69599927821234,5.81290246917063,0,0,1.01762570990303,3.24194533724344,2.09075479537293,2.03083734719104,2.75762924685786,0,23.2674827311567,1.86476941839513,12.5661260747759,12.5661260747759,3.63639749381456,0.766857574159049,4.74194637485625,2.11674660278773e-06,5.54958696678929e-05
"ERBB2",2.48473083121908,17.5597865074416,8.60444355618274,0,26.343608422569,0,0,1.0489736951578,10.8605880121045,0,64.4479725720689,42.6279514405846,21.7930674687683,61.1513138718597,32.564022716897,25.9355626979475,24.0436801467887,20.3083734719104,48.7181166944888,32.3631221467488,6.69021310246747,37.3953183228063,22.0427657126369,22.0427657126369,-2.48735658283096,0.67938878448979,-3.66116815528375,0.000251067901001744,0.00238999362972322
"KRT42P",11.595410545689,6.5849199402906,2.34666642441347,2.89912210800657,3.29295105282113,7.22143969756295,12.3008281390318,12.5876843418935,2.71514700302613,0,0,0,0,0,0,0,0,3.04625602078655,0,0,6.15441692527352,0.304625602078655,3.22952126367609,3.22952126367609,4.21367514212589,1.00089231575157,4.2099185654771,2.55462750963048e-05,0.000393422487231845
"CDK18",14.0801413769081,333.63594364139,81.3511027130004,6.76461825201534,108.667384743097,60.1786641463579,14.1932632373443,3.14692108547339,97.7452921089406,26.003486887651,222.175905445817,215.077391359313,78.8701489345901,250.809011967193,207.595644820218,55.1130707331385,76.3125500311119,69.0484698044952,283.116602677406,253.325128527999,74.5766818192179,171.144392430128,122.860537124673,122.860537124673,-1.19957702875957,0.587603616760683,-2.04147318795032,0.0412038162697869,0.123407356328342
"CSNK1E",19.8778466497527,97.6763124476439,105.599989098606,283.147592548642,253.557231067227,13.2393061121987,11.3546105898755,3.14692108547339,220.831956246125,5.41739310159395,195.039916994419,168.574171605948,171.231244397465,221.562731419781,318.516847199649,470.082073900299,152.625100062224,268.070529829217,319.884992635511,431.880285199716,101.384915894714,271.746789324423,186.565852609568,186.565852609568,-1.42206902619212,0.600041232607353,-2.36995217814086,0.0177903861556228,0.0657177467931537
"WDR82",18.2213594289399,23.0472197910171,75.0933255812312,25.125724936057,43.906014037615,15.6464526780531,27.4403089255324,9.44076325642016,20.8161270232003,32.5043586095637,89.887961745254,87.1935370375594,89.2478001101941,117.871373115324,70.2161739833092,89.6938209970685,84.6755692126036,112.711472769103,45.9604874476309,41.2908799803346,29.124165426763,82.8749076398381,55.9995365333005,55.9995365333005,-1.50232595833695,0.308392764697668,-4.87146953596577,1.10771244645548e-06,3.3642729219788e-05
"DSCR4",5.79770527284452,5.4874332835755,169.742204699241,263.820111828598,57.0778182488995,83.0465565219739,14.1932632373443,6.29384217094677,111.321027124071,235.114860609177,5.08799783463702,8.71935370375594,9.33988605804356,4.43125462839563,11.1938828089334,9.72583601173032,9.40839657917818,6.09251204157311,0,14.507606479577,95.1894822996673,7.85067261458241,51.5200774571248,51.5200774571248,3.60551285089863,0.654316591287782,5.51034911678228,3.58122679753176e-08,2.19480659205252e-06
"AGPAT1",2.48473083121908,4.3899466268604,3.91111070735579,5.79824421601315,24.1483077206883,6.01786641463579,14.1932632373443,4.19589478063118,8.14544100907838,4.33391448127516,2.54399891731851,2.90645123458531,2.07553023512079,1.77250185135825,3.0528771297091,3.24194533724344,3.13613219305939,9.13876806235966,3.67683899581047,4.46387891679293,7.76187200251016,3.60089228733579,5.68138214492297,5.68138214492297,1.10686749433231,0.501666089124191,2.20638292746613,0.0273571993869306,0.0910374349269572
"SNAP25-AS1",24.0190647017845,46.0944395820342,53.1911056200387,165.249960156375,31.8318601772709,132.393061121987,79.4822741291283,61.8894480143099,35.2969110393397,33.5878372298825,29.6799873687159,50.3784880661454,18.6797721160871,28.360029621732,30.528771297091,33.5001018181822,43.9058507028315,28.4317228606745,20.2226144769576,33.479091875947,66.3035961772151,31.7166430204364,49.0101195988258,49.0101195988258,1.06281427065091,0.340434392371465,3.12193566357192,0.00179666196944433,0.0112089067362131
"CYP2W1",25.6755519225972,8.7798932537208,30.5066635173752,36.7222133680833,50.4919161432573,22.867892375616,64.3427933426277,57.6935532336788,9.05049001008709,28.1704441282885,11.0239953083802,12.5946220165364,6.22659070536238,17.7250185135825,9.15863138912729,17.290375131965,34.4974541236533,4.06167469438207,6.43446824266833,21.2034248547664,33.4301411295332,14.0216254980424,23.7258833137878,23.7258833137878,1.2570246559296,0.414922148864908,3.02954339595611,0.00244923714380067,0.014128808299686
"UBE2B",0,2.1949733134302,0,0,0,0,0,0,2.71514700302613,3.25043586095637,0,1.93763415639021,0,7.09000740543301,6.10575425941819,4.32259378299125,6.27226438611879,0,3.67683899581047,10.0437275627841,0.81605561774127,3.9448820548946,2.38046883631794,2.38046883631794,-2.28708875152024,1.13135628398587,-2.02154598325349,0.0432232772902435,0.127588001195628
"SNORD88C",1.65648722081272,2.1949733134302,0,2.89912210800657,2.19530070188075,0,0,2.09794739031559,1.81009800201742,4.33391448127516,2.54399891731851,9.68817078195104,1.0377651175604,4.43125462839563,4.07050283961213,3.24194533724344,6.27226438611879,3.04625602078655,0.919209748952619,8.92775783358586,1.71878432177384,4.4179125611525,3.06834844146317,3.06834844146317,-1.37498439117603,0.644869229287326,-2.13219103770169,0.0329911449393621,0.104544671539531
