"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",5566.61126661077,17.6779550529098,17.6779550529098
"Dim.2",3831.3392811865,12.1672307192559,29.8451857721657
"Dim.3",2737.7345003448,8.69425672566546,38.5394424978312
"Dim.4",2362.11976583831,7.50141244827816,46.0408549461093
"Dim.5",1832.48600242193,5.81944806891908,51.8603030150284
"Dim.6",1533.04391581724,4.86850619523403,56.7288092102625
"Dim.7",1505.03577568087,4.77956040420739,61.5083696144698
"Dim.8",1410.44184092074,4.47915729594696,65.9875269104168
"Dim.9",1367.60853001543,4.34313102993245,70.3306579403493
"Dim.10",1209.17372476329,3.83998769336368,74.1706456337129
"Dim.11",1190.68904740866,3.78128567883597,77.9519313125489
"Dim.12",1098.18417815582,3.48751684129638,81.4394481538453
"Dim.13",984.615094013992,3.12685412053096,84.5663022743762
"Dim.14",901.662417085849,2.863420296249,87.4297225706252
"Dim.15",860.71400773291,2.73337993500241,90.1631025056277
"Dim.16",807.929632304117,2.56575195244091,92.7288544580686
"Dim.17",795.538797609776,2.52640222811069,95.2552566861793
"Dim.18",767.558148783379,2.43754374157128,97.6928004277505
"Dim.19",726.514073305631,2.30719957224946,100
