"SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon"
0,0,0,0,0,0,0,0,0,0
0.0542108084066471,0,0.0382480772238514,0.0232524516129032,0,0,0.044052706744868,0.0294063968719453,0.0274981348973607,0
0.803934,1.00631,0.487963,0.865248,0.557702,0.641765,0.257352,1.030531,0.825542,0.307592
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.00663280446927374
0,0,0,0,0,0,0.004307,0,0,0.004473
0.007811,0,0,0.010834,0.011989,0,0,0,0,0
0,0.01642,0,0,0,0,0,0,0,0
0.004853,0,0,0,0,0,0,0,0,0.00469
0.00449035272683105,0.00493186663427669,0.00710231774565772,0,0,0.0072244178306814,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.033549,0,0,0,0.027267,0,0,0.058698,0.043019,0
0,0,0,0.013949,0,0,0,0,0,0
0.0133472401925391,0,0.0276029973525872,0.0251074876052948,0.0364193003610108,0.0861111018050542,0,0.00965396341756919,0.0826818385078219,0
0.026752,0.117532,0.018638,0.091182,0.008673,0.009564,0.009139,0.10546,0.144121,0.152411
0,0,0,0,0,0,0,0,0,0
0,0,0,0.026811,0,0,0,0,0,0
0.049064,0.033755,0,0.036823,0,0,0.024729,0,0,0.016197
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.039905,0,0,0,0,0.034867
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.013156,0,0,0
0,0,0,0.020839,0,0,0,0,0,0
0.192266,0.111965,0,0.083229,0.060432,0.098919,0.060526,0.170017,0.112121,0.065707
0,0,0.011992,0,0,0.021679,0,0,0,0
0,0,0,0,0.02219,0,0,0,0,0.032031
0,0,0,0,0,0,0,0.006202,0,0
0,0,0.00759410235767683,0,0,0.00747338777074947,0.0072630569292697,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.00451,0,0,0,0.00315,0,0,0,0
0,0,0,0,0,0,0,0,0.021421,0
0,0.0059128784216657,0,0,0,0,0,0,0,0
0.0189802848617466,0.0417604905510245,0.0146519315695246,0.0146007384125721,0.0235727610901134,0.0144100298388701,0.0131192309528546,0.011142950069624,0.0161292198130097,0.0526125012930177
0.4746,0.357101,0.259246,0.228266,0.134627,0.302719,0.19415,0.277402,0.429005,0.382989
0.001914,0,0,0.003814,0.002241,0,0,0,0,0
0,0,0,0,0,0.020904,0,0.079983,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.019764,0.036683,0,0.048559,0.026132,0.033415
0,0,0.012224,0,0,0,0,0,0,0
0,0,0,0,0.00235664864191378,0.00919582481933715,0,0,0.00203596860204336,0
0,0,0,0,0,0,0,0,0.020896,0
0.032326,0,0,0,0,0,0,0,0,0
0,0.0287793210489015,0,0,0,0,0,0,0,0.0143045641389086
0,0,0,0,0,0,0,0,0,0
0,0.00339071802706242,0,0.00478704859595519,0,0,0,0.00583585261166885,0.00515687472719337,0.0200387603666521
0.022571,0.147572,0.046264,0.063689,0,0.048413,0.038448,0.097828,0.079432,0
0.00438096343178622,0,0,0,0,0,0,0,0,0
0,0.019233,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.008629
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.000375,0
0.036407,0.019994,0,0.017122,0.037253,0,0.018563,0.059247,0,0.009938
0.034752,0,0,0,0.029092,0,0.012775,0,0,0.014305
0,0,0.0091662748727441,0,0,0,0,0,0,0
0,0.0105016306042885,0,0,0,0.0113636253411306,0,0.00781890175438597,0.0133101274853801,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.014694,0,0,0,0
0,0,0,0.00889191680726801,0,0,0.00491753549643089,0,0,0
0,0,0,0,0,0,0,0,0,0
0.054612,0.123832,0.039322,0.114259,0.167369,0.12956,0.018511,0.110182,0.118401,0.134734
0.012082,0,0,0.011364,0,0,0,0,0,0
0,0.009729,0,0,0,0,0,0,0,0
0,0,0.005706,0,0.003992,0,0,0,0,0
0,0,0,0,0,0,0.016684,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.016804,0,0,0,0,0,0,0
0,0,0,0,0.036835,0,0,0,0,0
