"","group","lib.size","norm.factors","normalized.lib.size"
"SRR5687509","SUM44_normal",119354040,0.995907058824937,118865530.935274
"SRR5687510","SUM44_normal",122447625,1.04799111046733,128324022.497838
"SRR5687511","SUM44_normal",132713617,1.0021064207501,132993167.71667
"SRR5687512","SUM44_Y537S_mut",158470206,0.998319030807004,158203822.465706
"SRR5687513","SUM44_Y537S_mut",160984864,1.00138830992667,161208360.884734
"SRR5687514","SUM44_Y537S_mut",149748484,0.956396280790586,143218893.151629
