"baseMean","log2FC","lfcSE","stat","pval","padj"
89.2689069697309,-2.86116310080868,0.585820118102736,-4.88403011845168,1.0393918774772e-06,1.66968066234638e-05
31.1384185869806,-0.187935620888691,0.473893069286419,-0.396578116602722,0.691678592472751,0.825307754576825
5.93122073468632,-0.235905379413212,0.491140896618977,-0.480321188964693,0.63099902439121,0.782201426157916
95.5509127461411,0.2253868310182,0.233622943284353,0.964746132591399,0.334671982542436,0.529262526479095
36.6639177755736,-0.419924669926757,0.446334840185042,-0.94082879515447,0.346792601950996,0.541637207371768
1.26703674674838,2.00541998465476,1.14409120158138,1.75284975697991,0.0796277997408922,0.189132488504212
1.90446338867132,-0.118123612087103,0.918307519845295,-0.128631868447514,0.897648948409322,0.946175004497028
105.527108999275,-0.318250298960279,0.212878185369536,-1.49498784202725,0.134917615183134,0.280774202869441
3.25183967705382,-0.444470776086914,0.487215795171335,-0.912266762473517,0.361628306586704,0.556634518839122
6.8752249707843,-0.520698983864027,0.344303488150615,-1.51232561325736,0.130451048234704,0.274233259892039
1.02018634431385,-1.30206772524888,2.1203129382173,-0.614092241659203,0.539154374746609,0.714290643975989
15.3819111296186,0.13186993005539,0.345140774227649,0.382075778645647,0.702405157218393,0.832190415228448
111.088839542037,-0.119079729006051,0.160284686687355,-0.742926423397655,0.457526227152417,0.647521239293025
62.8478859275645,-0.272350630742682,0.255802869627202,-1.06468950539764,0.287016460737584,0.476921533955921
13.5783574632742,-1.0326596596096,0.323414277717203,-3.19299341667461,0.00140806156649919,0.00764904735378407
14.9813093745791,2.16063072123824,0.457191529200539,4.72587653803734,2.29124834901682e-06,3.29926997643664e-05
67.2935909384498,-0.538605653500777,0.24319892367975,-2.21467120557666,0.0267826406481877,0.0816894962120916
2.21481811942582,-3.66803951657915,1.70982986206579,-2.14526579395887,0.0319316017573757,0.0937988533495727
7123.47111214577,-0.165531779250904,0.220729964490784,-0.74992889901822,0.453297528229641,0.644004903652587
14.997435671851,-0.22067716928998,0.358556987501626,-0.615459123604388,0.538251556278297,0.713663788346496
7107.90396095581,-0.071328676283897,0.208939214890808,-0.341384820083551,0.732813901287223,0.850060178914409
3.56456356863046,0.263395761809451,0.69812993093471,0.377287593810506,0.705959890837594,0.834252158214276
9.76669322289326,5.53068115506797,1.50363976748727,3.67819558557584,0.000234889815206453,0.00171648206209816
1.1623372568386,3.65755758665456,1.83834519601007,1.98959237611788,0.0466358566681188,0.126250814534507
5.22717753481507,0.670209759694463,0.756295967929045,0.886173916184809,0.375523817000815,0.570323246579062
4.26570484393707,-2.75555905598566,1.27497289483766,-2.16126873531419,0.0306745865416873,0.0908393719458055
3.96225446377454,-1.46064435926703,1.05554968912086,-1.38377603093566,0.166427044520415,0.32702142464035
1.02658126219739,0.019853175056211,1.45195523519358,0.0136734071237148,0.989090539506014,0.994892072455226
213.14776512376,1.23603974629426,0.243808894000043,5.06970736799306,3.98427821371155e-07,7.24202805835461e-06
1.42947596083574,2.11861805388554,1.35614906376911,1.56223096006667,0.118233589569795,0.255070045448237
1.16922133394011,0.570392928560583,1.28072744247947,0.445366367301626,0.656055013388235,0.800282518761533
319.882941339211,0.160385181383978,0.248693181127274,0.644911857482323,0.518984307153437,0.69880827754129
2.8081146317883,1.88345297708335,0.84116778757805,2.23909308570448,0.0251498600665484,0.0778314694851625
2857.61959402269,1.02685263445718,0.174377614821065,5.88867232477556,3.89310469188264e-09,1.21674821004946e-07
1.14466301905044,2.17400146776324,2.04888060878968,1.06106791114953,0.288659039581998,0.47891200950484
6.09409283298242,0.484848045975204,0.679305213772774,0.713741093318598,0.475387291004735,0.662354337264804
636.863432220522,0.407061989699209,0.220889208363924,1.84283330414475,0.0653533526160955,0.163317036166317
9.2309015902377,-0.844568980249226,0.560507110140702,-1.50679440986434,0.131863362902575,0.276331469186222
164.298521738893,0.0621165321679688,0.20375186246145,0.304863628815768,0.760470017883216,0.867081413041046
13.6875118734994,-1.19122773747643,0.476886854653197,-2.49792529580778,0.012492251624671,0.0447460127138127
4.12670253483293,0.431615212755168,0.944396184995387,0.457027696228227,0.647651138450723,0.794260721936603
18.5492964808388,-0.944030982749362,0.368641408427319,-2.56083815102797,0.0104419989279951,0.0386795514250302
98.1238634254552,8.57037733001761,1.04503650834259,8.20103150617208,2.38333052223211e-16,2.35121923695165e-14
1.66610099670366,-1.51790312795415,1.44029702585179,-1.05388201232761,0.291936939220384,0.482399569622124
1.58874416202929,0.788642828502169,1.20333511237979,0.655380883004821,0.512222556649372,0.69345617903519
3.15704533932189,-1.41266153318124,0.73761953665646,-1.91516284883758,0.0554717387406898,0.143865237782027
4.45278809493768,-1.44329845113627,0.583626941448526,-2.4729811950663,0.0133991193295954,0.0472543371963504
3.17318507231912,-0.0301526234734552,1.40538610526471,-0.0214550459553432,0.982882663330197,0.991707389588774
11.4579448903145,1.01866593474374,0.383442871072498,2.65663026122904,0.00789259527831885,0.0308343274121383
1.0280554829662,-0.956019861284321,1.8805534673801,-0.508371539478855,0.611192808167974,0.768062063045392
15786.0744408446,-0.416585861654149,0.313171573707711,-1.33021607523982,0.183447089182753,0.350545636149572
6.16668087436342,-0.236084640118078,0.528814767815021,-0.446441087667697,0.655278658827618,0.799555657589456
21.4234344662585,0.71276557320358,0.278912125295741,2.55552021070367,0.0106029203477916,0.0392009272249132
5.79881127954107,0.590380964461936,1.04763545826899,0.563536638438551,0.573069518664764,0.740532339212487
2659.51133534947,-0.0568813593875837,0.273340566959531,-0.208097027163938,0.835153208331856,0.912990208727318
