"gene.name","SRR975555.primary_colorectal_cancer","SRR975556.primary_colorectal_cancer","SRR975558.primary_colorectal_cancer","SRR975559.primary_colorectal_cancer","SRR975560.primary_colorectal_cancer","SRR975562.primary_colorectal_cancer","SRR975564.primary_colorectal_cancer","SRR975565.primary_colorectal_cancer","SRR975567.primary_colorectal_cancer","SRR975568.primary_colorectal_cancer","SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon","primary_colorectal_cancer.average","normal_colon.average","primary_colorectal_cancer.normal_colon.average","log2FC","logCPM","pval"
"KIAA1549",0.5413694486549,0.0595556362962715,0.220368627986307,0.252387957003577,0.281866513717224,0.264688947199528,0.248146457968359,0.669006595345653,0.307639047250044,0.19974053361989,0.155753303690553,0.139981821918621,0.149465539463622,0.175486873178899,0.130244812976757,0,0.249945735069961,0.146645509147478,0.148154397188467,0.101615266487465,0.304476976504175,0.139729325912182,0.222103151208179,-1.11016073638739,-1.95237153367158,0.0222179074329286
"ANKRD34B",0.355757066258935,0.178666908888815,0.0440737255972615,0.126193978501789,0.120799934450239,0.0882296490665092,0.762164120902817,0.267602638138261,0.102546349083348,2.25706802990476,0.0311506607381107,0.104986366438966,0,0,0.0186064018538224,0.0583580757366245,0.0384531900107632,0.0366613772868695,0.0493847990628224,0,0.430310240079273,0.0337600871127978,0.232035163596035,-3.58124739474574,-1.90544884574622,8.74228318305891e-06
"TTC26",0,0,0,0,0,0,0,0,0,0,0,0.0349954554796553,0,0.0957201126430358,0.0372128037076449,0,0,0,0,0.0406461065949861,0,0.0208574478425322,0.0104287239212661,3.36653894854544,-4.42250184350498,0.0232272651594224
"ERBB2",0.0464030955989915,0.317630060246782,0.161603660523292,0,0.483199737800955,0,0,0.0191144741527329,0.205092698166696,0,1.18372510804821,0.769900020552416,0.392347041092007,1.10078129539491,0.595404859322318,0.466864605892996,0.442211685123777,0.366613772868695,0.872464783443195,0.589368545627299,0.123304372648945,0.677968171736582,0.400636272192763,2.44107458026019,-1.19222354384268,0.000612423529294808
"KRT42P",0.21654777946196,0.119111272592543,0.0440737255972615,0.0540831336436237,0.0603999672251194,0.132344473599764,0.230421710970619,0.229373689832795,0.051273174541674,0,0,0,0,0,0,0,0,0.0549920659303042,0,0,0.113762892746536,0.00549920659303042,0.0596310496697832,-3.92069233734333,-3.38696403454256,1.83016898818238e-05
"MAP1A",0,0,0,0,0,0,0,0,0,0,0,0.0874886386991382,0.0560495772988582,0.0638134084286905,0,0,0,0.0549920659303042,0,0,0,0.0262343690356991,0.0131171845178496,3.66689460436826,-4.34106000700578,0.0131131497107472
"CDK18",0.262950875060952,6.03497114468885,1.5278891540384,0.126193978501789,1.99319891842894,1.10287061333137,0.265871204966099,0.0573434224581988,1.84583428350026,0.479377280687736,4.0807365566925,3.88449555824173,1.41992262490441,4.51479864632985,3.79570597817978,0.992087287522617,1.40354143539286,1.24648682775356,5.07017270378309,4.61333309853093,1.36965008756626,3.10212807173313,2.2358890796497,1.17907147848436,1.18412269153425,0.04805682349734
"CSNK1E",0.371224764791932,1.76681721012272,1.98331765187677,5.28211938586058,4.65079747633419,0.2426315349329,0.212696963972879,0.0573434224581988,4.17021819605615,0.099870266809945,3.58232598488273,3.04460462673001,3.0827267514372,3.98833802679316,5.82380378024642,8.46192098181056,2.80708287078571,4.83930180186677,5.72863669128739,7.86502162612982,1.88370368732163,4.92237631419698,3.4030400007593,1.3844024215123,1.78198346694423,0.0222306182711887
"WDR82",0.340289367725937,0.416889454073901,1.41035921911237,0.468720491578072,0.805332896334925,0.286746359466155,0.514017662934458,0.172030267374596,0.393094338152834,0.59922160085967,1.65098501911987,1.57479549658449,1.60675454923394,2.12179583025396,1.28384172791375,1.61457342871328,1.55735419543591,2.03470643942126,0.823079984380373,0.751952972007243,0.540670165761291,1.50198396430641,1.02132706503385,1.46646793026699,0.0813887725949539,0.00028231279228476
"CNR1",0.0464030955989915,0.119111272592543,0,0,0,0,0,0.0764578966109318,0.051273174541674,0.079896213447956,0,0,0,0,0,0,0,0,0,0,0.0373141652792096,0,0.0186570826396048,-4.12970367589052,-4.19929384801987,0.00283021735195792
"DSCR4",0.10827388973098,0.0992593938271192,3.18799948486858,4.92156516156976,1.0469327652354,1.52196144639728,0.265871204966099,0.114686844916398,2.10220015620863,4.33436957955161,0.093451982214332,0.157479549658449,0.168148731896575,0.0797667605358632,0.204670420392047,0.175074227209874,0.173039355048434,0.109984131860608,0,0.26419969286741,1.77031199272719,0.142581485168359,0.956446738947773,-3.61912778097205,-0.0110948943488421,4.60580015707511e-07
"AGPAT1",0.0464030955989915,0.0794075150616954,0.0734562093287691,0.108166267287247,0.442933092984209,0.110287061333137,0.265871204966099,0.0764578966109318,0.153819523625022,0.079896213447956,0.046725991107166,0.0524931832194829,0.0373663848659055,0.0319067042143453,0.0558192055614673,0.0583580757366245,0.0576797850161448,0.164976197790913,0.0658463987504298,0.0812922131899723,0.143669808024406,0.0652464139452451,0.104458110984825,-1.11147365116732,-2.83702564146206,0.0402007993666896
"SNAP25-AS1",0.448563257456917,0.833778908147802,0.99900444687126,3.08273861768655,0.583866349842821,2.426315349329,1.48887874781015,1.12775397501124,0.666551269041761,0.619195654221659,0.545136562916937,0.909881842471037,0.336297463793149,0.510507267429524,0.558192055614673,0.603033449278453,0.807516990226027,0.513259282016173,0.362155193127364,0.609691598924792,1.22766465754192,0.575567170579813,0.901615914060865,-1.08936125221523,-0.0939493229113167,0.00958879839154851
"CYP2W1",0.479498654522912,0.158815030123391,0.572958432764399,0.685053026152567,0.926132830785164,0.419090833065919,1.20528279584632,1.05129607840031,0.17091058180558,0.519325387411714,0.202479294797719,0.227470460617759,0.112099154597716,0.319067042143453,0.167457616684402,0.311243070595331,0.634477635177592,0.073322754573739,0.115231197813252,0.386138012652368,0.618836365087827,0.254898623965333,0.43686749452658,-1.27549622008637,-1.08140211719021,0.00859278098647531
"UBE2B",0,0.0397037575308477,0,0,0,0,0,0,0.051273174541674,0.059922160085967,0,0.0349954554796553,0,0.127626816857381,0.111638411122935,0.0778107676488327,0.11535957003229,0,0.0658463987504298,0.182907479677438,0.0150899092158489,0.0716184899568961,0.0433541995863725,2.10202463393533,-3.66046271181827,0.032641547019663
"SNORD88C",0.0309353970659943,0.0397037575308477,0,0.0540831336436237,0.0402666448167463,0,0,0.0382289483054659,0.034182116361116,0.079896213447956,0.046725991107166,0.174977277398276,0.0186831924329527,0.0797667605358632,0.0744256074152897,0.0583580757366245,0.11535957003229,0.0549920659303042,0.0164615996876075,0.162584426379945,0.031729621117175,0.0802334566656318,0.0559815388914034,1.28751365144477,-3.44607859270678,0.0416630453770834
"RASGRF1",5.53743607481298,2.91822617851731,16.233822261658,19.1093738874137,13.1470595326677,21.7927233194278,10.971618391601,14.5078858819243,10.9382772355571,3.85499229886388,1.54195770653648,2.51967279453518,4.1103023352496,3.17471706932735,3.94455719301035,7.66436061341002,12.1127548533904,5.77416692268194,3.06185754189499,7.25533002720502,11.9011415062444,5.11596770572413,8.50855460598425,-1.21809962203106,3.09488220386632,0.00251807441331524
"IRAK2",11.6471769953469,1.94548411901154,24.8428899949897,30.7011921983637,6.60372974994639,5.38200859305706,16.7498859128642,11.1437384310433,13.1601147990296,10.6261963885782,7.19580263050357,5.30181150516777,4.72684768553704,6.26966737811884,4.39111083750209,6.16650333616999,3.51846688598483,6.21410345012438,7.11141106504642,2.78425830175655,13.2802417182231,5.36799830759115,9.3241200129071,-1.30648289481972,3.22671913809131,0.000546963132138606
"GPR158-AS1",0.0154676985329972,0.0595556362962715,0.0440737255972615,0.0360554224290825,0,0,0.0886237349886996,0.114686844916398,0.051273174541674,0,0,0,0,0,0,0,0,0,0,0,0.0409736237302384,0,0.0204868118651192,-4.2706829389414,-4.14244651999917,0.000249654278874072
"PPT1",7.16154442077768,6.88860193160207,4.51021125278642,44.8529455017786,11.8585268985318,18.1973651199675,8.59650229390387,12.5773239924983,23.2609301837394,7.61011433091781,5.87189954913386,6.10670698119984,6.66989969856413,3.54164416779232,3.75849317447213,4.92153105378867,8.95959327250782,8.37712471004968,5.87679108847586,16.075535158317,14.5514065926503,7.01592188543013,10.7836642390402,-1.05241840654169,3.43549734362192,0.00698187129859499
"GRM5",0.0309353970659943,0.0198518787654238,0,0,0.0201333224083731,0,0.0354494939954799,0.0955723707636647,0.0854552909027899,0,0,0.0174977277398276,0,0,0,0,0,0,0,0,0.0287397753901726,0.00174977277398276,0.0152447740820777,-2.94810141319066,-4.28417974676322,0.0131514105944114
"FAM186A",0,0,1.08715189806578,0.793219293439814,0,1.4557892095974,0.478568168938978,0.630777647040187,0.358912221791718,0.419455120601769,0,0,0.0373663848659055,0,0,0,0.11535957003229,0,0,0.0812922131899723,0.522387355947565,0.0234018168088167,0.272894586378191,-4.38149006553626,-1.69814650584801,0.000141986422403317
"C5orf34",3.85145693471629,1.11170521086374,2.74726222889596,2.90246150554114,1.69119908230334,2.11751157759622,2.81823477264065,5.73434224581988,1.36728465444464,1.69779453576907,2.1961215820368,1.29483185274724,0.653911735153346,1.35603492910967,0.632617663029963,1.08935074708366,1.48044781541438,0.861542366241433,0.70784878656712,1.7477825835844,2.60392527485909,1.2020490060968,1.90298714047795,-1.11380412587527,0.955566713522087,0.00395057882244549
"ZNF655",22.0724058065869,0.972742059505768,6.25846903481113,16.3331063603744,0.100666612041866,31.2553531818109,5.15790137634232,36.6997903732472,1.94838063258361,20.3535603758668,1.43293039395309,1.69727959076328,0.354980656226102,0.654087436394078,2.12112981133576,1.88691111548419,19.7841662605377,1.39313233690104,1.36631277407142,1.1787370912546,14.1152375813171,3.18696674669212,8.65110216400461,-2.14646632690159,3.11864818812093,0.00259965399753374
"ELP3",0.0464030955989915,0,0,0,0,0,0,0,0,0,0.093451982214332,0.104986366438966,0,0.0478600563215179,0,0.194526919122082,0,0,0.0658463987504298,0,0.00464030955989915,0.0506671722847327,0.0276537409223159,2.87144192362306,-3.96303114929264,0.038427937601571
"SOCS5",0.32482166919294,0.178666908888815,0.778635818884952,0.667025314938025,0.926132830785164,1.05875578879811,0.762164120902817,0.32494606059646,0.905826083569573,0.579247547497681,0.404958589595439,0.36745228253638,0.392347041092007,0.526460619536697,0.297702429661159,0.116716151473249,0.442211685123777,0.256629641008086,0.214000795938897,0.121938319784958,0.650622214405454,0.314041755575065,0.482331984990259,-1.04125891074602,-0.948256110022262,0.0147247817365997
"RIPK3",0,0,0,0,0.0603999672251194,0.154401885866391,0,0,0.034182116361116,0,0,0,0,0,0,0,0,0,0,0,0.0248983969452626,0,0.0124491984726313,-3.56843976796019,-4.38947912340297,0.0434654442160815
"KCNIP4",1.59317294889871,1.80652096765357,1.41035921911237,1.00955182801431,2.01333224083731,1.98516710399646,1.47115400081241,1.58650135467683,4.75131417419512,0.898832401289505,6.30800879946741,3.84950010276208,3.10140994387015,3.81285115361426,3.33054593183421,2.52884994858706,3.53769348099021,3.64780704004351,5.00432630503266,4.1052567660936,1.85259062394866,3.92262494722952,2.88760778558909,1.08142743714004,1.54804586833686,0.00200490089383414
"TTC25",0,0.0794075150616954,0,0.126193978501789,0.140933256858612,0,0,0,0.0854552909027899,0,0.451684580702605,0.227470460617759,0,0.255253633714762,0.279096027807336,0.291790378683123,0.326852115091487,0.146645509147478,0.164615996876075,0.162584426379945,0.0431990041324886,0.230599312902057,0.136899158517273,2.3677655668016,-2.52864895509402,0.00308317457085043
"CD84",2.10360700048761,1.56829842246848,3.62873674084119,0.540831336436237,1.1274660548689,0.617607543465564,2.37511609769715,1.4527000356077,2.37565708709756,4.41426579299957,4.84392774477621,6.56164790243536,6.55780054396641,4.45098523790116,3.25612032441892,5.34949027585725,2.7109498957588,4.56434147221525,3.48985913377278,1.03647571817215,2.020428611197,4.28215982492743,3.15129421806221,1.08208172151277,1.67268653224126,0.00852745490012694
"SLC25A23",82.8913964383318,122.625055134023,90.3070637487887,57.8689529986773,145.845787526255,74.2673071017341,108.918570301112,79.8411585359655,77.0293992197748,57.4054293623564,160.176697515365,150.462960834778,218.350469963919,206.244936041528,170.583492195844,213.901800266641,252.868177510779,197.183217737427,208.634314440737,137.566747770731,89.7000120367019,191.597281427775,140.648646732238,1.09488805585836,7.13632214861252,1.12438524267828e-07
"UBXN4",0,0,0,0,0,0,0,0,0,0,0.0623013214762213,0,0.0373663848659055,0,0.0744256074152897,0.0389053838244164,0,0.0549920659303042,0.0493847990628224,0,0,0.0317375562574959,0.015868778128748,3.92124362524231,-4.26363060597838,0.00119243307793705
"HS2ST1",0,0,0,0,0,0.0220574122666273,0,0,0,0.039948106723978,0,0.0524931832194829,0.0560495772988582,0,0.0558192055614673,0.0583580757366245,0,0.073322754573739,0,0.0609691598924792,0.00620055189906053,0.0357011956282651,0.0209508737636628,2.23108016877004,-4.14418678482711,0.0319099251932896
"SV2B",7.95039704596054,4.54608023728206,7.91857936564131,9.64482549977956,5.25479714858539,4.34531021652558,15.7041258399976,18.8277570404419,9.41717305748745,16.278853490021,6.44818677278891,4.14696147433915,6.18413669530736,5.58367323751042,2.75374747436572,4.57138259936892,4.11449133115166,5.18758488609203,3.85201432690014,6.40176178871032,9.98878989417224,4.92439405865346,7.45659197641285,-1.0200508101418,2.90547398024274,0.00220613689874821
"ADAMTS16",0.154676985329972,0.0595556362962715,1.64541908896443,4.88550973914067,1.59053247026148,25.4101389311547,0.443118674943498,0.363175008901926,0.683642327222319,0.099870266809945,0.918944491774265,0.122484094178793,0.280247886494291,0.0638134084286905,1.28384172791375,0.408506530156372,0.384531900107632,0.531589970659607,0.0493847990628224,0.0406461065949861,3.53356391290252,0.408399091537121,1.97098150221982,-3.10527277229175,1.00169341310785,0.000400330997598296
"PGM5P3-AS1",0,0,0.0293824837315076,0,0.0402666448167463,0,0,0,0,0,0.109027312583387,0,0.0186831924329527,0.0638134084286905,0.0186064018538224,0.155621535297665,0,0.219968263721217,0.0658463987504298,0.345491906057382,0.00696491285482539,0.0997058419125547,0.0533353773836901,3.44083532843324,-3.48929357924222,0.000943226399372877
"RPL27",4.23814939804122,1.64770593753018,5.28884707167138,6.20153265780218,5.01319727968491,5.51435306665683,5.95551499124062,7.74136203185684,5.16149957052851,4.1745771526557,1.43293039395309,0.682411381853278,1.7375368962646,2.3291894076472,1.63736336313637,2.19815418607952,4.21062430617857,1.42979371418791,0.921849582506017,3.94267233971365,5.09367391576684,2.05225255715202,3.57296323645943,-1.31162375438366,1.85144319033438,0.000497859009770899
"APOL4",0.0464030955989915,0.0198518787654238,0,0.0721108448581649,0.0805332896334925,0,0,0,0,0.039948106723978,0,0,0,0,0,0,0,0,0,0.0203230532974931,0.0258847215580051,0.00203230532974931,0.0139585134438772,-2.76871076853214,-4.32769517969362,0.0308228420055443
"PRAME",1.6241083459647,1.88592848271527,6.44945517906593,1.49630003080692,3.60386471109879,0.772009429331956,1.71930045878077,0.936609233483914,2.22183756347254,2.29701613662874,6.10552950466969,6.6491365411345,4.7828972628359,2.90351008350542,11.4429371401008,18.2077196298269,3.99913176111937,6.89233892993146,3.80262952783732,2.23553586272424,2.30064295713495,6.70213662436856,4.50138979075175,1.54041909410376,2.18193033784179,0.000392673602159835
"GOLGA8H",0,0.0595556362962715,0.0587649674630153,0,0,0.0441148245332546,0,0.0955723707636647,0,0,0.109027312583387,0.139981821918621,0.0373663848659055,0.159533521071726,0.223276822245869,0.0389053838244164,0.0576797850161448,0.109984131860608,0.0987695981256447,0.182907479677438,0.0258007799056206,0.115743224118976,0.0707720020122984,2.08430343405296,-3.22543427054248,0.00278876296143178
"ARRB1",12.1576110469358,36.7061238372687,88.7938658366161,136.199358225859,100.425012172965,12.5727249919776,118.34813570391,11.2010818535015,91.1295222187352,39.3488851231183,21.3537779359749,23.1144983443123,5.54890815258696,21.5529786967902,27.351410725119,30.6574424536401,77.2332321366178,30.8872103641875,24.3137827385962,19.1849623128335,64.6882321010887,28.1198203860658,46.4040262435773,-1.20190203805144,5.53730749354599,0.00497081726873585
"CLEC1B",0,0,0,0,0,0,0,0,0,0,0,0.0699909109593105,0.0373663848659055,0.0797667605358632,0.0372128037076449,0.0583580757366245,0.0769063800215264,0,0,0,0,0.0359601315826875,0.0179800657913437,4.08336469964741,-4.20955013527032,0.000942381506223422
"TNIP1",407.558388645942,313.719240129993,1365.41871024503,3061.95266665618,1371.13965597744,3406.30411892299,1661.57095780913,909.562252557797,1421.25821617884,469.589994540362,236.667144957796,198.634205302523,184.178911004048,208.765565674461,230.235616539199,314.822365907177,421.370056137943,318.789006197974,243.351828181901,761.362545683983,1438.80742016637,311.8177245587,875.312572362535,-2.2060968246786,9.77371182148412,4.53266062844327e-09
"TLR8-AS1",0.989932706111818,1.01244581703662,2.7031885032987,1.87488196631229,0.805332896334925,0.705837192532074,0.921686843882476,1.66295925128777,3.12766364704211,3.77509608541592,5.59154360249087,5.52928196578553,4.83894684013476,4.73814557583027,2.99563069846541,5.81635488175024,1.49967441041976,3.39117739903543,4.54340151377966,0.406461065949861,1.75790249092547,3.93506179536418,2.84648214314482,1.16122595582333,1.52779497259771,0.00831220068168858
"TLR8",0.0618707941319886,0,0,0.0721108448581649,0,0.132344473599764,0,0.0955723707636647,0.051273174541674,0,0.171328634059609,0.209972732877932,0.242881501628386,0.111673464750208,0.111638411122935,0.175074227209874,0.0769063800215264,0.164976197790913,0.0987695981256447,0,0.0413171657895256,0.136322114758703,0.0888196402741141,1.68632214576621,-3.00034180320333,0.0209751383295166
"GDF15",0.0309353970659943,0.377185696543053,0,0.0540831336436237,0.342266480942343,0.0661722367998819,0.0354494939954799,0,0,0,0.202479294797719,0.349954554796553,0.448396618390866,0.558367323751042,0.260489625953514,0.272337686770915,0.422985090118395,0.549920659303042,0.0823079984380373,0.101615266487465,0.0906092438990376,0.324885411880755,0.207747327889896,1.8328737971136,-2.03771074557029,0.0151365753933594
"CEP89",0.10827388973098,0.0794075150616954,0,0,0,0.0441148245332546,0,0.133801319069131,0.034182116361116,0.039948106723978,0,0,0,0,0,0,0,0,0,0.0609691598924792,0.0439727771480155,0.00609691598924792,0.0250348465686317,-2.53185048822443,-4.0402806759633,0.0384482131215311
"SRCIN1",243.879202769766,60.1114889017034,135.747074839565,133.531256966107,70.9095615222902,75.634866662265,129.355203589506,272.400371150597,279.95153299754,197.902920710587,93.9815434468799,49.3085967708343,85.0272087623679,72.7153789044928,34.7939714666479,49.896154754814,53.9882787751115,67.7868866034217,68.9082562923248,79.9915377789327,159.942348010993,65.6397813555828,112.791064683288,-1.28488756386744,6.81797729862881,3.62501510057364e-06
"PAPLN",0,0,0,0,0,0,0,0,0,0,0,0.0524931832194829,0,0.0957201126430358,0,0,0.0576797850161448,0,0,0.0609691598924792,0,0.0266862240771143,0.0133431120385571,3.68437954205775,-4.33781714391026,0.0144707674482142
"MRVI1-AS1",0.0773384926649858,0.0397037575308477,0.367281046643845,0.0360554224290825,0.0603999672251194,0.0441148245332546,6.93037607611631,0.191144741527329,0.102546349083348,0.099870266809945,0.0311506607381107,0.157479549658449,0.20551511676248,0.0638134084286905,0.0744256074152897,0.291790378683123,0.384531900107632,0.109984131860608,0.164615996876075,0.182907479677438,0.794883094456407,0.166621423020789,0.480752258738598,-2.24277903003615,-0.9505056681259,0.00963709283523363
