"gene.name","SRR975587.metastasized_cancer","SRR975588.metastasized_cancer","SRR975589.metastasized_cancer","SRR975591.metastasized_cancer","SRR975593.metastasized_cancer","SRR975598.metastasized_cancer","SRR975599.metastasized_cancer","SRR975601.metastasized_cancer","SRR975603.metastasized_cancer","SRR975604.metastasized_cancer","SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon","metastasized_cancer.average","normal_colon.average","metastasized_cancer.normal_colon.average","log2FC","logCPM","pval"
"FOXF1",0.41122785286083,2.37522964644098,0.126413392996657,0.286377229293878,0.0777826090460362,0.111807536701839,0.113492877618995,0.0569824217055673,0.095421468906642,0.0612679726782423,2.6870467325693,4.92754333797603,2.55229141268177,2.67500818053369,2.92072467751784,3.82839052203222,0.934635303551096,2.51465628881121,2.23457304998643,1.93369177764718,0.371600300824967,2.72085612833068,1.54622821457782,2.8551182469912,0.660432800577153,6.18971711484815e-06
"GRIA4",0.158164558792627,0.282765434100117,0.0842755953311045,0.222737845006349,0.20742029078943,0.167711305052759,0,0.0949707028426121,0.136316384152346,0.153169931695606,0.470612704574283,0.551333520332982,0.181013575367502,0.265936485784051,0.346836055455243,0.452617598663908,0.243005178923285,0.231847742940041,0.22669581666529,0.234386882139052,0.150753204776295,0.320428556084564,0.235590880430429,1.04315783504996,-1.8871290456113,0.0186480095028275
"GUCY1A2",0.58520886753272,0.212074075575088,0.294964583658866,0.556844612515873,0.544478263322254,0.0931729472515328,0.378309592063318,0.265917967959314,0.749740112837902,0.55141175410418,0.121448439890138,0.0172291725104057,0.0543040726102505,0.0469299680795385,0.0182545292344865,0.150872532887969,0.0560781182130657,0.0535033252938556,0.178118141665585,0.253919122317307,0.423212277682105,0.0950657422702601,0.259139009976182,-2.13781173767296,-1.76823199689086,6.64902007968131e-05
"PI4KAP1",0,0,0,0.0477295382156463,0,0,0,0,0,0,0,0.189520897614463,0,0.031286645386359,0,0.169731599498965,0.205619766781241,0.12484109235233,0,0,0.00477295382156463,0.0721000001633358,0.0384364769924502,3.40476347757579,-3.80365109113082,0.0156597619654764
"SBSPON",0.0474493676377881,0,0.0842755953311045,0,0.0777826090460362,0,0,0.113964843411135,0.0817898304914075,0,0,0,0,0,0,0,0,0,0,0,0.0405262245917471,0,0.0202631122958735,-4.3689059577911,-4.18973129656361,0.00120809195111914
"PHOX2B",0,0.183797532165076,0,0,0,0,0,0,0,0,0.0607242199450688,0.206750070124868,0,0.109503258852256,0.200799821579351,0,0.0747708242840877,0.142675534116948,0.12954046666588,0.371112563386833,0.0183797532165076,0.129587675895529,0.0739837145560185,2.62331213383362,-3.21627533160728,0.0189821822472458
"PARK7",0.0316329117585254,0,0.0983215278862886,0.0318196921437642,0.0388913045230181,0,0,0,0.0408949152457037,0,0,0,0,0,0,0,0,0,0,0,0.02415603515573,0,0.012078017577865,-3.70159436823734,-4.42323597835264,0.00499575144976566
"ZFAND6",7.90822793963135,2.00763458211083,4.03118264333783,5.55253627908685,3.91505798865049,2.51566957579138,3.10213865491921,7.40771482172374,7.11571525275245,8.33244428424095,2.74777095251436,1.92966732116544,2.20836561948352,2.31521175859056,2.04450727426249,2.03677919398759,1.90665601924424,1.67643752587414,2.80131259164965,2.34386882139052,5.18883220222451,2.20105770781625,3.69494495502038,-1.23690876865224,1.89902097180849,0.000372090851007796
"COPG2IT1",0.126531647034102,0.0424148151150176,0.126413392996657,0.0954590764312926,0.142601449917733,0,0,0.0569824217055673,0.0817898304914075,0.0919019590173634,0,0.0689166900416228,0,0.031286645386359,0.0547635877034595,0,0,0,0,0.058596720534763,0.076409459270914,0.0213563643666204,0.0488829118187672,-1.7880626503906,-3.57309373780569,0.0256482383951828
"KLHDC10",115.729007668565,37.7350471806606,56.4506029392848,73.948964542108,48.0696523904504,56.3696330871773,61.4374777510828,87.221093490655,75.6692248429671,49.6423748625458,31.6980428113259,30.7713021035846,35.9130933529123,26.4685019968597,29.7731371814475,36.2094078931126,27.328736275834,38.4510564445176,37.485772541439,31.6031646084155,66.2273078755497,32.5702215209449,49.3987646982473,-1.02382143133733,5.62738019572998,5.42242532914258e-06
"RASA2",0.316329117585254,0.197935803870082,0.0421377976655522,0.0477295382156463,0.181492754440751,0.186345894503066,0.302647673650654,0.113964843411135,0.0681581920761729,0,0.166991604848939,0.723625245437039,0.434432580882004,0.500586326181744,0.328581526220757,0.320604132386935,0.168234354639197,0.160509975881567,0.210503258332055,0.253919122317307,0.145674161541831,0.326798812712754,0.236236487127293,1.1852773775216,-1.8951339215642,0.0316057749646694
"PLS1",7.59189882204609,0,0.856801885866229,4.37520766976758,0.713007249588666,1.28578667207115,0.605295347301309,8.77529294265736,5.62986666549188,4.19685612845959,0,0,0,0,0.036509058468973,0,0,0,0,0.058596720534763,3.40300133832499,0.0095105779003736,1.70625595811268,-8.25091573172926,0.800497562906169,3.64296979233545e-14
"ABTB1",0,0,0,0,0,0,0,0,0,0,0,0.0689166900416228,0,0.031286645386359,0.073018116937946,0,0,0,0.016192558333235,0,0,0.0189414010699163,0.00947070053495814,3.32871398715112,-4.53722040355477,0.0269631822571471
"LINC01471",0.0316329117585254,0.0282765434100117,0.0421377976655522,0.0318196921437642,0.0388913045230181,0.0559037683509197,0,0.151953124548179,0,0.0306339863391211,0.10626738490387,0.103375035062434,0.199114932904252,0.0156433226931795,0.073018116937946,0.226308799331954,0.0373854121420438,0.142675534116948,0.0485776749997049,0.175790161604289,0.0411249128739092,0.112815637469662,0.0769702751717857,1.39508886332685,-3.18040588881474,0.0244104852814028
"LOC101927123",0.23724683818894,0.0424148151150176,0.351148313879602,0.206827998934467,0.375949277055842,0.316788020655211,0.491802469682313,0.189941405685224,0.32715932196563,0.107218952186924,0.075905274931336,0.137833380083246,0.144810860294001,0.109503258852256,0.164290763110378,0.113154399665977,0.243005178923285,0.107006650587711,0.0485776749997049,0.156257921426035,0.264649741334917,0.130034536287393,0.197342138811155,-1.0029590442445,-2.12457935109717,0.033175970191847
"GUCY2EP",0,0.141382717050059,0,0,0.0259275363486788,0,0,0,0.0272632768304691,0.0306339863391211,0.0607242199450688,0.206750070124868,0.0905067876837508,0.172076549624974,0.200799821579351,0.0754362664439846,0,0.12484109235233,0.0647702333329399,0.156257921426035,0.0225207516568328,0.11521629625133,0.0688685239540815,2.16623418486826,-3.28107573949995,0.00470635681970834
"LRRC32",0,2.07832594063586,0,0,0.0907463772203756,0.204980483953372,0.0756619184126636,0.113964843411135,0.0272632768304691,0.0459509795086817,1.07785490402497,1.4989380084053,1.97304797150577,1.18889252468164,2.61039768053157,1.30127559615874,0.616859300343723,1.40892089940486,1.10109396665998,3.53533547226404,0.263689381997256,1.63126163239806,0.947475507197657,2.61077975560805,-0.0274245584256125,0.00156802702131344
"TFR2",184.309160361048,255.973409219131,33.2748142232311,161.834954243185,4.67992031093651,41.6110382425345,171.222921367858,91.6847165242577,14.6131163811315,139.614392740545,295.651045857554,524.076969421521,347.274544342552,1087.58636692061,487.888802850121,192.230465965884,462.794016906361,227.834993543002,376.153130081049,980.284070066229,109.881844361386,498.177440595488,304.029642478437,2.18072061638428,8.24822609222438,5.81641364332171e-06
"AGFG2",107.6942480819,209.218144690677,107.479475912269,99.9615628696352,31.4112102864243,179.749249837657,177.124551004045,144.146532774517,40.213333324942,139.936049597105,154.239518660475,289.105514724608,199.585568200207,426.3744033253,231.157103696302,185.516638252369,339.721240134752,154.785120075124,240.297565665207,468.578441876322,123.693435837917,268.936111461067,196.314773649492,1.12055183191588,7.61726521566181,0.00028268205728234
"SH3RF3-AS1",0.0948987352755761,0.098967901935041,0.0983215278862886,0,0.0259275363486788,0.130442126152146,0.113492877618995,0.47485351421306,0.109053107321877,0.0459509795086817,0.0303621099725344,0.0689166900416228,0.0181013575367502,0.062573290772718,0,0.0942953330549808,0.0373854121420438,0.0356688835292371,0.0485776749997049,0.0390644803565087,0.119190830626034,0.0434945232406101,0.0813426769333223,-1.39396283361831,-3.13170562406886,0.0297250033916804
