"gene.name","SRR5687512.SUM44_Y537S_mut","SRR5687513.SUM44_Y537S_mut","SRR5687514.SUM44_Y537S_mut","SRR5687509.SUM44_normal","SRR5687510.SUM44_normal","SRR5687511.SUM44_normal","SUM44_Y537S_mut.average","SUM44_normal.average","SUM44_Y537S_mut.SUM44_normal.average","log2FC","logCPM","pval"
"DLGAP1-AS5",0.151703034894763,0.241922936167594,0.125681742149362,0,0,0.0601534660565669,0.173102571070573,0.020051155352189,0.0965768632113811,-3.02967905796532,-3.13523997812896,0.00723959696542776
"C6orf52",1.84572025788629,1.38950609491131,1.57102177686702,0.647790822067072,0.724727905108859,0.947417090390928,1.60208270988821,0.773311939188953,1.18769732453858,-1.04928482176076,0.267719409647239,0.0215178474913935
"CENPE",140.021901207867,161.858850600539,162.918449420615,554.963238551642,574.498823875649,550.765135213926,154.93306707634,560.075732547072,357.504399811706,1.85397440570792,8.48186172645079,1.04813576002498e-21
"SYT2",0.176986874043891,0.0620315220942549,0.160593337190851,0.0336514712762115,0.0467566390392812,0.0375959162853543,0.133203911109666,0.0393346755336157,0.0862692933216407,-1.73344352580925,-3.29414358008433,0.0345092492333191
"PLA2G4E",0.0695305576600999,0.0310157610471275,0.0279292760331915,0,0,0,0.0428251982468063,0,0.0214125991234031,-5.6207056918309,-4.75436733385623,0.00564264115870453
"GSDMD",0.2781222306404,0.285345001633573,0.251363484298724,0.185083092019163,0.0701349585589219,0.0601534660565669,0.271610238857565,0.105123838878217,0.188367038867891,-1.37025756166186,-2.29216923491706,0.0427080372535611
"FAM184B",1.78251066001347,1.53838174793752,1.45232235372596,0.925415460095817,0.631214627030297,0.639130576851023,1.59107158722565,0.731920221325712,1.16149590427568,-1.12027593497163,0.235876210974116,0.0147095156015885
"RBM42",0.195949753405736,0.303954458261849,0.188522613224043,0.471120597866961,0.553286895298161,0.518823644737889,0.229475608297209,0.514410379301004,0.371942993799107,1.16018162681254,-1.3786955465657,0.031621884189167
"SF3B5",0.0252838391491272,0.0310157610471275,0.0279292760331915,0,0,0,0.0280762920764821,0,0.014038146038241,-5.02486339812717,-5.09823044551153,0.021525267440624
"TAP2",0.878613410432171,0,0,0,0,0,0.292871136810724,0,0.146435568405362,-8.36731537342417,-2.59649732827965,0.00183931106858977
"MB",0.0252838391491272,0.0434220654659784,0.0279292760331915,0,0,0,0.0322117268827657,0,0.0161058634413829,-5.21896210746995,-4.99169043051844,0.0135548675227497
"TUNAR",0.0252838391491272,0.12406304418851,0.104734785124468,0.328101844943062,0.335089246448182,0.127826115370205,0.0846938894873684,0.263672402253816,0.174183145870592,1.62809690359622,-2.42733061976137,0.0330007337797364
"GALNT18",0.1390611153202,0.111656739769659,0.0837878280995746,0.00841286781905288,0.0233783195196406,0.0375959162853543,0.111501894396478,0.0231290345413493,0.0673154644689135,-2.21188953246915,-3.58023900322139,0.0115698703650053
"DOK2",0,0.0930472831413824,0.0768055090912768,0,0,0,0.0566175974108864,0,0.0283087987054432,-6.01308547877607,-4.50679198725153,0.0120453118011918
"CYP3A5",12.762017810522,14.3789068214483,17.3021865025622,39.4142857322627,17.9623421642572,34.1897262699012,14.8143703781775,30.5221180554737,22.6682442168256,1.04283666186149,4.50336032638199,0.000310395498137339
"FAM45B",0.322368949151372,0.397001741403231,0.614444072730214,1.48907760397236,2.84436220822294,2.98511575305713,0.444604921094939,2.43951852175081,1.44206172142288,2.45556139882242,0.539171465047337,2.62723234888759e-06
"ZCCHC24",0.0505676782982545,0,0.0977524661161704,0,0,0,0.0494400481381416,0,0.0247200240690708,-5.81700633535648,-4.65062110830199,0.0188103639361079
"CDIPT",0.0948143968092271,0.037218913256553,1.83634989918234,4.01293794968822,0.607836307510656,4.08291650858948,0.656127736416041,2.90123025526279,1.77867899583941,2.14435221634667,0.838854651096382,0.04919708685414
"BRCAT107",0.0505676782982545,0.037218913256553,0.0558585520663831,0,0,0,0.0478817145403968,0,0.0239408572701984,-5.77454960383333,-4.66328205516766,0.00235786758018206
"TMEM181",0.0821724772346635,0.136469348607361,0.160593337190851,0.0168257356381058,0.0233783195196406,0.0300767330282834,0.126411721010959,0.0234269293953433,0.0749193252031509,-2.3787821036207,-3.45880965675535,0.00431729263231106
"MPHOSPH6",0.0252838391491272,0.0682346743036804,0.0488762330580852,0,0,0,0.047464915503631,0,0.0237324577518155,-5.76429118823318,-4.66674120597052,0.00331304482877283
"LOC100287015",0.0505676782982545,0.0496252176754039,0,0,0,0,0.0333976319912195,0,0.0166988159956097,-5.27356578924114,-4.94905597573848,0.0460953369518199
"PYCARD",0.31604798936409,0.285345001633573,0.384027545456384,0.151431620742952,0.0545494122124948,0.120306932113134,0.328473512151349,0.10876265502286,0.218618083587105,-1.58904742561715,-2.09131426930078,0.0128913502498047
"CDC42EP1",0,0.037218913256553,0.104734785124468,0,0,0,0.0473178994603404,0,0.0236589497301702,-5.75453471055523,-4.69214699936688,0.0234895485766054
"KRT31",0.107456316383791,0.0992504353508079,0.0837878280995746,0,0.0155855463464271,0.0150383665141417,0.0968315266113911,0.0102079709535229,0.053519748782457,-3.11303155605931,-3.83985667366318,0.00159084616973782
"ALDH1A1",0.252838391491272,0.111656739769659,0.146628699174256,0.0252386034571586,0.0701349585589219,0.052634282799496,0.170374610145062,0.0493359482718588,0.109855279208461,-1.76368439166576,-2.98721551805034,0.0213695655365637
"TTLL5",2.72433366831846,1.93538348934075,2.19943048761383,9.12796158367238,11.167043957215,10.4742222770997,2.28638254842435,10.2564092726624,6.27139591054336,2.16497252455115,2.65128634216384,1.0172662166541e-08
"EXD2",0,0,0,0.0504772069143173,0.0857205049053489,0.052634282799496,0,0.0629439982063874,0.0314719991031937,6.16537944510372,-4.50555096821273,0.000687691764144715
"HSD17B11",0,0.0682346743036804,0.0558585520663831,0,0,0,0.0413644087900212,0,0.0206822043950106,-5.56828510936448,-4.79329084387882,0.0297186740586847
"AK1",0.0379257587236908,0.037218913256553,0.0907701471078725,0.0168257356381058,0,0,0.0553049396960388,0.00560857854603525,0.030456759121037,-3.15801041842003,-4.45515691866903,0.0227316222932392
"TTLL9",27.0221030906297,24.3411692697856,24.424151891026,4.64390303611719,4.01327818420497,3.68439979596472,25.2624747504805,4.11386033876229,14.6881675446214,-2.61844712393186,3.87837427834168,1.27953339980135e-22
"ZNF12",0.543602541706235,5.22305416033626,0.544620882647235,0.353340448400221,0.296125380582115,0.308286513539905,2.10375919489658,0.319250780840747,1.21150498786866,-2.71743755510026,0.299895263387159,0.000942932132253905
"BAIAP2L2",0.0884934370219453,0.12406304418851,0.209469570248937,0.0504772069143173,0.0467566390392812,0,0.140675350486464,0.0324112819845328,0.0865433162354984,-2.09810512704278,-3.29181919654089,0.0321621788657691
"UBXN1",0.916539169155862,1.04833272339291,0.621426391738512,0.210321695476322,0.288332607408901,0.338363246568189,0.862099428095761,0.279005849817804,0.570552638956782,-1.62329325966402,-0.766551178165527,0.00187578549306667
"BHLHA9",0.164344954469327,0.0496252176754039,0.0488762330580852,0,0,0.0375959162853543,0.0876154684009387,0.0125319720951181,0.0500737202480284,-2.6952606827136,-3.91276721911507,0.0373099709742236
"GDI1",0.0442467185109727,0.0310157610471275,0.0418939140497873,0,0,0,0.0390521312026291,0,0.0195260656013146,-5.48716992506636,-4.84045664522688,0.00673305007130724
"PGM5P4-AS1",0.120098235958354,0.0310157610471275,0.062840871074681,0.0252386034571586,0,0,0.0713182893600543,0.00841286781905288,0.0398655785895536,-3.00084063636952,-4.17037626010836,0.0387619313806148
"CAPSL",0.0189628793618454,0.0558283698848294,0.0768055090912768,0,0,0,0.0505322527793172,0,0.0252661263896586,-5.8492067334366,-4.61880620813964,0.00351493910857012
"WNT3A",0.0379257587236908,0,0.0698231900829789,0,0,0,0.0359163162688899,0,0.017958158134445,-5.36476959921679,-4.92689271791648,0.0427275501889014
"RARB",0.290764150214963,0.272938697214722,0.23041652727383,0.0841286781905288,0.0233783195196406,0,0.264706458234505,0.0358356659033898,0.150271062068947,-2.87827400422463,-2.57960718109838,0.00121104955073919
"NRP1",0.695305576600999,0.68854989524623,1.0054539371949,0.395404787495485,0.366260339141036,0.390997529367685,0.796436469680708,0.384220885334735,0.590328677507722,-1.04929097025982,-0.722630236931559,0.033163745718618
"ALOX15",3.54605844066509,3.41173371518402,3.57494733224852,8.37080347995762,7.69146712196176,7.93273833620976,3.51091316269921,7.99833631270971,5.75462473770446,1.18765093090973,2.52772935827152,0.000938684044680305
"SPRYD4",0.0632095978728181,0.0744378265131059,0.0209469570248937,0,0,0,0.0528647938036059,0,0.0264323969018029,-5.92132286594559,-4.55642312805743,0.00251881891423714
"SLC38A8",0.436146225322445,0.105453587560233,0.167575656199149,0.0336514712762115,0.0467566390392812,0.0601534660565669,0.236391823027276,0.0468538587906865,0.141622840908981,-2.30899471642543,-2.6567316195606,0.00435282619264273
"LOC101927523",0.916539169155862,0.676143590827379,0.719178857854682,0.143018752923899,0.24157596836962,0.218056314455055,0.770620539279308,0.200883678582858,0.485752108931083,-1.93275620324657,-0.991403229810447,0.000292120624579602
"DND1",0.164344954469327,0.0310157610471275,0.0488762330580852,0,0,0.0225575497712126,0.0814123161915132,0.00751918325707086,0.044465749724292,-3.25867406447339,-4.04141969956869,0.018151958616449
"SREK1",0.581528300429926,0.762987721759335,0.802966685954257,0.319688977124009,0.202612102503552,0.35340161308233,0.715827569381173,0.291900897569964,0.503864233475568,-1.29126359023063,-0.943311559621786,0.0132711079864635
