"SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon"
0,0,0,0,0,0,0,0,0,0
0.0133511227436823,0,0.0275952322503008,0.0251133114320096,0.0364406543922984,0.0861004247894104,0,0.00965687533092659,0.0827235759326113,0
0.02676,0.117588,0.018633,0.091202,0.008678,0.009562,0.009141,0.105502,0.144194,0.152421
0,0,0,0.026817,0,0,0,0,0,0
0.049079,0.033771,0,0.036831,0,0,0.024735,0,0,0.016199
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.039928,0,0,0,0,0.03487
0.192323,0.112018,0,0.083247,0.060468,0.098908,0.06054,0.170085,0.112178,0.065711
0,0,0.011989,0,0,0.021676,0,0,0,0
0,0,0,0,0,0,0,0.006205,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.00759210810810811,0,0,0.00747240598044853,0.00726405405405405,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00554,0,0,0,0,0
0,0.004512,0,0,0,0.00315,0,0,0,0
0,0,0,0,0,0,0,0,0.021432,0
0,0.00591558619685498,0,0,0,0,0,0,0,0
0.474743,0.357271,0.259173,0.228317,0.134707,0.302683,0.194195,0.277512,0.429224,0.383014
0.001914,0,0,0.003815,0.002242,0,0,0,0,0
0,0,0,0,0,0.006691,0.004243,0,0,0
0,0,0,0,0,0.020902,0,0.080015,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.01222,0,0,0,0,0,0,0
0,0,0,0,0.00235864664839272,0.00919482581609768,0,0,0.00203696760528283,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.020906,0
0.032336,0,0,0,0,0,0,0,0,0
0,0.0287928656980865,0,0,0,0,0,0,0,0.0143053299078668
0,0.0033922741161065,0,0.00478808598865124,0,0,0,0.00583844609340899,0.0051593190746399,0.0200401571366216
0.022578,0.147642,0.046251,0.063703,0,0.048407,0.038457,0.097866,0.079472,0
0.00438291139240506,0,0,0,0,0,0,0,0,0
0,0.019242,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.00863
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.000375,0
0.036418,0.020003,0,0.017125,0.037275,0,0.018567,0.05927,0,0.009939
0.034762,0,0,0,0.029109,0,0.012778,0,0,0.014306
0,0.0105064678362573,0,0,0,0.0113626578947368,0,0.00782180409356725,0.0133168996101365,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.014692,0,0,0,0
0,0,0,0.00889382024659312,0,0,0.00491848721609345,0,0,0
0,0,0,0,0,0,0,0,0,0
0.054628,0.123891,0.039311,0.114284,0.167469,0.129544,0.018516,0.110226,0.118461,0.134743
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.012086,0,0,0.011367,0,0,0,0,0,0
0,0.009734,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.005704,0,0.003994,0,0,0,0,0
0,0,0,0,0,0,0.016687,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.016799,0,0,0,0,0,0,0
0.081337,0,0.026291,0.048958,0.028154,0,0,0.032412,0,0
0,0,0,0,0.036857,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.00131514285714286,0.00213528571428571,0.00629285714285714,0.00335185714285714,0.00335342857142857,0.00559014285714286,0.00199357142857143,0.002307,0.000668857142857143,0.000719571428571429
0.00115808433317951,0.000634619577757268,0.0012027589986156,0.000824353945546839,0.000583695777572681,0.000666663013382557,0.000246242501153669,0.000780078161052146,0.000806803184125519,0.000291050126903553
0.006406,0.007999,0,0.011781,0,0,0,0,0,0.009343
0.0147777221428571,0.00575098125,0.0442087401785714,0.0225875742857143,0.0190734964285714,0.0251743305357143,0.0269116203571429,0.0398940494642857,0.0236045016071429,0.0447242203571429
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.024021,0,0.021643,0,0,0,0.013823,0,0
0,0,0,0,0,0,0,0,0,0.0260684089162183
0,0,0,0.0550355,0,0,0,0.0439975,0,0
0.011863,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.018931,0.088623,0.027004,0.033298,0.094689,0.059661,0.051903,0.021951,0.021714,0
0,0,0,0,0,0.017153,0.015901,0,0.034554,0
0,0,0,0,0,0,0,0,0,0
0,0.009053,0,0,0,0,0,0.017658,0,0
0,0,0,0.0136937679133858,0,0,0.00204379094488189,0,0,0
0.162533,0.054179,0.078901,0.066575,0.060205,0.056672,0.021017,0.064267,0.123706,0
0,0,0,0,0,0,0,0,0,0
0.0157779351535836,0.0257411689419795,0,0.0296769795221843,0.0161486006825939,0,0,0.0342372610921502,0.0320196587030717,0.0512422269624573
0,0,0,0,0.010572,0,0.00613,0,0,0.005788
0,0,0,0.004952,0,0,0,0,0,0
0,0.010673,0,0,0,0,0,0,0.00992,0
0,0,0.0131932161892072,0,0,0,0.0410990729513658,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.107728,0.070592,0.157837,0.111776,0.067969,0.024572,0.036357,0.09367,0.061212,0.047671
0,0,0,0,0,0,0,0.054866,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.009457,0,0,0,0,0,0
0,0,0,0.013296,0.006805,0.015155,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.029736,0
0.153844,0.067243,0.08329,0.02755,0.05831,0.106793,0.066944,0.035038,0.093895,0.028692
0.0178310057859209,0,0,0,0,0.0191156846673095,0,0,0,0.0291009729990357
0.056713,0.065885,0.019685,0.030081,0.027545,0.009852,0.017256,0.032235,0.062541,0.013782
0,0,0,0,0,0,0,0,0,0
0.007874,0,0,0.011108,0,0,0,0,0,0
0.00749385450861195,0,0,0,0,0,0,0,0,0
0.585294,0.407846,0.266335,0.349552,0.327173,0.392606,0.199062,0.413569,0.416078,0.487481
0,0,0,0,0,0,0,0,0,0
0,0,0.022414,0,0.022162,0,0,0,0.002526,0.009115
0,0,0,0.025895,0.007129,0.013158,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.00610018752624947,0,0,0,0,0,0,0
0.0572785149892934,0.0814247971092077,0.0352679839400428,0.033194954496788,0.0987795048179872,0.0442148511777302,0.0537235438972163,0.0285700471092077,0.0189017633832976,0.0288151332976445
0,0.00408712328353705,0,0.00174982495850309,0,0,0,0,0,0
0,0,0,0.002055,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.029657
0,0,0,0.00485,0,0,0,0,0,0
0.045209,0.09206,0.0555,0.078862,0.026554,0.053093,0.01994,0.113289,0.039488,0.01409
0,0,0,0,0,0,0,0,0,0.0178264598177299
0.005478,0.013408,0.008714,0.007653,0.004164,0.026125,0,0.008829,0,0.008882
0,0,0,0,0,0,0.010478,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.011313,0,0
0,0,0,0.012759,0,0,0,0,0,0
0.050693,0.025519,0.009951,0,0,0,0,0.020164,0.013772,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.029364,0,0,0,0,0,0
0,0,0.020342,0,0,0,0,0,0,0
0,0,0.00756142649866361,0,0,0,0,0,0,0.00763059793814433
0,0,0,0,0,0,0.005219,0,0,0
0.006916,0.108995,0,0.019296,0.056107,0.025617,0,0,0.045228,0.018021
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.034614,0,0,0
0,0,0,0,0.028962,0,0,0,0.042215,0.092664
0,0,0,0,0,0,0,0,0.009431,0
0,0,0,0,0.010704,0,0.019839,0,0,0
0,0,0,0,0,0,0.0226858776916451,0,0,0
0.019322,0.042452,0,0,0.019777,0,0,0.136165,0,0
0.089667,0.087055,0.137592,0.081402,0.107471,0.149136,0.040065,0.202726,0.056177,0.095417
0,0,0,0.015109,0,0,0,0,0.040755,0
0.019425,0.026335,0,0.004807,0.014484,0.024554,0,0,0.017118,0.013113
0.185861,0.126543,0.095125,0.1409,0.058915,0.390109,0.139474,0.169813,0.211655,0.171421
0,0,0,0,0,0,0,0.023727,0,0
0,0,0,0,0,0,0,0,0.029227,0
0,0,0,0,0,0,0,0,0,0
0,0.0100387651901215,0,0,0,0,0,0.0108357938063504,0,0
0.0120667681695828,0,0,0,0,0,0,0,0,0
0.0841787412746586,0.116009970409712,0.149749509104704,0.0857566160849773,0,0.0300793383915023,0,0.177865791350531,0.155329750379363,0
0,0,0,0,0,0,0.02134575,0,0,0
0,0,0,0.00587772284060552,0,0,0,0,0,0
0,0,0,0,0,0.0156844465648855,0,0.00796132442748092,0,0.0066746965648855
0,0,0,0.0502587267267267,0,0,0.0562276066066066,0.0721805825825826,0.0222046996996997,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.00746646920700309,0,0
0,0,0,0,0,0,0,0,0,0.048088
0,0,0,0.028008,0,0,0,0,0,0
0.0090495,0,0.053762,0.0079735,0.013162,0.018585,0.019718,0.024908,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0196732539973788,0
0.094647,0.23357,0.138142,0.127983,0.222302,0.201605,0.066482,0.141098,0.172693,0.170838
0,0,0.00793696593186373,0,0,0,0.0170496725450902,0.00574785330661323,0.0122578845691383,0
0,0,0,0,0,0.00883566578649566,0.0214439079592607,0,0,0
0,0,0,0,0,0,0.035888,0,0,0
0.057581447417317,0.0628397528799703,0,0.0129252601263471,0,0.0218805183946488,0.0292838071348941,0.0220719342251951,0.0137444072835377,0.0360133872166481
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.028874,0,0,0,0,0,0,0.050908,0,0
0,0,0,0,0,0,0,0,0.002589,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.023655,0
0,0,0,0,0,0,0,0,0,0.026824
0.046385,0,0.033145,0,0.038166,0.020361,0,0.042078,0,0.016263
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.012752,0.013853,0,0,0.035911,0,0,0,0
0,0,0,0,0,0,0,0,0,0
