"","group","lib.size","norm.factors","normalized.lib.size"
"SRR3396381","B",19918435,0.995107636030336,19820986.7662739
"SRR3396382","B",22653286,1.00318824172934,22725510.1517318
"SRR3396384","B",23903052,1.00688538071481,24067633.6132659
"SRR3396385","A",22417997,1.01198829559878,22686750.5747685
"SRR3396386","A",24585597,1.00135011506142,24618790.3848037
"SRR3396387","A",23748776,0.981761576696345,23315635.7703683
