"gene.name","SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B","SRR3396385.control","SRR3396386.control","SRR3396387.control","amphotericin_B.average","control.average","amphotericin_B.control.average","fc","log2FC","pval","qval"
"SNQ2",232.789642,249.93866,216.234848,109.408981,106.440651,115.169243,232.987716666667,110.339625,171.663670833333,0.472980551177631,-1.08014723330252,0.000195153026364636,0.0153672166427353
"FAL1",8.302876,6.167811,8.84891,17.674316,19.776421,13.43212,7.773199,16.9609523333333,12.3670756666667,2.0941353351881,1.06635468061427,0.00247889540091606,0.0320558252292175
"ARO3",898.741211,856.927429,915.512512,241.82605,229.662262,295.569092,890.393717333333,255.685801333333,573.039759333333,0.283629740836049,-1.81791927631898,0.000394266339181604,0.0185690151924653
"ENA5",125.595211419968,130.553572973008,127.219372421419,53.605106612393,51.7808981438833,58.0425458236831,127.789385604799,54.4761835266531,91.1327845657258,0.427962568116297,-1.22444347852871,4.46064272868751e-05,0.0115548338277474
"RRP8",20.557257,15.47629,25.473284,48.301525,50.270103,35.618168,20.502277,44.729932,32.6161045,2.20841327878646,1.14301018093085,0.00274517737731739,0.0334279588883992
"ARX1",25.628664,20.884375,30.026417,57.779423,63.551167,43.520191,25.513152,54.9502603333333,40.2317061666667,2.16216830476176,1.11247882788041,0.00171917846681957,0.0282676946267427
"ARO1",130.019241,115.964554,106.88842,48.025135,55.263218,53.512096,117.624071666667,52.2668163333333,84.945444,0.447357735732991,-1.16049913113365,0.00172195786888107,0.0282676946267427
"YDR133C",5739.10024615962,5395.51305398654,5280.374522175,2745.83614420962,2583.85738448654,2878.19810604808,5471.66260744038,2735.96387824808,4103.81324284423,0.498023109605158,-1.00571540612973,0.000413581149979803,0.0185690151924653
"HOM2",1284.218384,1259.739136,1201.579468,513.204468,508.857697,550.939026,1248.51232933333,524.333730333333,886.423029833333,0.418187628850105,-1.25777771124919,2.83767613544761e-05,0.0115548338277474
"YDR183C-A",14.0426295899731,11.5920765872874,15.8189061808415,36.3018129749329,32.3959322658908,21.5256504440466,13.817870786034,30.0744652282901,21.946168007162,2.13531406535774,1.09444827931233,3.51111683150052e-06,0.00857327627969773
"HSP78",277.929443,291.185852,257.006561,123.344795,121.366051,140.093918,275.373952,128.268254666667,201.821103333333,0.462519799393729,-1.11241296952707,5.06931184147685e-05,0.0115548338277474
"TRP4",245.70694,243.317062,245.96907,92.440598,93.020088,93.27581,244.997690666667,92.9121653333333,168.954928,0.381741332840711,-1.38933269283491,3.10464534414301e-07,0.00220026215539415
"YDR445C",0.0327721691176471,0.546969,0.168959215686275,3.50228650980392,2.09733438970588,2.454695,0.249566794934641,2.68477196650327,1.46716938071895,2.95267058290147,1.56202041000245,0.0105892700835146,0.0563832885663923
"RMT2",27.528189,15.897291,27.726067,57.057655,58.179794,38.372883,23.7171823333333,51.203444,37.4603131666667,2.21801900868863,1.14927172962194,0.00758226467027634,0.0475310792530709
"PLM2",46.204399,40.607769,40.808922,18.228159,19.47146,19.281876,42.5403633333333,18.9938316666667,30.7670975,0.459228170110788,-1.12271695193167,0.000662100505652741,0.0200525909553888
"YIL165C",94.60833,121.222473,118.623268,54.886211,41.876007,56.293442,111.484690333333,51.0185533333333,81.2516218333333,0.458181034832147,-1.12601035147801,0.0101916979149463,0.0553051785017035
"NIT1",80.904716,107.377396,102.270874,43.24976,45.078423,50.952499,96.8509953333333,46.426894,71.6389446666667,0.482176082274206,-1.05236800520821,0.0048804001929168,0.0405409189324502
"BMT5",10.757606,6.378573,9.163054,24.316504,23.394663,17.373375,8.766411,21.6948473333333,15.2306291666667,2.40651939576573,1.26694805100371,0.00472005381524054,0.0404208914210362
"LYS12",707.410095,763.628113,915.739441,367.933899,361.778076,357.662018,795.592549666667,362.457997666667,579.025273666667,0.461628250889673,-1.11519657763867,0.00252163277217909,0.0320787299087153
"RNR3",16.486465,14.608988,14.803929,6.330141,5.761724,7.081299,15.299794,6.39105466666667,10.8454243333333,0.450223188107744,-1.15128773221668,0.0011086479466248,0.02402748623159
"SUP17",22.092615,27.434765,28.86101,14.380858,9.782731,7.722369,26.1294633333333,10.6286526666667,18.379058,0.430085030738242,-1.21730617624263,0.0107441864243949,0.0568663548840079
"VHR1",82.084404,84.96611,77.483932,37.014339,37.413181,40.657902,81.511482,38.3618073333333,59.9366446666667,0.473534791919549,-1.07845766647818,9.09280690586378e-06,0.0104377643701181
"GPP1",1007.95636,961.823853,934.131897,2160.732178,2112.180664,1739.788818,967.970703333333,2004.23388666667,1486.102295,2.08277585586436,1.05850758780266,0.000866601726102756,0.0220277965214485
"FAF1",14.574471,9.828364,17.576904,31.471897,39.388569,21.730822,13.9932463333333,30.8637626666667,22.4285045,2.201295542999,1.13835285254217,0.0101436727056008,0.0551289942213135
"YIL012W",5.78708,5.920787,3.879357,1.116272,2.99476,2.418623,5.19574133333333,2.17655166666667,3.6861465,0.489197209032022,-1.03151192186251,0.042113655625614,0.117831251535183
"DAL1",18.190268,14.394439,19.679102,6.498219,7.808724,6.306365,17.4212696666667,6.87110266666667,12.1461861666667,0.434494919635199,-1.20258878657025,0.00329027100339285,0.035545961282081
"DAL3",153.438126,211.904984,255.779465,62.521389,48.074703,56.171597,207.040858333333,55.5892296666667,131.315044,0.277867620332739,-1.84753036652754,0.00667555141310694,0.0452723759470707
"LYS1",594.43219,650.181335,711.547668,146.73526,131.902084,153.770142,652.053731,144.135828666667,398.094779833333,0.221933472905969,-2.17180081782776,0.000311906636980774,0.0183195393766169
