"gene.name","SRR975587.metastasized_cancer","SRR975588.metastasized_cancer","SRR975589.metastasized_cancer","SRR975591.metastasized_cancer","SRR975593.metastasized_cancer","SRR975598.metastasized_cancer","SRR975599.metastasized_cancer","SRR975601.metastasized_cancer","SRR975603.metastasized_cancer","SRR975604.metastasized_cancer","SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon","metastasized_cancer.average","normal_colon.average","metastasized_cancer.normal_colon.average","baseMean","log2FC","lfcSE","stat","pval","padj"
"FOXF1",23.7062698804293,136.901930124959,7.22421002431945,16.5986941006873,4.49518918879565,6.47270841449505,7.01801926728407,3.28807337814524,5.3945854003016,3.48992572377811,154.476292586504,281.737446221026,148.351458426494,154.299587038521,166.491180373114,224.338502133363,53.3257167915566,145.259903171008,129.931228977408,112.57721817243,21.4589605503195,157.078853389142,89.2689069697309,89.2689069697309,-2.86116310080868,0.585820118102736,-4.88403011845168,1.0393918774772e-06,1.66968066234638e-05
"LOC100132146",4.55889805392872,2.44467732365999,0,1.84429934452081,2.24759459439783,5.39392367874588,2.33933975576136,0,1.54131011437188,0,0.872747415742958,0,3.15641400907433,0,0,0,0,0,0.941530644763823,0,2.03700428653865,0.497069206958111,1.26703674674838,1.26703674674838,2.00541998465476,1.14409120158138,1.75284975697991,0.0796277997408922,0.189132488504212
"GRIA4",9.11779610785744,16.2978488243999,4.81614001621296,12.9100954116457,11.9871711701217,9.70906262174258,0,5.48012229690873,7.70655057185942,8.72481430944529,27.0551698880317,31.523070905849,10.5213800302478,15.3397250272213,19.7708276693073,26.5227785773435,13.8646863658047,13.3927570299511,13.1814290266935,13.64572341484,8.67496013301938,18.481754793529,13.5783574632742,13.5783574632742,-1.0326596596096,0.323414277717203,-3.19299341667461,0.00140806156649919,0.00764904735378407
"GUCY1A2",33.7358455990725,12.2233866182999,16.8564900567454,32.2752385291143,31.4663243215696,5.39392367874588,23.3933975576136,15.3443424313444,42.3860281452268,31.409331514003,6.98197932594366,0.985095965807782,3.15641400907433,2.70701029892141,1.04056987733197,8.84092619244782,3.19954300749339,3.09063623768102,10.3568370924021,14.7828670327434,24.4484308451735,5.51418790398468,14.9813093745791,14.9813093745791,2.16063072123824,0.457191529200539,4.72587653803734,2.29124834901682e-06,3.29926997643664e-05
"PI4KAP1",0,0,0,2.76644901678122,0,0,0,0,0,0,0,10.8360556238856,0,1.80467353261428,0,9.9460419665038,11.7316576941424,7.21148455458905,0,0,0.276644901678122,4.15299133717352,2.21481811942582,2.21481811942582,-3.66803951657915,1.70982986206579,-2.14526579395887,0.0319316017573757,0.0937988533495727
"CPEB4",0,0,16.0538000540432,105.125062637686,50.9454774730174,3.23635420724753,7.01801926728407,0,8.47720562904536,0,0,0,0,0,0,0,44.7936021049075,0,0,3.41143085371001,19.0855919268324,4.82050329586175,11.9530476113471,9.76669322289326,5.53068115506797,1.50363976748727,3.67819558557584,0.000234889815206453,0.00171648206209816
"SBSPON",2.73533883235723,0,4.81614001621296,0,4.49518918879565,0,0,6.57614675629047,4.62393034311565,0,0,0,0,0,0,0,0,0,0,0,2.3246745136772,0,1.1623372568386,1.1623372568386,3.65755758665456,1.83834519601007,1.98959237611788,0.0466358566681188,0.126250814534507
"PHOX2B",0,10.59360173586,0,0,0,0,0,0,0,0,3.49098966297183,11.8211515896934,0,6.31635736414997,11.4462686506516,0,4.26605734332453,8.24169663381605,7.53224515811058,21.6057287401634,1.059360173586,7.47204951428814,4.26570484393707,4.26570484393707,-2.75555905598566,1.27497289483766,-2.16126873531419,0.0306745865416873,0.0908393719458055
"ZFAND6",455.889805392872,115.71472665324,230.37203077552,321.830235618882,226.257855836048,145.635939326139,191.825859972431,427.449539158881,402.281939851062,474.629898433824,157.967282249475,110.330748170472,128.360836369023,133.545841413456,116.54382626118,119.352503598046,108.784462254775,96.8399354473386,162.884801544141,136.4572341484,299.18878310189,127.106747145631,213.14776512376,213.14776512376,1.23603974629426,0.243808894000043,5.06970736799306,3.98427821371155e-07,7.24202805835461e-06
"COPG2IT1",7.29423688628595,2.44467732365999,7.22421002431945,5.53289803356244,8.2411801794587,0,0,3.28807337814524,4.62393034311565,5.23488858566717,0,3.94038386323113,0,1.80467353261428,3.1217096319959,0,0,0,0,3.41143085371001,4.38840947542146,1.22781978815513,2.8081146317883,2.8081146317883,1.88345297708335,0.84116778757805,2.23909308570448,0.0251498600665484,0.0778314694851625
"KLHDC10",6671.49141211929,2174.94792561617,3226.01112085998,4286.15167666637,2778.02691867571,3263.32382564126,3799.08776335644,5032.94431748098,4277.90622243917,2827.71231769122,1822.2966040713,1759.3813949327,2087.44179800116,1526.75380859168,1697.16946992844,2121.82228618748,1559.24395898511,2221.13724281343,2179.64344262825,1839.8983737676,3833.76035005466,1881.47883799071,2857.61959402269,2857.61959402269,1.02685263445718,0.174377614821065,5.88867232477556,3.89310469188264e-09,1.21674821004946e-07
"RASA2",18.2355922157149,11.40849417708,2.40807000810648,2.76644901678122,10.4887747738565,10.7878473574918,18.7147180460908,6.57614675629047,3.85327528592971,0,9.60022157317254,41.3740305639268,25.2513120725947,28.8747765218284,18.7302577919754,18.7869681589516,9.59862902248018,9.27190871304306,12.2398983819297,14.7828670327434,8.52393676373418,18.8510869832646,13.6875118734994,13.6875118734994,-1.19122773747643,0.476886854653197,-2.49792529580778,0.012492251624671,0.0447460127138127
"PLS1",437.654213177157,0,48.9640901648318,253.591159871612,41.2059008972935,74.4361467666931,37.4294360921817,506.363300234367,318.280538617794,239.059912078801,0,0,0,0,2.08113975466393,0,0,0,0,3.41143085371001,195.698469790073,0.549257060837394,98.1238634254552,98.1238634254552,8.57037733001761,1.04503650834259,8.20103150617208,2.38333052223211e-16,2.35121923695165e-14
"MGLL",3.64711844314297,0,0.802690002702161,0,2.99679279253044,0,0,4.38409783752698,2.31196517155783,2.61744429283359,2.61824224722887,9.85095965807782,2.10427600604956,0,12.4868385279836,7.73581041839184,3.19954300749339,3.09063623768102,1.88306128952765,3.41143085371001,1.6760108540294,4.63807982461437,3.15704533932189,3.15704533932189,-1.41266153318124,0.73761953665646,-1.91516284883758,0.0554717387406898,0.143865237782027
"LINC01471",1.82355922157149,1.62978488243999,2.40807000810648,1.84429934452081,2.24759459439783,3.23635420724753,0,8.76819567505397,0,1.74496286188906,6.10923191020071,5.91057579484669,11.5735180332726,0.902336766307138,4.16227950932786,13.2613892886717,2.13302867166226,8.24169663381605,2.82459193429147,10.23429256113,2.37028207952272,6.53529411035265,4.45278809493768,4.45278809493768,-1.44329845113627,0.583626941448526,-2.4729811950663,0.0133991193295954,0.0472543371963504
"LOC101927123",13.6766941617862,2.44467732365999,20.067250067554,11.9879457393853,21.7267477458457,18.339340507736,30.4114168248976,10.9602445938175,18.4957213724626,6.1073700166117,4.36373707871479,7.88076772646226,8.41710402419822,6.31635736414997,9.36512889598769,6.63069464433587,13.8646863658047,6.18127247536204,2.82459193429147,9.0971489432267,15.4217408353756,7.49414894525337,11.4579448903145,11.4579448903145,1.01866593474374,0.383442871072498,2.65663026122904,0.00789259527831885,0.0308343274121383
"CELF3",86.6190630246456,0,0,0,5.99358558506087,33.4423268082244,16.3753782903295,58.0892963472325,0,6.1073700166117,5.23648449445775,5.91057579484669,0,6.31635736414997,13.5274084053155,0,15.997715037467,0,2.82459193429147,6.82286170742002,20.6627020072105,5.66359947379484,13.1631507405027,13.1631507405027,1.86609955762131,1.11206347241484,1.67805130184619,0.0933370843510873,0.213569725497747
"GUCY2EP",0,8.14892441219997,0,0,1.49839639626522,0,0,0,1.54131011437188,1.74496286188906,3.49098966297183,11.8211515896934,5.26069001512389,9.92570442937852,11.4462686506516,4.42046309622391,0,7.21148455458905,3.76612257905529,9.0971489432267,1.29335937847261,6.64400235209142,3.96868086528202,3.96868086528202,-2.26235013097274,0.815457519801797,-2.77433229326602,0.00553151458679174,0.0232249931001959
"LRRC32",0,119.78918885934,0,0,5.24438738692826,11.8666320932409,4.67867951152271,6.57614675629047,1.54131011437188,2.61744429283359,61.96506651775,85.703349025277,114.683042329701,68.5775942393425,148.801492458471,76.2529884098625,35.1949730824273,81.3867542589335,64.0240838439399,205.822994840504,15.2313789014527,94.2412339006209,54.7363064010368,50.8248226831808,-3.65944455384504,0.667145509626715,-5.48522698727686,4.12938841553777e-08,1.00501226343131e-06
"TFR2",10624.9678044863,14753.627648288,1901.57261640142,9380.10646623286,270.460549525872,2408.92631492791,10587.8517345759,5290.51006543569,826.14222130333,7952.66824305938,16996.7559215941,29964.6490879411,20185.2675880304,62734.0613407375,27811.3111114514,11264.4450849526,26404.7619265072,13160.959312125,21871.7568778636,57070.9638953327,6399.68336642367,28746.4932146536,17573.0882905386,17573.0882905386,-2.16735189899949,0.508078748040394,-4.26577948272534,1.99205466790129e-05,0.000211019004103461
"AGFG2",6208.30736984013,12058.7783451735,6142.18390067693,5793.86639081214,1815.30723407531,10405.9575610365,10952.7887364747,8317.72962224807,2273.43241869853,7970.99035310921,8867.11374394845,16529.9103062546,11600.8736213512,24594.0909024674,13176.7363566547,10871.0238693887,19382.831539395,8941.21063561119,13972.3147682951,27280.0753935011,7193.9341932145,15521.6181136867,11357.7761534506,11357.7761534506,-1.10950883017089,0.316021657725349,-3.5108632685395,0.000446654072733754,0.00295258213551872
