"","SRR5687509","SRR5687510","SRR5687511","SRR5687512","SRR5687513","SRR5687514"
"Unique mapping rate"," 87.07% "," 88.03% "," 87.47% "," 84.91% "," 85.91% "," 85.71% "
"Multiple mapping rate"," 6.99% "," 6.33% "," 6.94% "," 8.22% "," 7.30% "," 7.52% "
"Overall alignment rate","97.72% ","97.84% ","97.82% ","97.13% ","97.16% ","97.40% "
