"","SRR975569","SRR975572","SRR975574","SRR975575","SRR975576","SRR975577","SRR975580","SRR975582","SRR975585","SRR975586","SRR975587","SRR975588","SRR975589","SRR975591","SRR975593","SRR975598","SRR975599","SRR975601","SRR975603","SRR975604"
"Unique mapping rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Multiple mapping rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Overall alignment rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
