"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030684","GO:0030684","preribosome","27/180","191/6403",1.91132219947387e-12,2.48471885931603e-10,2.33382500146283e-10,"851656/851678/856723/856863/852704/853188/856488/852854/852995/853048/853714/853762/853860/850652/853419/855068/855335/855269/852569/855789/850298/854165/854461/855890/856095/856228/851403",27
"GO:0005730","GO:0005730","nucleolus","33/180","368/6403",1.63503533705481e-09,1.06277296908563e-07,9.98232100517675e-08,"851584/851656/851678/854711/854793/856723/856863/852704/853064/853160/853188/856488/852854/852995/853048/853762/853784/853860/850652/853419/852439/855068/855335/855269/855789/854075/850298/854165/854461/855890/856095/856228/851403",33
"GO:0030687","GO:0030687","preribosome, large subunit precursor","14/180","91/6403",1.87179818626646e-07,8.11112547382133e-06,7.61854700375121e-06,"851656/851678/856723/856863/856488/852854/852995/853860/850652/855068/855335/852569/855789/855890",14
"GO:0030686","GO:0030686","90S preribosome","11/180","92/6403",4.73344655036248e-05,0.00153837012886781,0.0014449468416896,"851656/852704/852995/853048/855068/855335/855269/850298/854461/856095/856228",11
"GO:0005887","GO:0005887","integral component of plasma membrane","12/180","127/6403",0.000216709230675373,0.00563443999755969,0.00529226752807226,"851608/856646/856370/856494/853019/852360/853912/855580/850333/854530/855863/856324",12
"GO:0031226","GO:0031226","intrinsic component of plasma membrane","12/180","141/6403",0.000570244822560041,0.0123553044888009,0.0116049823538535,"851608/856646/856370/856494/853019/852360/853912/855580/850333/854530/855863/856324",12
"GO:0032040","GO:0032040","small-subunit processome","7/180","54/6403",0.000715840224730332,0.0132941756021347,0.0124868370028148,"853048/853762/853419/855269/850298/854165/851403",7
"GO:0044459","GO:0044459","plasma membrane part","14/180","190/6403",0.000863430155888309,0.014030740033185,0.0131786708004005,"851608/856646/856370/856494/852920/853019/852360/853912/850631/855580/850333/854530/855863/856324",14
