"SRR3396381.amphotericin_B","SRR3396382.amphotericin_B","SRR3396384.amphotericin_B"
530.008052633661,526.812336786359,576.782900742083
1994.71577292712,2014.28246418314,2021.58612085753
4909.18521636819,4796.29144573236,4693.00166113665
7709.83514308315,6729.60275378704,6445.16945335808
901.358597103667,1064.62075650374,899.325970236011
2681.08194954815,2611.06987416693,2550.93621726227
643.827569359762,959.658146707599,1006.5241080384
509.313595047097,654.766756347373,568.244995961361
438.032685582267,407.85471235073,395.589588173435
799.03600125899,701.750019779932,792.127832433617
1449.76172314761,1212.56805412116,1441.00859576846
1308.34959630609,1423.49291761627,1468.51962228412
1146.243011878,1282.54312731859,1110.87627758056
428.835148877127,359.87180501535,390.846307739701
5978.39885834065,5214.14259711129,4763.20221155592
8163.96351789941,7579.30007118439,7619.60568875068
1365.83420071321,1344.52104929346,1246.53409798536
5964.60255328294,6079.83421695377,6080.88551604729
1977.47039160498,2034.27534223955,1792.01134786479
1778.57366035634,2079.25931786647,1976.05062869368
1326.74466971637,1238.5587955945,1296.81287058294
55.1852202308367,59.978634169225,39.8435556433676
1242.81714728197,1332.52532245961,1213.33113494922
946.196588541222,868.690551550941,950.553398920341
1609.56892339941,1564.44270791395,1809.08715742624
2682.23164163629,2673.04779614179,2837.43035545982
8838.83277363902,9397.65233041473,9348.05707880343
2479.88583412323,2184.22192766261,2005.45896738283
984.136427449922,932.667761331448,912.607155450467
1901.59071378758,1961.30133733366,1886.87695653948
985.286119538064,781.721532005565,1157.36042583115
2902.97252255964,2773.01218642383,2480.73566684301
1476.20464117488,1594.43202499856,1430.57337881425
785.239696201281,755.730790532234,878.45553632758
2293.63571584415,2223.20803987261,2292.90176166713
812.832306316699,957.658858901959,800.665737214339
93.125059139537,128.954063463834,138.50378866504
7176.37801418506,8216.073237281,7196.50507406158
5662.23353410148,5812.92929490072,5655.8875891847
527.708668457376,421.849726990216,462.944170332461
1115.20132549816,1062.6214686981,1178.23085973958
4174.53197204517,4448.41536755085,4351.48546990779
1763.62766321049,1777.3668592147,1703.78633179734
73281.3736981986,73408.8500036172,89251.4619533169
816.281382581127,700.750375877112,858.533758505897
7746.62528990371,6845.56144651421,7403.31210097239
24.1435338509911,199.928780564083,120.47932301685
802.485077523418,914.674171080681,854.739134158909
297.77025082889,226.919165940234,309.261884279472
4368.82993494124,4031.56386007474,4144.67844299697
21883.2392057031,19282.131241503,20776.5169558427
449.529606463691,527.81198068918,424.997926862588
511.612979223382,504.82017092431,528.401440317994
874.915679076391,916.673458886321,931.580277185404
542.654665603228,506.819458729951,440.176424250537
5266.73945578048,4346.45168946317,3835.4165587175
285.123637859323,241.913824482541,272.264296896345
3466.32164574943,3409.78535252044,3210.25219755133
1361.23543236064,1568.44128352523,1398.31907186485
106.921364197246,116.958336629989,67.3545821590262
2531.62197808964,2948.94951332023,2768.1784611273
2214.30696176232,2236.20341060927,2247.36626950328
2340.77309145799,2543.09408877514,2471.24910597554
2313.18048134257,2028.27747882262,2082.30011040933
383.997157439572,279.900292789717,243.80461429394
26.4429180272759,20.9925219592287,23.7164021686712
5.74846044071216,5.9978634169225,16.1271534746964
1074.96210241317,1127.59832238143,1012.21604455889
5925.5130222861,5432.06496792614,5427.26147227871
2278.6897186983,2417.13895701977,2373.53752904061
17865.0653576453,19409.0860171612,19313.6892700791
712.809094648308,627.776370971221,683.981038544477
320.764092591739,231.917385454337,244.753270380687
3061.6300307233,2816.99651814793,2867.78735023572
33.3410705561305,43.9843317240983,33.2029630361396
632.330648478338,624.77743926276,599.550646824007
71.2809094648308,67.9757853917883,82.5330795469757
4233.16626854044,4094.54142595242,4182.62468646685
181.651349926504,118.957624435629,148.939005619255
521.960208016664,584.791683149943,609.985863778223
1472.75556491046,1721.38680065676,1598.48550616844
1572.77877657885,1508.46264935601,1414.44622533955
1586.57508163656,1652.41137136215,1769.24360178287
5738.11321191888,5143.16788001104,5728.93410786421
3936.54570979969,4209.50047477677,4205.39243254877
764.545238614717,504.82017092431,729.516530708325
1808.46565464805,1736.38145919906,1757.85972874191
2163.72050988406,2165.22869350902,2289.10713732014
902.508289191809,1112.60366383912,1110.87627758056
22.9938417628486,35.987180501535,23.7164021686712
2827.09284474224,2954.94737673715,3030.95619715618
493.217905813103,454.837975783289,501.839069889082
4017.02415596966,3834.63401121912,4367.61262338248
15643.8602433541,16565.0991136371,14208.9708672943
2170.61866241291,2970.94167918228,3587.81732007658
127.61582178381,148.946941520242,101.506201281913
1327.89436180451,1384.50680540628,1399.2677279516
1806.16627047176,1715.38893723983,2068.07026910813
18992.913296113,20317.762324825,24377.6154611337
1362.38512444878,1458.48045421499,1348.04029926727
551.852202308367,651.767824638911,633.702265946894
1463.55802820532,1552.44698108011,1505.51720966725
1678.55044868795,1640.4156445283,1716.11886092505
1043.92041603333,787.719395422488,1157.36042583115
415.038843819418,409.854000156371,445.868360771018
2168.31927823663,1850.34086412059,2548.09024900203
612.785882979916,570.796668510457,615.677800298704
111.520132549816,87.9686634481966,142.298413012027
1642.90999395554,1646.41350794523,1569.07716747929
1547.48555063971,1185.57766874501,1431.52203490099
556.450970660937,614.781000234556,580.57752508907
2559.21458820505,2585.0791326936,2499.70878857794
1471.60587282231,1620.42276647189,1613.66400355639
35.6404547324154,74.9732927115312,79.6871112867352
6718.80056310437,6083.83279256505,6136.85622516535
2985.7503529059,3330.81348419763,2861.14675762849
43.6882993494124,93.9665268651191,69.2518943325198
1645.20937813182,1577.43807865062,1719.91348527203
271.327332801614,310.889253777149,242.855958207193
4550.48128486775,4138.52575767652,4025.14777606687
1189.93131122742,1378.50894198935,1343.29701883354
1431.36664973733,1249.55487852552,1295.86421449619
4306.74656218155,4031.56386007474,4021.35315171988
991.034579978776,987.648175986571,1146.92520887694
164.405968604368,158.943380548446,159.37422257347
1840.65703311603,1677.40246893266,1903.00411001418
191.998578719786,170.939107382291,209.652995171053
1906.18948214015,2201.21587401056,2266.33939123822
569.097583630504,616.780288040197,550.220530313171
363.302699853009,324.884268416635,297.87801123851
1853.3036460856,2265.19308379106,2027.27805737801
2316.629557607,3231.8487378184,2864.94138197548
1447.46233897132,1412.49683468525,1107.08165323357
18.3950734102789,20.9925219592287,12.332529127709
29741.3846281566,27268.2863811353,26818.5075723334
420.78730426013,374.866463557656,345.310815575852
1079.56087076574,1226.56306876065,1168.74429887212
40.2392230849851,16.9939463479471,22.7677460819243
11431.3884324002,11072.0558676389,11561.2717291838
1172.68592990528,1194.5744638704,1266.45587580704
1681.99952495238,1522.45766399549,1625.04787659735
895.610136662955,764.727585657618,887.942097195049
2076.34391118523,2091.25504470031,2127.83560257318
2944.36143773277,3319.8174012666,3188.43310755615
42.53860726127,72.9740049058904,52.1760847710766
147.160587282231,177.936614702034,165.066159093951
29.8919942917032,26.9903853761512,16.1271534746964
1104.85409670488,1209.5691224127,1090.95449975887
1332.49313015708,1709.39107382291,1640.2263739853
1531.38986140572,1508.46264935601,1613.66400355639
349.506394795299,358.872161112529,383.257059045726
19.5447654984213,9.99643902820416,14.2298413012027
6796.97962509806,7558.30754922517,7341.64945533385
1212.92515299027,1289.54063463834,1383.1405744769
3414.58550178302,3192.86262560841,3302.27183796577
549.552818132083,546.805214842768,622.318392905932
117.268592990528,60.9782780720454,96.7629208481784
1362.38512444878,1481.47226397986,1416.34353751304
11.4969208814243,17.9935902507675,17.0758095614432
103.472287932819,116.958336629989,109.095449975887
34.490762644273,42.9846878212779,42.6895239036081
1609.56892339941,1617.42383476343,1625.9965326841
1224.42207387169,1090.61149797707,1089.05718758538
13.7963050577092,10.9960829310246,14.2298413012027
833.526763903263,756.730434435055,757.976213310731
5177.06347290537,4792.29287012107,4916.88449760891
839.275224343975,861.693044231199,854.739134158909
1018.62719009419,815.709424701459,883.198816761315
2270.6418740813,2047.27071297621,2484.53029118999
779.491235760569,688.754649043267,764.616805917959
540.355281426943,537.808419717384,666.905228983034
59.7839885834065,68.9754292946087,70.2005504192667
4015.87446388152,4192.50652842882,3746.2428865633
1349.73851147922,1151.58977604912,1271.19915624078
915.154902161376,702.749663682752,1006.5241080384
388.595925792142,345.876790375864,351.002752096333
3193.84462085968,3166.87188413508,3159.024768867
5692.12552839318,5181.15434831822,5476.59158878955
2876.52960453237,2950.94880112587,3139.10299104532
600.13927001035,682.756785626344,662.161948549299
165.55566069251,129.953707366654,167.912127354192
1187.63192705113,1146.59155653502,1237.99619320464
112.669824637958,96.9654585735803,117.633354756609
14767.7948721895,14716.7575373222,14245.0197985907
959.992893598931,1135.59547360399,1054.90556846249
1298.00236751281,1513.46086887011,1542.51479705037
3206.49123382924,3125.88648411944,3214.99547798507
2377.56323827855,1871.33338607982,2409.58646033699
3.4490762644273,0.999643902820416,2.84596826024054
1450.91141523575,1503.46442984191,1655.40487137325
1203.72761628513,1197.57339557886,1248.43141015885
3687.06252667278,2798.00328399434,3697.86142613921
1560.13216360928,2015.28210808596,1797.70328438528
820.880150933697,469.832634325596,819.638858949276
2217.75603802675,2146.23545935543,2143.96275604787
980.687351185495,875.688058870684,981.859049782987
916.304594249518,845.698741786072,950.553398920341
1699.24490627451,1615.42454695779,1625.9965326841
3347.90336067076,3124.88684021662,3056.56991149834
938.148743924225,920.672034497603,856.636446332403
177.052581573935,183.934478118957,160.322878660217
728.904783882302,693.752868557369,712.440721146882
1107.15348088116,1016.63784916836,883.198816761315
2298.23448419672,2528.09943023283,2560.42277812974
5699.02368092204,5023.21061167259,5190.097450592
881.813831605245,874.688414967864,905.017906756492
3499.66271630556,3449.77110863326,3511.92483313683
1722.23874803736,1875.3319616911,1700.9403635371
